site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-11-27","14:19:31","3483","8493","2977.300000000745","516.5999999977648","21.699999999254942","16","2492.800000000745","1","66",""
"http://localhost:8080/","2024-11-27","14:19:40","3476","8485","2964.39999999851","510.3999999985099","22.5","17","2497","1","67",""
"http://localhost:8080/","2024-11-27","14:19:49","3484","8496","2971.5","510.19999999925494","22.899999998509884","17","2503.2999999970198","1","67",""
"http://localhost:8080/","2024-11-27","14:19:57","3485","8496","2972.2999999970198","506.5","22.299999997019768","17","2496.199999999255","1","67",""
"http://localhost:8080/","2024-11-27","14:20:06","3484","8494","2978.400000002235","506.1000000014901","23","16","2503","1","66",""
"http://localhost:8080/","2024-11-27","14:20:15","3486","8498","2979","525.3999999985099","23.699999999254942","16","2502.2999999970198","1","66",""
"http://localhost:8080/","2024-11-27","14:20:23","3484","8493","2971.300000000745","510.69999999925494","22.800000000745058","16","2502.800000000745","1","66",""
"http://localhost:8080/","2024-11-27","14:20:32","3477","8487","2964","504.20000000298023","15.600000001490116","17","2496.2000000029802","1","67",""
"http://localhost:8080/","2024-11-27","14:20:41","3483","8495","2970.900000002235","510.80000000074506","22.600000001490116","17","2502.800000000745","1","67",""
"http://localhost:8080/","2024-11-27","14:20:50","3484","8496","2970.800000000745","506.80000000074506","22.300000000745058","15","2500.099999997765","1","65",""
"http://localhost:8080/","2024-11-27","14:20:58","3471","8480","2957.5","503.5","15.199999999254942","16","2490.60000000149","1","66",""
"http://localhost:8080/","2024-11-27","14:21:07","3479","8491","2971.10000000149","499.80000000074506","14.899999998509884","16","2497.60000000149","1","66",""
"http://localhost:8080/","2024-11-27","14:21:16","3483","8494","2978.39999999851","531.3000000007451","23.199999999254942","15","2501.800000000745","1","65",""
"http://localhost:8080/","2024-11-27","14:21:24","3479","8489","2963.699999999255","503.69999999925494","23.100000001490116","17","2502.800000000745","1","67",""
"http://localhost:8080/","2024-11-27","14:21:33","3468","8479","2965.7000000029802","503.20000000298023","15.600000001490116","15","2495.60000000149","1","65",""
"http://localhost:8080/","2024-11-27","14:21:42","3485","8496","2979.199999999255","518.5","22.599999997764826","16","2497.099999997765","1","66",""
"http://localhost:8080/","2024-11-27","14:21:50","3471","8482","2963.60000000149","524","15.699999999254942","16","2496","1","66",""
"http://localhost:8080/","2024-11-27","14:21:59","3476","8487","2970.89999999851","503.6000000014901","15.699999999254942","16","2490.60000000149","1","66",""
"http://localhost:8080/","2024-11-27","14:22:08","3478","8489","2963.5","496.69999999925494","15.800000000745058","15","2495.89999999851","1","65",""
"http://localhost:8080/","2024-11-27","14:22:16","3479","8490","2965.39999999851","509.5","23","16","2495.5","1","66",""
"http://localhost:8080/","2024-11-27","14:22:25","3485","8496","2978.10000000149","517.3999999985099","22.699999999254942","18","2503.800000000745","1","68",""
"http://localhost:8080/","2024-11-27","14:22:34","3483","8494","2980.199999999255","504.30000000074506","22.800000000745058","17","2497","1","67",""
"http://localhost:8080/","2024-11-27","14:22:43","3478","8489","2970.5","497","15.800000000745058","15","2488.89999999851","1","65",""
"http://localhost:8080/","2024-11-27","14:22:51","3487","8497","2978.10000000149","509","23.5","16","2504.900000002235","1","66",""
"http://localhost:8080/","2024-11-27","14:23:00","3478","8488","2964","510.80000000074506","22.400000002235174","16","2504.800000000745","1","66",""
"http://localhost:8080/","2024-11-27","14:23:09","3471","8483","2956.699999999255","502.0999999977648","15.099999997764826","16","2494.699999999255","1","66",""
"http://localhost:8080/","2024-11-27","14:23:17","3471","8482","2958.199999999255","501.79999999701977","15.299999997019768","17","2497.39999999851","1","67",""
"http://localhost:8080/","2024-11-27","14:23:26","3485","8496","2971.099999997765","511.8999999985099","22.899999998509884","17","2504.599999997765","1","67",""
"http://localhost:8080/","2024-11-27","14:23:35","3477","8488","2963.300000000745","496.1000000014901","15.600000001490116","15","2496","1","65",""
"http://localhost:8080/","2024-11-27","14:23:43","3486","8494","2978","505.30000000074506","22.800000000745058","16","2495.900000002235","1","66",""
"http://localhost:8080/","2024-11-27","14:23:52","3469","8479","2963.900000002235","503.4000000022352","15.5","17","2496.800000000745","1","67",""
"http://localhost:8080/","2024-11-27","14:24:01","3478","8488","2971.099999997765","511.3999999985099","23.5","17","2497","1","67",""
"http://localhost:8080/","2024-11-27","14:24:10","3477","8488","2972.800000000745","501.5999999977648","15.599999997764826","16","2494.89999999851","1","66",""
"http://localhost:8080/","2024-11-27","14:24:18","3485","8494","2971","505.1000000014901","23","16","2504.2000000029802","1","66",""
"http://localhost:8080/","2024-11-27","14:24:27","3476","8487","2964.300000000745","502","16.199999999254942","16","2494.800000000745","1","66",""
"http://localhost:8080/","2024-11-27","14:24:36","3479","8491","2970.900000002235","514.3000000007451","24.100000001490116","15","2504.400000002235","1","65",""
"http://localhost:8080/","2024-11-27","14:24:44","3486","8497","2971.5","512.4000000022352","22.900000002235174","15","2502.199999999255","1","65",""
"http://localhost:8080/","2024-11-27","14:24:53","3481","8492","2970.39999999851","503.19999999925494","22.699999999254942","18","2507.39999999851","1","68",""
"http://localhost:8080/","2024-11-27","14:25:02","3472","8483","2957","513","15.599999997764826","16","2490.2999999970198","1","66",""
"http://localhost:8080/","2024-11-27","14:25:10","3480","8491","2972.10000000149","505.20000000298023","16","13","2488.300000000745","1","63",""
"http://localhost:8080/","2024-11-27","14:25:19","3478","8489","2964.7000000029802","509.70000000298023","23","17","2501","1","67",""
"http://localhost:8080/","2024-11-27","14:25:28","3472","8483","2956.300000000745","498.0999999977648","16","15","2489.5","1","65",""
"http://localhost:8080/","2024-11-27","14:25:36","3487","8497","2978","513.1999999992549","30.399999998509884","15","2511.39999999851","1","65",""
"http://localhost:8080/","2024-11-27","14:25:45","3480","8492","2971.900000002235","502.6000000014901","15.400000002235174","16","2496.400000002235","1","66",""
"http://localhost:8080/","2024-11-27","14:25:54","3486","8497","2970.800000000745","531.5","29.699999999254942","17","2507.89999999851","2","67",""
"http://localhost:8080/","2024-11-27","14:26:03","3471","8482","2964.900000002235","502.4000000022352","15.400000002235174","16","2497.699999999255","1","66",""
"http://localhost:8080/","2024-11-27","14:26:11","3479","8489","2971.599999997765","493.5999999977648","15","15","2496.199999999255","1","65",""
