site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-11-27","14:27:44","4644","9655","4128.699999999255","1120.3999999985099","157.69999999925494","16","3359.7999999970198","1","66",""
"http://localhost:8080/","2024-11-27","14:27:54","4643","9653","4136.10000000149","1116.300000000745","159.30000000074506","16","3361.5","1","66",""
"http://localhost:8080/","2024-11-27","14:28:04","4643","9656","4130.5","1131","158.80000000074506","16","3369.400000002235","1","66",""
"http://localhost:8080/","2024-11-27","14:28:14","4643","9653","4138.60000000149","1119.199999999255","159.19999999925494","16","3360.400000002235","1","66",""
"http://localhost:8080/","2024-11-27","14:28:23","4636","9644","4130.60000000149","1134.300000000745","159.80000000074506","17","3355","1","67",""
"http://localhost:8080/","2024-11-27","14:28:33","4623","9634","4116","1119.5","159.40000000223517","14","3346.800000000745","1","64",""
"http://localhost:8080/","2024-11-27","14:28:43","4636","9648","4130.39999999851","1128.3999999985099","159.30000000074506","16","3361.10000000149","1","66",""
"http://localhost:8080/","2024-11-27","14:28:53","4629","9640","4114.599999997765","1120.8999999985099","160.09999999776483","16","3348","1","66",""
"http://localhost:8080/","2024-11-27","14:29:03","4622","9634","4114.70000000298","1122.4000000022352","158.20000000298023","16","3338.2000000029802","1","66",""
"http://localhost:8080/","2024-11-27","14:29:13","4629","9640","4115.89999999851","1124.3999999985099","160.09999999776483","17","3355.7999999970198","1","67",""
"http://localhost:8080/","2024-11-27","14:29:22","4635","9645","4129.800000000745","1122.7000000029802","158.80000000074506","16","3354.60000000149","1","66",""
"http://localhost:8080/","2024-11-27","14:29:32","4643","9653","4135.70000000298","1122","158.40000000223517","16","3352","1","66",""
"http://localhost:8080/","2024-11-27","14:29:42","4635","9646","4122.400000002235","1126.800000000745","159.30000000074506","16","3353.800000000745","1","66",""
"http://localhost:8080/","2024-11-27","14:29:52","4636","9646","4129.400000002235","1131.1000000014901","159.30000000074506","16","3360.2000000029802","1","66",""
"http://localhost:8080/","2024-11-27","14:30:02","4621","9633","4108.5","1122.199999999255","160.09999999776483","17","3338.5","1","67",""
"http://localhost:8080/","2024-11-27","14:30:12","4635","9646","4130.10000000149","1130.300000000745","159.30000000074506","18","3349.400000002235","1","68",""
"http://localhost:8080/","2024-11-27","14:30:22","4642","9652","4130.699999999255","1122.5","159.09999999776483","15","3358.699999999255","1","65",""
"http://localhost:8080/","2024-11-27","14:30:31","4627","9637","4122.5","1121.6000000014901","159.30000000074506","15","3354.400000002235","1","65",""
"http://localhost:8080/","2024-11-27","14:30:41","4635","9645","4130","1137.7999999970198","159.09999999776483","16","3359.89999999851","1","66",""
"http://localhost:8080/","2024-11-27","14:30:51","4651","9663","4143.800000000745","1138","165.5","16","3375.39999999851","1","66",""
"http://localhost:8080/","2024-11-27","14:31:01","4636","9648","4122.599999997765","1124.3999999985099","158.79999999701977","18","3356.2999999970198","1","68",""
"http://localhost:8080/","2024-11-27","14:31:11","4631","9642","4122.39999999851","1120.8999999985099","159.59999999776483","16","3353.699999999255","1","66",""
"http://localhost:8080/","2024-11-27","14:31:21","4634","9645","4123","1120.6000000014901","159.5","17","3348.900000002235","1","67",""
"http://localhost:8080/","2024-11-27","14:31:31","4652","9660","4143.5","1144.5","158.80000000074506","16","3377.5","1","66",""
"http://localhost:8080/","2024-11-27","14:31:40","4635","9645","4122.300000000745","1129.6000000014901","158.69999999925494","17","3362.5","1","67",""
"http://localhost:8080/","2024-11-27","14:31:50","4651","9663","4136.800000000745","1131.300000000745","159.30000000074506","16","3375.400000002235","1","66",""
"http://localhost:8080/","2024-11-27","14:32:00","4644","9654","4137.20000000298","1145.4000000022352","159.30000000074506","15","3366.7000000029802","1","65",""
"http://localhost:8080/","2024-11-27","14:32:10","4629","9640","4122.599999997765","1123","159.59999999776483","14","3350","1","64",""
"http://localhost:8080/","2024-11-27","14:32:20","4635","9646","4121.800000000745","1122.3999999985099","158.89999999850988","16","3359.5","1","66",""
"http://localhost:8080/","2024-11-27","14:32:30","4636","9647","4122","1122.8999999985099","159","16","3359.800000000745","1","66",""
"http://localhost:8080/","2024-11-27","14:32:39","4643","9653","4129.5","1121","159.5","16","3360.699999999255","1","66",""
"http://localhost:8080/","2024-11-27","14:32:49","4659","9669","4144.300000000745","1125.3999999985099","158.60000000149012","17","3368.5","1","67",""
"http://localhost:8080/","2024-11-27","14:32:59","4652","9663","4143.400000002235","1130.800000000745","158.90000000223517","16","3367.400000002235","1","66",""
"http://localhost:8080/","2024-11-27","14:33:09","4628","9638","4115.89999999851","1119.6000000014901","158.69999999925494","16","3354.5","1","66",""
"http://localhost:8080/","2024-11-27","14:33:19","4630","9640","4122.099999997765","1120.699999999255","158.30000000074506","15","3350.89999999851","1","65",""
"http://localhost:8080/","2024-11-27","14:33:29","4636","9647","4129.39999999851","1122.300000000745","159.10000000149012","16","3352","1","66",""
"http://localhost:8080/","2024-11-27","14:33:39","4622","9633","4115.5","1124.6000000014901","158.90000000223517","16","3347","1","66",""
"http://localhost:8080/","2024-11-27","14:33:48","4628","9638","4121.900000002235","1122.1000000014901","158.80000000074506","15","3339.400000002235","1","65",""
"http://localhost:8080/","2024-11-27","14:33:58","4635","9648","4129.199999999255","1137.199999999255","159","17","3355","1","67",""
"http://localhost:8080/","2024-11-27","14:34:08","4635","9646","4123.10000000149","1127.699999999255","159","16","3352.800000000745","1","66",""
"http://localhost:8080/","2024-11-27","14:34:18","4644","9652","4136.199999999255","1134.8999999985099","157.5","17","3369","1","67",""
"http://localhost:8080/","2024-11-27","14:34:28","4637","9647","4122.10000000149","1127.4000000022352","159.30000000074506","16","3360","1","66",""
"http://localhost:8080/","2024-11-27","14:34:38","4638","9649","4123.5","1144.199999999255","159.10000000149012","16","3361.300000000745","1","66",""
"http://localhost:8080/","2024-11-27","14:34:48","4635","9647","4129.900000002235","1121.6000000014901","159.40000000223517","16","3353.5","1","66",""
"http://localhost:8080/","2024-11-27","14:34:58","4634","9644","4130.099999997765","1126.5999999977648","159.09999999776483","17","3362.699999999255","1","67",""
"http://localhost:8080/","2024-11-27","14:35:07","4636","9646","4130.20000000298","1124","159.10000000149012","16","3361.5","1","66",""
"http://localhost:8080/","2024-11-27","14:35:17","4627","9638","4122.599999997765","1144.8999999985099","159.19999999925494","14","3354.89999999851","1","64",""
"http://localhost:8080/","2024-11-27","14:35:27","4651","9662","4145.800000000745","1137.1000000014901","159.10000000149012","17","3367.800000000745","1","67",""
"http://localhost:8080/","2024-11-27","14:35:37","4636","9647","4129.60000000149","1121","158.90000000223517","16","3355.300000000745","1","66",""
"http://localhost:8080/","2024-11-27","14:35:47","4630","9638","4122.79999999702","1124.5999999977648","159.29999999701977","15","3352.699999999255","1","65",""
