site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-12-2","09:59:34","6772","11795","1555.300000000745","1555.300000000745","481.80000000074506","149","5938.4000000003725","4","175",""
"http://localhost:8080/","2024-12-2","09:59:46","6444","11467","1228.5","1228.5","169.59999999962747","192","5617.5","3","242",""
"http://localhost:8080/","2024-12-2","09:59:58","6466","11488","1228","1228","159.6000000005588","195","5628.700000000186","3","245",""
"http://localhost:8080/","2024-12-2","10:00:11","6459","11480","1213.0999999996275","1213.0999999996275","168.3999999994412","195","5621.5999999996275","3","245",""
"http://localhost:8080/","2024-12-2","10:00:23","6439","11463","1206.0999999996275","1206.0999999996275","159.3999999994412","191","5602","3","241",""
"http://localhost:8080/","2024-12-2","10:00:35","6452","11475","1234.2000000001863","1234.2000000001863","167.6000000005588","191","5621.4000000003725","3","241",""
"http://localhost:8080/","2024-12-2","10:00:47","6453","11477","1234.699999999255","1234.699999999255","166.09999999962747","195","5622","3","245",""
"http://localhost:8080/","2024-12-2","10:00:59","6446","11471","1221","1221","165.79999999981374","191","5611.799999999814","3","241",""
"http://localhost:8080/","2024-12-2","10:01:11","6476","11498","1241.4000000003725","1241.4000000003725","157.80000000074506","148","5639.600000000559","4","175",""
"http://localhost:8080/","2024-12-2","10:01:24","6458","11480","1230.0999999996275","1230.0999999996275","164.8999999994412","154","5628.899999999441","4","177",""
"http://localhost:8080/","2024-12-2","10:01:36","6443","11464","1217.9000000003725","1217.9000000003725","166.79999999981374","194","5611.200000000186","3","244",""
"http://localhost:8080/","2024-12-2","10:01:48","6450","11469","1218.7000000001863","1218.7000000001863","158.29999999981374","154","5617","4","176",""
"http://localhost:8080/","2024-12-2","10:02:00","6453","11478","1216.6000000005588","1216.6000000005588","157.6000000005588","188","5616.100000000559","3","238",""
"http://localhost:8080/","2024-12-2","10:02:12","6473","11498","1231.5","1231.5","157.59999999962747","149","5637.299999999814","4","176",""
"http://localhost:8080/","2024-12-2","10:02:24","6459","11480","1208.2999999998137","1208.2999999998137","157.09999999962747","193","5624.200000000186","3","243",""
"http://localhost:8080/","2024-12-2","10:02:37","6459","11481","1222.5","1222.5","165.59999999962747","186","5624.799999999814","3","236",""
"http://localhost:8080/","2024-12-2","10:02:49","6451","11475","1225.300000000745","1225.300000000745","157.20000000018626","192","5619.700000000186","3","242",""
"http://localhost:8080/","2024-12-2","10:03:01","6450","11476","1231.5999999996275","1231.5999999996275","157.59999999962747","155","5621.299999999814","4","176",""
"http://localhost:8080/","2024-12-2","10:03:13","6460","11487","1225.7999999998137","1225.7999999998137","165.79999999981374","153","5628.200000000186","4","179",""
"http://localhost:8080/","2024-12-2","10:03:25","6460","11481","1224.4000000003725","1224.4000000003725","157.6000000005588","194","5628.700000000186","3","244",""
"http://localhost:8080/","2024-12-2","10:03:37","6444","11467","1224.699999999255","1224.699999999255","158.5","154","5610.5999999996275","4","177",""
"http://localhost:8080/","2024-12-2","10:03:50","6487","11507","1219.1000000005588","1219.1000000005588","157.40000000037253","166","5655.700000000186","4","187",""
"http://localhost:8080/","2024-12-2","10:04:02","6467","11492","1223.8999999994412","1223.8999999994412","158","151","5633.899999999441","4","176",""
"http://localhost:8080/","2024-12-2","10:04:14","6465","11485","1220.8999999994412","1220.8999999994412","156.79999999981374","149","5633.699999999255","4","175",""
"http://localhost:8080/","2024-12-2","10:04:26","6451","11475","1217.7999999998137","1217.7999999998137","157.29999999981374","195","5620.5","3","245",""
"http://localhost:8080/","2024-12-2","10:04:38","6512","11531","1228.0999999996275","1228.0999999996275","164.79999999981374","148","5670.5","4","174",""
"http://localhost:8080/","2024-12-2","10:04:51","6504","11524","1255.800000000745","1255.800000000745","164.70000000018626","187","5664","3","237",""
"http://localhost:8080/","2024-12-2","10:05:03","6487","11509","1254.8999999994412","1254.8999999994412","164.70000000018626","145","5648","4","171",""
"http://localhost:8080/","2024-12-2","10:05:15","6496","11523","1240.2000000001863","1240.2000000001863","164.1000000005588","187","5653.9000000003725","3","237",""
"http://localhost:8080/","2024-12-2","10:05:27","6496","11522","1236.7999999998137","1236.7999999998137","164.09999999962747","193","5659.200000000186","3","243",""
"http://localhost:8080/","2024-12-2","10:05:39","6516","11540","1256.5","1256.5","165","144","5682.200000000186","4","172",""
"http://localhost:8080/","2024-12-2","10:05:52","6474","11499","1233.1000000005588","1233.1000000005588","164.29999999981374","189","5640.799999999814","3","239",""
"http://localhost:8080/","2024-12-2","10:06:04","6497","11521","1249.8999999994412","1249.8999999994412","164.09999999962747","187","5653.699999999255","3","237",""
"http://localhost:8080/","2024-12-2","10:06:16","6495","11519","1227.2999999998137","1227.2999999998137","164.5","147","5662.5","4","171",""
"http://localhost:8080/","2024-12-2","10:06:28","6507","11532","1237.6000000005588","1237.6000000005588","165","166","5676.9000000003725","4","181",""
"http://localhost:8080/","2024-12-2","10:06:40","6513","11536","1262.5","1262.5","165.6000000005588","143","5670","4","172",""
"http://localhost:8080/","2024-12-2","10:06:53","6452","11475","1248.7999999998137","1248.7999999998137","157.5","150","5623.200000000186","4","174",""
"http://localhost:8080/","2024-12-2","10:07:05","6459","11481","1218.5999999996275","1218.5999999996275","165.29999999981374","192","5626","3","242",""
"http://localhost:8080/","2024-12-2","10:07:17","6430","11450","1221.1000000005588","1221.1000000005588","165.70000000018626","189","5600.600000000559","3","239",""
"http://localhost:8080/","2024-12-2","10:07:29","6451","11473","1225.8999999994412","1225.8999999994412","166","145","5614.799999999814","4","174",""
"http://localhost:8080/","2024-12-2","10:07:41","6451","11475","1225","1225","157.3999999994412","148","5618.299999999814","4","173",""
"http://localhost:8080/","2024-12-2","10:07:54","6424","11448","1214.8999999994412","1214.8999999994412","157.8999999994412","193","5596.199999999255","3","243",""
"http://localhost:8080/","2024-12-2","10:08:06","6466","11487","1213.9000000003725","1213.9000000003725","165.20000000018626","190","5629.300000000745","3","240",""
"http://localhost:8080/","2024-12-2","10:08:18","6467","11491","1230.7000000001863","1230.7000000001863","164.70000000018626","153","5637","4","178",""
"http://localhost:8080/","2024-12-2","10:08:30","6446","11466","1229.6000000005588","1229.6000000005588","165.5","191","5611.700000000186","3","241",""
"http://localhost:8080/","2024-12-2","10:08:42","6446","11471","1221.7000000001863","1221.7000000001863","164","190","5611.5","3","240",""
"http://localhost:8080/","2024-12-2","10:08:54","6467","11490","1208.1000000005588","1208.1000000005588","157.6000000005588","150","5630.5","4","176",""
"http://localhost:8080/","2024-12-2","10:09:06","6460","11483","1221.7999999998137","1221.7999999998137","164","148","5628.899999999441","4","173",""
