site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-12-3","18:12:08","6987","12015","1709.1000000014901","1709.1000000014901","697","186","6156.69999999553","5","199",""
"http://localhost:8080/","2024-12-3","18:12:20","6460","11484","1213.1999999955297","1213.1999999955297","355.3999999985099","211","5634.19999999553","3","261",""
"http://localhost:8080/","2024-12-3","18:12:33","6460","11482","1214.3000000044703","1214.3000000044703","357.70000000298023","195","5628.4000000059605","3","245",""
"http://localhost:8080/","2024-12-3","18:12:45","6461","11481","1229.3999999985099","1229.3999999985099","355.6000000014901","153","5627.79999999702","4","178",""
"http://localhost:8080/","2024-12-3","18:12:57","6466","11483","1220.8999999985099","1220.8999999985099","362.6000000014901","199","5633.30000000447","3","249",""
"http://localhost:8080/","2024-12-3","18:13:09","6460","11484","1224.5","1224.5","362.29999999701977","189","5627.10000000149","3","239",""
"http://localhost:8080/","2024-12-3","18:13:21","6459","11483","1223.1000000014901","1223.1000000014901","357.1000000014901","195","5627.4000000059605","3","245",""
"http://localhost:8080/","2024-12-3","18:13:33","6472","11495","1229.6000000014901","1229.6000000014901","360.8999999985099","153","5641.20000000298","4","176",""
"http://localhost:8080/","2024-12-3","18:13:46","6467","11490","1225.5","1225.5","363.1000000014901","193","5628.79999999702","3","243",""
"http://localhost:8080/","2024-12-3","18:13:58","6466","11491","1230.8000000044703","1230.8000000044703","363.5","191","5634.9000000059605","3","241",""
"http://localhost:8080/","2024-12-3","18:14:10","6461","11485","1234","1234","356.09999999403954","192","5621.5999999940395","3","242",""
"http://localhost:8080/","2024-12-3","18:14:22","6443","11463","1215.5","1215.5","356.19999999552965","186","5608.79999999702","3","236",""
"http://localhost:8080/","2024-12-3","18:14:34","6463","11488","1214.7000000029802","1214.7000000029802","361.3999999985099","196","5633.10000000149","3","246",""
"http://localhost:8080/","2024-12-3","18:14:46","6482","11507","1211.6999999955297","1211.6999999955297","357","195","5649.5","3","245",""
"http://localhost:8080/","2024-12-3","18:14:59","6487","11511","1241.9000000059605","1241.9000000059605","363.5","155","5654.5","4","181",""
"http://localhost:8080/","2024-12-3","18:15:11","6470","11490","1212.1000000014901","1212.1000000014901","357.80000000447035","195","5633","3","245",""
"http://localhost:8080/","2024-12-3","18:15:23","6473","11498","1219.3000000044703","1219.3000000044703","356.3999999985099","155","5638.39999999851","4","179",""
"http://localhost:8080/","2024-12-3","18:15:35","6460","11481","1211.2000000029802","1211.2000000029802","355.1000000014901","197","5623.80000000447","3","247",""
"http://localhost:8080/","2024-12-3","18:15:47","6484","11506","1215.3000000044703","1215.3000000044703","356.8999999985099","145","5645","4","171",""
"http://localhost:8080/","2024-12-3","18:16:00","6474","11495","1227.2000000029802","1227.2000000029802","357.5","200","5639.39999999851","3","250",""
"http://localhost:8080/","2024-12-3","18:16:12","6468","11492","1212","1212","358.6000000014901","198","5635.39999999851","3","248",""
"http://localhost:8080/","2024-12-3","18:16:24","6455","11474","1227.5","1227.5","359.8999999985099","149","5625.60000000149","4","175",""
"http://localhost:8080/","2024-12-3","18:16:36","6437","11458","1214.1000000014901","1214.1000000014901","362.3999999985099","197","5607.20000000298","3","247",""
"http://localhost:8080/","2024-12-3","18:16:48","6467","11492","1232.7000000029802","1232.7000000029802","362.20000000298023","196","5631","3","246",""
"http://localhost:8080/","2024-12-3","18:17:00","6467","11490","1210.1000000014901","1210.1000000014901","357.29999999701977","195","5635.39999999851","3","245",""
"http://localhost:8080/","2024-12-3","18:17:12","6488","11508","1232.4000000059605","1232.4000000059605","356.30000000447035","187","5648.5","3","237",""
"http://localhost:8080/","2024-12-3","18:17:25","6515","11537","1243.9000000059605","1243.9000000059605","371","187","5682","3","237",""
"http://localhost:8080/","2024-12-3","18:17:37","6491","11507","1247.1999999955297","1247.1999999955297","372.29999999701977","186","5655.29999999702","3","236",""
"http://localhost:8080/","2024-12-3","18:17:49","6509","11532","1229.0999999940395","1229.0999999940395","370.29999999701977","185","5676.5","3","235",""
