timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734783167166,20,Homepage visit,200,OK,BasicTest 1-1,text,true,,7889,287,2,2,http://localhost:8080/;jsessionid=node01k3wwvj2asf9ye86xpcvsb7da20231.node0?0,16,0,8
1734783167176,10,Homepage visit,200,OK,BasicTest 1-2,text,true,,7872,286,2,2,http://localhost:8080/;jsessionid=node0e8c3ixeo9sgifibilz1s6bkm20232.node0?0,6,0,0
1734783167166,18,Homepage visit-0,302,Found,BasicTest 1-1,,true,,598,116,2,2,http://localhost:8080/,16,0,8
1734783167176,8,Homepage visit-0,302,Found,BasicTest 1-2,,true,,596,116,2,2,http://localhost:8080/,6,0,0
1734783167185,1,Homepage visit-1,200,OK,BasicTest 1-1,text,true,,7291,171,2,2,http://localhost:8080/;jsessionid=node01k3wwvj2asf9ye86xpcvsb7da20231.node0?0,1,0,0
1734783167185,1,Homepage visit-1,200,OK,BasicTest 1-2,text,true,,7276,170,2,2,http://localhost:8080/;jsessionid=node0e8c3ixeo9sgifibilz1s6bkm20232.node0?0,1,0,0
1734783167187,2,Homepage visit,200,OK,BasicTest 1-2,text,true,,7872,286,2,2,http://localhost:8080/;jsessionid=node06eodfchnfc7d6hlhs4b1zijr20234.node0?0,1,0,0
1734783167187,1,Homepage visit-0,302,Found,BasicTest 1-2,,true,,596,116,2,2,http://localhost:8080/,1,0,0
1734783167188,1,Homepage visit-1,200,OK,BasicTest 1-2,text,true,,7276,170,2,2,http://localhost:8080/;jsessionid=node06eodfchnfc7d6hlhs4b1zijr20234.node0?0,1,0,0
1734783167187,2,Homepage visit,200,OK,BasicTest 1-1,text,true,,7906,288,2,2,http://localhost:8080/;jsessionid=node0109w81xut5gde1iv20i49pukom20233.node0?0,1,0,0
1734783167187,1,Homepage visit-0,302,Found,BasicTest 1-1,,true,,600,116,2,2,http://localhost:8080/,1,0,0
1734783167188,1,Homepage visit-1,200,OK,BasicTest 1-1,text,true,,7306,172,2,2,http://localhost:8080/;jsessionid=node0109w81xut5gde1iv20i49pukom20233.node0?0,1,0,0
1734783167189,2,Homepage visit,200,OK,BasicTest 1-2,text,true,,7906,288,2,2,http://localhost:8080/;jsessionid=node011g0jxve1ik1114foy7zhy9dks20235.node0?0,1,0,0
1734783167190,1,Homepage visit,200,OK,BasicTest 1-1,text,true,,7872,286,2,2,http://localhost:8080/;jsessionid=node0cfkfa0iooc8k917sxg3qmaom20236.node0?0,0,0,0
