timestamp,cdn_cpu_percent,discovery_cpu_percent,monolith_cpu_percent,cdn_mem_percent,discovery_mem_percent,monolith_mem_percent,cdn_mem_usage,discovery_mem_usage,monolith_mem_usage,mean,min,max,count,throughput_mean,throughput_min,throughput_max,throughput_count,err_mean,err_count
0,0.0,0.0,127.4,0.23,0.23,21.16,17.83,17.7,1658.0,1.0549664268585133,0.673,5.941,834,166.6,166.0,167.0,833.0,0.0,0.0
5,0.0,0.0,126.81,0.23,0.23,28.21,17.83,17.7,2210.0,0.781124849939976,0.559,4.069,833,166.8,166.0,167.0,834.0,0.0,0.0
10,0.0,0.0,112.84,0.23,0.23,34.4,17.83,17.7,2696.0,0.6762278177458034,0.458,5.621,834,166.6,166.0,167.0,833.0,0.0,0.0
15,0.0,0.0,111.0,0.23,0.23,34.59,17.83,17.7,2710.0,0.6379363745498199,0.489,4.144,833,166.8,166.0,167.0,834.0,0.0,0.0
20,0.0,0.0,111.16,0.23,0.23,34.66,17.83,17.7,2716.0,0.629516206482593,0.491,5.243,833,166.6,166.0,167.0,833.0,0.0,0.0
25,0.0,0.0,119.95,0.23,0.23,34.96,17.83,17.7,2739.0,0.638127098321343,0.464,6.8,834,166.6,166.0,167.0,833.0,0.0,0.0
30,0.0,0.0,120.28,0.23,0.23,35.09,17.83,17.7,2750.0,0.6214945978391357,0.434,5.02,833,166.8,166.0,167.0,834.0,0.0,0.0
35,0.0,0.0,110.74,0.23,0.23,35.46,17.83,17.7,2779.0,0.6040228091236495,0.409,4.119,833,166.6,166.0,167.0,833.0,0.0,0.0
40,0.0,0.0,105.73,0.23,0.23,35.52,17.83,17.7,2783.0,0.6039028776978418,0.424,8.732,834,166.6,166.0,167.0,833.0,0.0,0.0
45,0.0,0.0,105.13,0.23,0.23,35.6,17.83,17.7,2790.0,0.596813925570228,0.41,4.106,833,166.8,166.0,167.0,834.0,0.0,0.0
50,0.0,0.0,104.85,0.23,0.23,35.78,17.83,17.7,2804.0,0.602313325330132,0.403,5.391,833,166.6,166.0,167.0,833.0,0.0,0.0
55,0.0,0.0,105.5,0.23,0.23,35.96,17.83,17.7,2818.0,0.5948980815347722,0.435,5.391,834,166.6,166.0,167.0,833.0,0.0,0.0
60,0.0,0.0,105.01,0.23,0.23,36.08,17.83,17.7,2827.0,0.6292448979591836,0.445,5.523,833,166.8,166.0,167.0,834.0,0.0,0.0
65,0.0,0.0,107.54,0.23,0.23,36.19,17.83,17.7,2836.0,0.5965534213685474,0.428,4.126,833,166.6,166.0,167.0,833.0,0.0,0.0
