timestamp,cdn_cpu_percent,discovery_cpu_percent,monolith_cpu_percent,cdn_mem_percent,discovery_mem_percent,monolith_mem_percent,cdn_mem_usage,discovery_mem_usage,monolith_mem_usage,duration_mean,duration_min,duration_max,duration_count,throughput_mean,throughput_min,throughput_max,throughput_count,err_mean,err_count
0,0.0,0.0,114.04,0.26,0.23,34.91,20.42,18.21,2736.0,1.177988009592326,0.766,2.583,417,83.4,83.0,84.0,417.0,0.0,0.0
5,0.0,0.0,107.47,0.26,0.23,35.01,20.42,18.21,2744.0,1.0273149038461538,0.692,6.978,416,83.4,83.0,84.0,417.0,0.0,0.0
10,0.0,0.0,109.06,0.26,0.23,35.03,20.42,18.21,2745.0,0.8264172661870504,0.563,1.849,417,83.2,83.0,84.0,416.0,0.0,0.0
15,0.0,0.0,130.94,0.26,0.23,35.12,20.42,18.21,2752.0,1.1509375,0.549,18.327,416,83.2,82.0,84.0,416.0,0.0,0.0
20,0.0,0.0,106.61,0.26,0.23,35.16,20.43,18.21,2755.0,0.7893870192307693,0.508,3.01,416,83.4,83.0,84.0,417.0,0.0,0.0
25,0.0,0.0,117.88,0.26,0.23,35.22,20.43,18.21,2759.0,0.8018009592326139,0.518,4.336,417,83.2,83.0,84.0,416.0,0.0,0.0
30,0.0,0.0,103.32,0.26,0.23,35.26,20.43,18.21,2762.0,0.7287505995203837,0.505,1.326,417,83.4,83.0,84.0,417.0,0.0,0.0
35,0.0,0.0,103.51,0.26,0.23,35.37,20.43,18.21,2771.0,0.7096322115384616,0.506,4.158,416,83.4,83.0,84.0,417.0,0.0,0.0
40,0.0,0.0,107.53,0.26,0.23,35.4,20.43,18.21,2774.0,0.6953237410071942,0.507,1.817,417,83.2,83.0,84.0,416.0,0.0,0.0
45,0.0,0.0,114.77,0.26,0.23,35.62,20.43,18.21,2792.0,0.6970503597122303,0.517,5.989,417,83.4,83.0,84.0,417.0,0.0,0.0
50,0.01,0.0,103.95,0.26,0.23,35.66,20.43,18.21,2794.0,0.6986706730769231,0.517,4.074,416,83.4,83.0,84.0,417.0,0.0,0.0
55,0.0,0.0,104.55,0.26,0.23,35.73,20.43,18.21,2799.0,0.7037721822541967,0.526,1.467,417,83.2,83.0,84.0,416.0,0.0,0.0
60,0.0,0.0,118.62,0.26,0.23,35.91,20.43,18.21,2813.0,0.7025779376498802,0.505,5.156,417,83.4,83.0,84.0,417.0,0.0,0.0
65,0.0,0.0,104.56,0.26,0.23,35.91,20.43,18.21,2814.0,0.6756322115384615,0.509,4.591,416,83.4,83.0,84.0,417.0,0.0,0.0
70,0.0,0.0,106.25,0.26,0.23,35.96,20.43,18.21,2818.0,0.6754196642685851,0.459,2.002,417,83.2,83.0,84.0,416.0,0.0,0.0
75,0.0,0.0,106.91,0.26,0.23,36.16,20.43,18.21,2833.0,0.6727817745803357,0.515,2.133,417,83.4,83.0,84.0,417.0,0.0,0.0
80,0.0,0.01,103.39,0.26,0.23,36.13,20.43,18.21,2831.0,0.6838028846153846,0.482,4.091,416,83.4,83.0,84.0,417.0,0.0,0.0
85,0.0,0.0,114.34,0.26,0.23,36.29,20.43,18.21,2843.0,0.6600071942446043,0.439,1.585,417,83.2,83.0,84.0,416.0,0.0,0.0
90,0.0,0.0,103.67,0.26,0.23,36.32,20.43,18.21,2846.0,0.6772446043165468,0.511,3.938,417,83.4,83.0,84.0,417.0,0.0,0.0
