timestamp,cdn_cpu_percent,monolith_cpu_percent,cdn_mem_percent,monolith_mem_percent,cdn_mem_usage,monolith_mem_usage,mean,min,max,count,throughput_mean,throughput_min,throughput_max,throughput_count,err_mean,err_count
0,0.0,127.45,0.83,23.15,64.88,1814.0,8.067057598039217,0.91,347.695,816,166.6,166.0,167.0,833.0,0.0,0.0
5,0.0,138.2,0.83,33.83,64.88,2651.0,1.0866950780312126,0.782,10.069,833,166.8,166.0,167.0,834.0,0.0,0.0
10,0.0,116.54,0.83,35.46,64.88,2779.0,1.0171368547418966,0.686,17.324,833,166.6,166.0,167.0,833.0,0.0,0.0
15,0.0,132.62,0.83,35.72,64.88,2799.0,0.8807553956834532,0.657,11.324,834,166.6,166.0,167.0,833.0,0.0,0.0
20,0.0,109.37,0.83,35.88,64.88,2811.0,0.8973625450180073,0.662,13.556,833,166.8,166.0,167.0,834.0,0.0,0.0
25,0.0,111.28,0.83,36.1,64.88,2829.0,0.8718679471788715,0.628,18.033,833,166.6,166.0,167.0,833.0,0.0,0.0
30,,,,,,,0.8899448441247003,0.644,16.064,834,166.6,166.0,167.0,833.0,0.0,0.0
35,0.0,109.07,0.83,36.31,64.88,2845.0,0.8050180072028812,0.657,4.361,833,166.8,166.0,167.0,834.0,0.0,0.0
40,0.0,134.1,0.83,36.51,64.88,2861.0,0.8274297719087635,0.615,7.906,833,166.6,166.0,167.0,833.0,0.0,0.0
45,0.0,127.38,0.83,36.81,64.88,2884.0,0.7994436450839328,0.615,9.049,834,166.6,166.0,167.0,833.0,0.0,0.0
50,0.0,115.89,0.83,37.01,64.88,2900.0,0.8381836734693877,0.579,13.269,833,166.8,166.0,167.0,834.0,0.0,0.0
55,0.0,108.06,0.8,37.15,62.9,2911.0,0.7915030012004802,0.601,10.366,833,166.6,166.0,167.0,833.0,0.0,0.0
60,0.0,107.94,0.8,37.5,62.9,2938.0,0.8412721822541966,0.638,13.943,834,166.6,166.0,167.0,833.0,0.0,0.0
65,0.0,107.85,0.8,37.68,62.9,2953.0,0.777905162064826,0.612,10.18,833,166.8,166.0,167.0,834.0,0.0,0.0
70,0.0,108.08,0.8,38.17,62.9,2992.0,0.8124201680672268,0.611,14.856,833,166.6,166.0,167.0,833.0,0.0,0.0
75,0.0,122.02,0.8,38.34,62.9,3005.0,0.7748549160671463,0.586,12.612,834,166.6,166.0,167.0,833.0,0.0,0.0
80,0.0,107.64,0.8,38.59,62.9,3023.0,0.8113025210084033,0.599,11.806,833,166.8,166.0,167.0,834.0,0.0,0.0
85,0.0,107.84,0.8,38.78,62.9,3039.0,0.7688943577430972,0.628,12.347,833,166.6,166.0,167.0,833.0,0.0,0.0
90,0.0,107.3,0.8,39.04,62.9,3059.0,0.7909868105515587,0.564,12.294,834,166.6,166.0,167.0,833.0,0.0,0.0
