name,cpu_percent,mem_usage,mem_limit,mem_percent
1735060833,monolith,106.24,3.593GiB,4GiB,89.83
1735060833,recommendations,8.19,68.58MiB,7.654GiB,0.88
1735060833,teasers,7.89,78.36MiB,7.654GiB,1.00
1735060833,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060833,discovery,0.78,28.27MiB,7.654GiB,0.36
1735060836,monolith,103.36,3.593GiB,4GiB,89.83
1735060836,recommendations,0.62,70.35MiB,7.654GiB,0.90
1735060836,teasers,1.12,70.81MiB,7.654GiB,0.90
1735060836,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060836,discovery,0.07,28.35MiB,7.654GiB,0.36
1735060838,monolith,101.88,3.594GiB,4GiB,89.84
1735060838,recommendations,3.76,60.69MiB,7.654GiB,0.77
1735060838,teasers,2.93,71.69MiB,7.654GiB,0.91
1735060838,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060838,discovery,0.34,28.45MiB,7.654GiB,0.36
1735060840,monolith,100.87,3.593GiB,4GiB,89.83
1735060840,recommendations,1.99,59.98MiB,7.654GiB,0.77
1735060840,teasers,1.60,71.63MiB,7.654GiB,0.91
1735060840,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060840,discovery,0.11,28.54MiB,7.654GiB,0.36
1735060842,monolith,118.02,3.593GiB,4GiB,89.82
1735060842,recommendations,0.63,61.29MiB,7.654GiB,0.78
1735060842,teasers,0.55,72.71MiB,7.654GiB,0.93
1735060842,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060842,discovery,0.05,28.62MiB,7.654GiB,0.37
1735060844,monolith,101.09,3.588GiB,4GiB,89.69
1735060844,recommendations,0.83,62.26MiB,7.654GiB,0.79
1735060844,teasers,1.07,73.71MiB,7.654GiB,0.94
1735060844,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060844,discovery,0.12,28.72MiB,7.654GiB,0.37
1735060846,monolith,100.96,3.588GiB,4GiB,89.69
1735060846,recommendations,0.64,63.51MiB,7.654GiB,0.81
1735060846,teasers,0.44,74.48MiB,7.654GiB,0.95
1735060846,cdn,0.11,17.88MiB,7.654GiB,0.23
1735060846,discovery,0.06,28.8MiB,7.654GiB,0.37
1735060848,monolith,101.12,3.588GiB,4GiB,89.69
1735060848,recommendations,1.39,63.71MiB,7.654GiB,0.81
1735060848,teasers,0.99,74.48MiB,7.654GiB,0.95
1735060848,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060848,discovery,0.16,28.91MiB,7.654GiB,0.37
1735060850,monolith,102.40,3.588GiB,4GiB,89.70
1735060850,recommendations,2.68,63.79MiB,7.654GiB,0.81
1735060850,teasers,1.13,74.81MiB,7.654GiB,0.95
1735060850,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060850,discovery,0.12,28.18MiB,7.654GiB,0.36
1735060852,monolith,101.50,3.588GiB,4GiB,89.69
1735060852,recommendations,1.37,65.1MiB,7.654GiB,0.83
1735060852,teasers,1.32,75.55MiB,7.654GiB,0.96
1735060852,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060852,discovery,0.07,28.26MiB,7.654GiB,0.36
1735060854,monolith,101.22,3.588GiB,4GiB,89.71
1735060854,recommendations,1.41,66.47MiB,7.654GiB,0.85
1735060854,teasers,1.63,76.78MiB,7.654GiB,0.98
1735060854,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060854,discovery,0.12,28.36MiB,7.654GiB,0.36
1735060856,monolith,104.66,3.588GiB,4GiB,89.70
1735060856,recommendations,1.81,67.7MiB,7.654GiB,0.86
1735060856,teasers,1.77,78.39MiB,7.654GiB,1.00
1735060856,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060856,discovery,0.24,28.45MiB,7.654GiB,0.36
1735060858,monolith,102.78,3.588GiB,4GiB,89.70
1735060858,recommendations,1.23,67.75MiB,7.654GiB,0.86
1735060858,teasers,12.06,60.28MiB,7.654GiB,0.77
1735060858,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060858,discovery,0.47,28.55MiB,7.654GiB,0.36
1735060860,monolith,102.02,3.588GiB,4GiB,89.70
1735060860,recommendations,1.44,67.88MiB,7.654GiB,0.87
1735060860,teasers,4.09,62.03MiB,7.654GiB,0.79
1735060860,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060860,discovery,0.12,28.63MiB,7.654GiB,0.37
1735060862,monolith,101.20,3.588GiB,4GiB,89.70
1735060862,recommendations,0.68,68.18MiB,7.654GiB,0.87
1735060862,teasers,0.68,62.39MiB,7.654GiB,0.80
1735060862,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060862,discovery,0.16,28.71MiB,7.654GiB,0.37
1735060864,monolith,102.96,3.588GiB,4GiB,89.70
1735060864,recommendations,1.37,68.5MiB,7.654GiB,0.87
1735060864,teasers,4.78,64.19MiB,7.654GiB,0.82
1735060864,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060864,discovery,0.14,28.82MiB,7.654GiB,0.37
1735060866,monolith,106.79,3.588GiB,4GiB,89.70
1735060866,recommendations,4.12,69.11MiB,7.654GiB,0.88
1735060866,teasers,3.48,64.23MiB,7.654GiB,0.82
1735060866,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060866,discovery,0.36,28.9MiB,7.654GiB,0.37
1735060868,monolith,101.96,3.589GiB,4GiB,89.71
1735060868,recommendations,1.14,71.48MiB,7.654GiB,0.91
1735060868,teasers,1.51,65.01MiB,7.654GiB,0.83
1735060868,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060868,discovery,0.21,28.18MiB,7.654GiB,0.36
1735060870,monolith,102.03,3.588GiB,4GiB,89.70
1735060870,recommendations,2.26,71.45MiB,7.654GiB,0.91
1735060870,teasers,2.82,65.55MiB,7.654GiB,0.84
1735060870,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060870,discovery,0.30,28.26MiB,7.654GiB,0.36
1735060872,monolith,100.82,3.588GiB,4GiB,89.70
1735060872,recommendations,1.06,72.82MiB,7.654GiB,0.93
1735060872,teasers,1.82,66.44MiB,7.654GiB,0.85
1735060872,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060872,discovery,0.07,28.34MiB,7.654GiB,0.36
1735060874,monolith,101.24,3.588GiB,4GiB,89.70
1735060874,recommendations,3.04,74.26MiB,7.654GiB,0.95
1735060874,teasers,2.98,67.83MiB,7.654GiB,0.87
1735060874,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060874,discovery,0.21,28.45MiB,7.654GiB,0.36
1735060876,monolith,101.74,3.588GiB,4GiB,89.71
1735060876,recommendations,1.11,74.25MiB,7.654GiB,0.95
1735060876,teasers,1.65,69.56MiB,7.654GiB,0.89
1735060876,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060876,discovery,0.12,28.52MiB,7.654GiB,0.36
1735060878,monolith,100.74,3.588GiB,4GiB,89.70
1735060878,recommendations,0.52,74.26MiB,7.654GiB,0.95
1735060878,teasers,1.04,69.66MiB,7.654GiB,0.89
1735060878,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060878,discovery,0.05,28.61MiB,7.654GiB,0.36
1735060880,monolith,102.16,3.589GiB,4GiB,89.72
1735060880,recommendations,1.31,74.3MiB,7.654GiB,0.95
1735060880,teasers,1.22,70.63MiB,7.654GiB,0.90
1735060880,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060880,discovery,0.13,28.71MiB,7.654GiB,0.37
1735060882,monolith,101.20,3.588GiB,4GiB,89.71
1735060882,recommendations,2.43,74.57MiB,7.654GiB,0.95
1735060882,teasers,1.72,70.76MiB,7.654GiB,0.90
1735060882,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060882,discovery,0.28,28.79MiB,7.654GiB,0.37
1735060884,monolith,106.25,3.588GiB,4GiB,89.71
1735060884,recommendations,0.68,74.36MiB,7.654GiB,0.95
1735060884,teasers,0.63,71.75MiB,7.654GiB,0.92
1735060884,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060884,discovery,0.07,28.88MiB,7.654GiB,0.37
1735060886,monolith,101.11,3.588GiB,4GiB,89.71
1735060886,recommendations,1.48,74.82MiB,7.654GiB,0.95
1735060886,teasers,1.16,71.78MiB,7.654GiB,0.92
1735060886,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060886,discovery,0.19,28.16MiB,7.654GiB,0.36
1735060888,monolith,100.68,3.589GiB,4GiB,89.72
1735060888,recommendations,2.08,74.82MiB,7.654GiB,0.95
1735060888,teasers,1.00,73.04MiB,7.654GiB,0.93
1735060888,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060888,discovery,0.05,28.24MiB,7.654GiB,0.36
1735060890,monolith,101.36,3.588GiB,4GiB,89.71
1735060890,recommendations,1.52,74.82MiB,7.654GiB,0.95
1735060890,teasers,2.42,75.2MiB,7.654GiB,0.96
1735060890,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060890,discovery,0.11,28.35MiB,7.654GiB,0.36
1735060892,monolith,105.30,3.589GiB,4GiB,89.71
1735060892,recommendations,1.01,75.76MiB,7.654GiB,0.97
1735060892,teasers,2.44,75.2MiB,7.654GiB,0.96
1735060892,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060892,discovery,0.13,28.43MiB,7.654GiB,0.36
1735060894,monolith,102.51,3.589GiB,4GiB,89.71
1735060894,recommendations,4.21,79.86MiB,7.654GiB,1.02
1735060894,teasers,5.38,78.55MiB,7.654GiB,1.00
1735060894,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060894,discovery,0.17,28.61MiB,7.654GiB,0.37
1735060896,monolith,101.93,3.589GiB,4GiB,89.73
1735060896,recommendations,3.38,80.73MiB,7.654GiB,1.03
1735060896,teasers,3.74,78.34MiB,7.654GiB,1.00
1735060896,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060896,discovery,0.28,28.8MiB,7.654GiB,0.37
1735060898,monolith,103.96,3.589GiB,4GiB,89.72
1735060898,recommendations,2.31,84.14MiB,7.654GiB,1.07
1735060898,teasers,4.07,78.59MiB,7.654GiB,1.00
1735060898,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060898,discovery,0.72,28.16MiB,7.654GiB,0.36
1735060900,monolith,101.54,3.589GiB,4GiB,89.72
1735060900,recommendations,4.50,86.75MiB,7.654GiB,1.11
1735060900,teasers,1.54,78.43MiB,7.654GiB,1.00
1735060900,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060900,discovery,0.14,28.32MiB,7.654GiB,0.36
1735060902,monolith,103.31,3.589GiB,4GiB,89.73
1735060902,recommendations,1.55,86.75MiB,7.654GiB,1.11
1735060902,teasers,2.36,79.91MiB,7.654GiB,1.02
1735060902,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060902,discovery,0.19,28.5MiB,7.654GiB,0.36
1735060904,monolith,101.77,3.589GiB,4GiB,89.72
1735060904,recommendations,2.67,86.76MiB,7.654GiB,1.11
1735060904,teasers,1.68,81.54MiB,7.654GiB,1.04
1735060904,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060904,discovery,0.22,28.68MiB,7.654GiB,0.37
1735060906,monolith,102.57,3.59GiB,4GiB,89.75
1735060906,recommendations,1.72,87.37MiB,7.654GiB,1.11
1735060906,teasers,1.71,81.54MiB,7.654GiB,1.04
1735060906,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060906,discovery,0.28,28.85MiB,7.654GiB,0.37
1735060908,monolith,101.75,3.59GiB,4GiB,89.75
1735060908,recommendations,2.09,87.42MiB,7.654GiB,1.12
1735060908,teasers,1.65,83.63MiB,7.654GiB,1.07
1735060908,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060908,discovery,0.17,28.21MiB,7.654GiB,0.36
1735060911,monolith,101.72,3.59GiB,4GiB,89.75
1735060911,recommendations,9.32,88.75MiB,7.654GiB,1.13
1735060911,teasers,2.01,87.34MiB,7.654GiB,1.11
1735060911,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060911,discovery,0.18,28.4MiB,7.654GiB,0.36
1735060913,monolith,101.78,3.591GiB,4GiB,89.78
1735060913,recommendations,1.87,88.46MiB,7.654GiB,1.13
1735060913,teasers,2.18,87.75MiB,7.654GiB,1.12
1735060913,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060913,discovery,0.20,28.58MiB,7.654GiB,0.36
1735060915,monolith,101.84,3.591GiB,4GiB,89.78
1735060915,recommendations,3.76,88.46MiB,7.654GiB,1.13
1735060915,teasers,3.21,90.42MiB,7.654GiB,1.15
1735060915,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060915,discovery,0.21,28.74MiB,7.654GiB,0.37
1735060917,monolith,105.06,3.593GiB,4GiB,89.81
1735060917,recommendations,9.15,88.46MiB,7.654GiB,1.13
1735060917,teasers,6.76,94.21MiB,7.654GiB,1.20
1735060917,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060917,discovery,0.54,28.11MiB,7.654GiB,0.36
1735060919,monolith,102.70,3.592GiB,4GiB,89.80
1735060919,recommendations,4.38,88.58MiB,7.654GiB,1.13
1735060919,teasers,3.91,93.88MiB,7.654GiB,1.20
1735060919,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060919,discovery,0.19,28.29MiB,7.654GiB,0.36
1735060921,monolith,102.38,3.592GiB,4GiB,89.80
1735060921,recommendations,3.22,88.5MiB,7.654GiB,1.13
1735060921,teasers,3.58,93.94MiB,7.654GiB,1.20
1735060921,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060921,discovery,0.22,28.47MiB,7.654GiB,0.36
1735060923,monolith,103.42,3.593GiB,4GiB,89.83
1735060923,recommendations,5.86,88.68MiB,7.654GiB,1.13
1735060923,teasers,6.85,94.48MiB,7.654GiB,1.21
1735060923,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060923,discovery,0.38,28.73MiB,7.654GiB,0.37
1735060925,monolith,104.27,3.594GiB,4GiB,89.85
1735060925,recommendations,8.78,88.92MiB,7.654GiB,1.13
1735060925,teasers,14.12,96.86MiB,7.654GiB,1.24
1735060925,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060925,discovery,0.49,28.46MiB,7.654GiB,0.36
1735060927,monolith,105.00,3.595GiB,4GiB,89.88
