timestamp,name,cpu_percent,mem_usage,mem_limit,mem_percent
1735068325,monolith,160.30,397.5MiB,4GiB,9.70
1735068325,teasers,0.00,42.98MiB,7.654GiB,0.55
1735068325,recommendations,26.08,50.6MiB,7.654GiB,0.65
1735068325,cdn,0.00,22.29MiB,7.654GiB,0.28
1735068325,discovery,0.88,22.66MiB,7.654GiB,0.29
1735068330,monolith,102.62,2.274GiB,4GiB,56.84
1735068330,teasers,1.47,50.89MiB,7.654GiB,0.65
1735068330,recommendations,1.95,51.56MiB,7.654GiB,0.66
1735068330,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068330,discovery,0.20,18.32MiB,7.654GiB,0.23
1735068335,monolith,106.47,2.615GiB,4GiB,65.38
1735068335,teasers,1.52,55.39MiB,7.654GiB,0.71
1735068335,recommendations,4.14,46.52MiB,7.654GiB,0.59
1735068335,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068335,discovery,0.18,18.88MiB,7.654GiB,0.24
1735068340,monolith,101.70,2.617GiB,4GiB,65.42
1735068340,teasers,0.50,48.8MiB,7.654GiB,0.62
1735068340,recommendations,1.25,50.09MiB,7.654GiB,0.64
1735068340,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068340,discovery,0.07,19.21MiB,7.654GiB,0.25
1735068345,monolith,102.90,2.619GiB,4GiB,65.48
1735068345,teasers,1.75,51.55MiB,7.654GiB,0.66
1735068345,recommendations,1.02,52.3MiB,7.654GiB,0.67
1735068345,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068345,discovery,0.15,18.73MiB,7.654GiB,0.24
1735068350,monolith,104.22,2.62GiB,4GiB,65.51
1735068350,teasers,1.39,55.3MiB,7.654GiB,0.71
1735068350,recommendations,5.10,57.62MiB,7.654GiB,0.74
1735068350,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068350,discovery,0.09,18.95MiB,7.654GiB,0.24
1735068355,monolith,106.33,2.624GiB,4GiB,65.59
1735068355,teasers,4.08,59.45MiB,7.654GiB,0.76
1735068355,recommendations,0.50,58.95MiB,7.654GiB,0.75
1735068355,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068355,discovery,0.08,19.35MiB,7.654GiB,0.25
1735068360,monolith,105.76,2.632GiB,4GiB,65.79
1735068360,teasers,0.79,60.87MiB,7.654GiB,0.78
1735068360,recommendations,0.94,63.21MiB,7.654GiB,0.81
