timestamp,cdn_cpu_percent,discovery_cpu_percent,monolith_cpu_percent,recommendations_cpu_percent,teasers_cpu_percent,cdn_mem_percent,discovery_mem_percent,monolith_mem_percent,recommendations_mem_percent,teasers_mem_percent,cdn_mem_usage,discovery_mem_usage,monolith_mem_usage,recommendations_mem_usage,teasers_mem_usage,duration_mean,duration_min,duration_max,duration_count,throughput_mean,throughput_min,throughput_max,throughput_count,err_mean,err_count
0,0.0,12.38,313.52,114.58,102.17,0.28,0.58,26.14,3.86,3.45,22.21,45.73,2049.0,302.2,270.1,359.8935440414508,7.267,1443.764,1737,360.8,259.0,466.0,1804.0,0.0,0.0
5,0.0,8.23,253.48,99.72,84.05,0.28,0.79,38.57,3.83,4.14,22.21,61.58,3022.0,300.3,324.4,14.64003237410072,5.923,52.64,1668,333.4,331.0,336.0,1667.0,0.0,0.0
10,0.0,9.02,218.87,93.24,93.23,0.28,0.83,39.32,3.92,4.73,22.21,64.71,3081.0,307.4,371.0,9.5198950209958,5.34,65.416,1667,333.4,333.0,334.0,1667.0,0.0,0.0
15,0.0,8.15,173.51,78.92,84.65,0.28,0.84,39.73,3.97,5.01,22.21,65.89,3113.0,311.0,392.7,8.579422315536894,5.524,45.455,1667,333.4,333.0,334.0,1667.0,0.0,0.0
20,0.0,8.18,221.03,78.35,72.38,0.28,0.85,40.46,3.9,5.15,22.21,66.4,3171.0,305.4,403.6,8.39997719087635,5.403,65.137,1666,333.2,332.0,334.0,1666.0,0.0,0.0
25,0.0,7.38,168.89,76.63,83.28,0.28,0.85,41.08,3.93,5.25,22.21,66.91,3219.0,308.1,411.5,8.5746124775045,4.91,59.35,1667,333.6,330.0,336.0,1668.0,0.0,0.0
30,0.0,7.67,178.15,85.68,70.79,0.28,0.86,41.71,3.94,5.35,22.21,67.1,3268.0,309.2,419.1,8.148766506602641,5.511,56.598,1666,333.2,332.0,334.0,1666.0,0.0,0.0
35,0.0,7.27,175.85,87.43,69.88,0.28,0.86,42.16,3.97,5.44,22.21,67.32,3304.0,310.8,426.5,9.881652278177459,5.277,70.675,1668,332.8,330.0,335.0,1664.0,0.0,0.0
40,0.0,6.98,174.33,84.54,69.55,0.28,0.86,42.77,4.04,5.48,22.21,67.73,3352.0,316.6,429.6,9.282090636254502,5.327,101.761,1666,334.0,332.0,336.0,1670.0,0.0,0.0
45,0.0,8.45,182.89,86.67,79.78,0.28,0.87,43.16,4.02,5.49,22.21,67.96,3382.0,315.3,430.6,9.124453781512605,5.424,81.664,1666,333.2,333.0,334.0,1666.0,0.0,0.0
50,0.0,7.61,173.46,74.3,70.17,0.28,0.86,43.73,4.05,5.52,22.21,67.36,3427.0,317.3,432.8,7.862104916067146,5.419,34.917,1668,333.4,333.0,334.0,1667.0,0.0,0.0
55,0.0,7.14,165.18,75.0,70.01,0.28,0.86,44.1,4.01,5.57,22.21,67.74,3456.0,314.1,436.2,8.190273709483794,5.363,73.943,1666,333.4,333.0,334.0,1667.0,0.0,0.0
60,0.0,7.34,174.57,74.74,68.74,0.28,0.86,44.67,4.02,5.56,22.21,67.78,3501.0,314.8,435.9,7.607904019196161,5.191,37.098,1667,333.2,328.0,338.0,1666.0,0.0,0.0
65,0.0,7.24,174.95,75.33,67.78,0.28,0.87,45.0,4.04,5.62,22.21,68.02,3526.0,316.4,440.8,7.9611427714457115,5.344,72.825,1667,333.4,333.0,334.0,1667.0,0.0,0.0
70,0.0,9.26,166.48,76.6,70.78,0.28,0.86,45.36,4.03,5.65,22.21,67.78,3555.0,315.8,443.1,7.665776110444178,5.319,69.365,1666,333.4,333.0,334.0,1667.0,0.0,0.0
75,0.0,9.2,165.25,74.78,69.97,0.28,0.87,45.94,4.03,5.65,22.21,67.8,3600.0,315.9,442.9,9.145752249550089,4.924,68.033,1667,333.2,319.0,348.0,1666.0,0.0,0.0
80,0.0,7.28,177.24,74.9,69.45,0.28,0.87,46.5,4.01,5.59,22.21,68.05,3644.0,313.9,438.5,8.189293341331734,4.8,83.587,1667,333.2,332.0,334.0,1666.0,0.0,0.0
85,0.0,9.14,166.01,82.52,67.58,0.28,0.87,46.87,3.98,5.56,22.21,67.82,3673.0,312.3,436.0,8.025331531531531,5.469,71.104,1665,333.6,332.0,335.0,1668.0,0.0,0.0
