timestamp,cdn_cpu_percent,discovery_cpu_percent,homepage_cpu_percent,monolith_cpu_percent,recommendations_cpu_percent,teasers_cpu_percent,cdn_mem_percent,discovery_mem_percent,homepage_mem_percent,monolith_mem_percent,recommendations_mem_percent,teasers_mem_percent,cdn_mem_usage,discovery_mem_usage,homepage_mem_usage,monolith_mem_usage,recommendations_mem_usage,teasers_mem_usage,duration_mean,duration_min,duration_max,duration_count,throughput_mean,throughput_min,throughput_max,throughput_count,err_mean,err_count
0,0.0,4.58,85.44,30.2,2.05,2.16,0.32,0.47,2.78,5.16,0.56,0.58,24.89,36.82,218.2,404.6,43.51,45.54,25.32912335329341,6.432,452.439,835,166.6,166.0,167.0,833.0,0.0,0.0
5,0.0,3.99,83.46,59.51,0.0,0.0,0.32,0.55,2.81,5.87,0.53,0.57,24.89,43.05,220.2,459.8,41.78,44.32,8.67517865707434,5.933,21.702,834,166.6,166.0,167.0,833.0,0.0,0.0
10,0.0,3.77,78.37,48.39,0.0,0.0,0.32,0.68,2.85,5.91,0.53,0.57,24.89,53.64,223.3,463.0,41.78,44.32,8.360152460984393,5.816,17.045,833,166.8,166.0,167.0,834.0,0.0,0.0
15,0.0,4.05,79.52,24.82,0.0,0.0,0.32,0.78,2.85,6.37,0.53,0.57,24.8,60.86,223.4,499.1,41.77,44.32,8.287054021608643,6.769,16.091,833,166.6,166.0,167.0,833.0,0.0,0.0
20,0.0,3.59,78.96,30.36,0.0,0.0,0.32,0.81,2.87,6.51,0.53,0.57,24.8,63.2,225.1,510.0,41.77,44.32,8.17682134292566,6.744,14.963,834,166.6,166.0,167.0,833.0,0.0,0.0
25,0.0,4.16,72.68,17.97,0.0,0.0,0.32,0.81,2.89,6.52,0.53,0.57,24.8,63.3,226.8,510.8,41.77,44.32,8.091920768307322,6.724,13.152,833,166.8,166.0,167.0,834.0,0.0,0.0
30,0.0,3.45,76.18,13.24,0.0,0.0,0.32,0.81,2.9,6.56,0.53,0.57,24.8,63.71,227.1,514.1,41.77,44.32,8.058320143884892,6.656,15.485,834,166.6,166.0,167.0,833.0,0.0,0.0
35,0.0,3.77,78.82,12.81,0.0,0.0,0.32,0.82,2.92,6.6,0.53,0.57,24.8,64.09,228.9,517.3,41.77,44.32,8.057106842737095,5.712,15.642,833,166.6,166.0,167.0,833.0,0.0,0.0
40,0.0,2.96,78.97,33.34,0.0,0.0,0.32,0.82,2.93,7.45,0.53,0.57,24.8,64.3,229.7,583.9,41.77,44.32,7.886839135654262,5.688,14.964,833,166.8,166.0,167.0,834.0,0.0,0.0
45,0.0,3.61,72.2,14.09,0.0,0.0,0.32,0.82,2.94,7.94,0.53,0.57,24.81,64.31,230.8,622.5,41.77,44.32,7.814596638655463,5.577,18.46,833,166.6,166.0,167.0,833.0,0.0,0.0
50,0.0,4.03,76.17,12.24,0.0,0.0,0.32,0.43,2.9,7.92,0.53,0.57,24.81,33.71,227.5,620.7,41.77,44.32,7.912183453237411,5.641,17.792,834,166.6,166.0,167.0,833.0,0.0,0.0
55,,,,,,,,,,,,,,,,,,,7.870735894357743,5.422,13.17,833,166.8,166.0,167.0,834.0,0.0,0.0
60,0.0,3.87,71.62,12.74,0.0,0.0,0.32,0.6,2.94,8.05,0.53,0.57,24.81,46.76,230.6,631.1,41.77,44.32,7.882752701080432,5.65,17.667,833,166.6,166.0,167.0,833.0,0.0,0.0
65,0.0,3.25,76.71,13.06,0.0,0.0,0.32,0.65,2.95,8.23,0.53,0.57,24.81,51.13,231.1,644.8,41.77,44.32,7.780092326139089,5.482,13.637,834,166.6,166.0,167.0,833.0,0.0,0.0
70,0.0,3.78,71.22,27.77,0.0,0.0,0.32,0.79,2.97,9.19,0.53,0.57,24.81,61.95,232.9,720.0,41.77,44.32,7.789332533013205,5.584,14.075,833,166.8,166.0,167.0,834.0,0.0,0.0
75,0.0,5.01,76.63,79.98,0.0,0.0,0.32,0.83,2.93,10.87,0.53,0.57,24.81,65.27,229.9,851.8,41.77,44.32,7.796985594237695,5.597,12.291,833,166.6,166.0,167.0,833.0,0.0,0.0
80,0.01,3.21,74.97,11.77,0.0,0.0,0.32,0.83,2.95,11.69,0.53,0.57,24.81,65.32,231.0,916.4,41.78,44.34,7.731033573141486,5.508,12.427,834,166.8,166.0,167.0,834.0,0.0,0.0
85,0.0,4.36,75.64,12.36,0.0,0.0,0.32,0.84,3.01,12.72,0.53,0.57,24.81,65.71,235.6,996.8,41.78,44.34,7.769253301320528,5.467,13.171,833,166.6,166.0,167.0,833.0,0.0,0.0
