timestamp,cdn_cpu_percent,discovery_cpu_percent,monolith_cpu_percent,recommendations_cpu_percent,teasers_cpu_percent,cdn_mem_percent,discovery_mem_percent,monolith_mem_percent,recommendations_mem_percent,teasers_mem_percent,cdn_mem_usage,discovery_mem_usage,monolith_mem_usage,recommendations_mem_usage,teasers_mem_usage,mean,min,max,count,throughput_mean,throughput_min,throughput_max,throughput_count,err_mean,err_count
0,0.0,4.3,43.28,0.0,0.0,0.33,0.44,4.03,0.57,0.57,25.97,34.58,316.1,44.93,44.88,10.019718750000001,7.044,19.094,416,83.4,83.0,84.0,417.0,0.0,0.0
5,0.0,2.38,16.92,0.0,0.0,0.33,0.47,4.43,0.57,0.57,25.97,37.05,347.5,44.93,44.88,9.103664268585131,6.444,17.099,417,83.4,83.0,84.0,417.0,0.0,0.0
10,0.0,2.25,18.95,0.0,0.0,0.33,0.55,4.89,0.57,0.57,25.97,43.39,382.9,44.93,44.88,8.9478345323741,6.298,13.297,417,83.2,83.0,84.0,416.0,0.0,0.0
15,0.0,2.08,30.26,0.0,0.0,0.33,0.57,5.49,0.57,0.57,25.97,44.61,430.1,44.93,44.88,9.106548076923078,6.292,18.521,416,83.4,83.0,84.0,417.0,0.0,0.0
20,0.0,2.06,18.27,0.0,0.0,0.33,0.57,5.46,0.57,0.57,25.97,44.62,427.7,44.93,44.88,8.878932853717027,6.233,14.638,417,83.4,83.0,84.0,417.0,0.0,0.0
25,0.0,2.22,19.34,0.0,0.0,0.33,0.62,5.73,0.57,0.57,25.97,48.46,449.4,44.93,44.88,8.937134292565947,6.107,11.421,417,83.2,83.0,84.0,416.0,0.0,0.0
30,0.0,2.43,11.49,0.0,0.0,0.33,0.71,5.74,0.57,0.57,25.97,55.48,449.9,44.93,44.88,8.67734375,6.165,12.427,416,83.4,83.0,84.0,417.0,0.0,0.0
35,0.0,2.21,12.09,0.0,0.0,0.33,0.75,5.75,0.57,0.57,25.97,58.9,450.5,44.93,44.88,9.37585851318945,6.361,15.159,417,83.4,83.0,84.0,417.0,0.0,0.0
40,0.0,1.92,9.23,0.0,0.0,0.33,0.78,5.82,0.57,0.57,25.97,61.07,456.0,44.93,44.88,9.05425659472422,6.166,16.634,417,83.2,83.0,84.0,416.0,0.0,0.0
45,0.0,2.22,11.18,0.0,0.0,0.33,0.81,5.83,0.57,0.57,25.97,63.5,457.2,44.93,44.88,8.836465227817746,6.18,13.538,417,83.4,83.0,84.0,417.0,0.0,0.0
50,0.0,1.97,7.91,0.0,0.0,0.33,0.81,5.88,0.57,0.57,25.97,63.64,460.7,44.93,44.88,8.824752403846155,6.054,13.644,416,83.4,83.0,84.0,417.0,0.0,0.0
55,0.0,2.53,9.38,0.0,0.0,0.33,0.81,5.94,0.57,0.57,25.97,63.56,465.7,44.93,44.88,9.032388489208632,6.21,19.419,417,83.2,83.0,84.0,416.0,0.0,0.0
60,0.0,1.98,10.77,0.0,0.0,0.33,0.82,5.92,0.57,0.57,25.97,64.25,463.8,44.93,44.88,8.855225419664269,6.094,13.283,417,83.4,83.0,84.0,417.0,0.0,0.0
65,0.0,2.03,11.3,0.0,0.0,0.33,0.82,6.32,0.57,0.57,25.97,64.34,495.6,44.93,44.88,8.85391826923077,6.147,14.226,416,83.2,83.0,84.0,416.0,0.0,0.0
70,0.0,2.26,9.18,0.0,0.0,0.33,0.82,6.33,0.57,0.57,25.97,64.29,495.7,44.93,44.88,8.912935251798562,6.166,14.641,417,83.4,83.0,84.0,417.0,0.0,0.0
75,0.0,2.33,18.59,0.0,0.0,0.33,0.82,6.33,0.57,0.57,25.97,64.46,496.0,44.93,44.88,8.878730769230769,6.369,13.668,416,83.4,83.0,84.0,417.0,0.0,0.0
80,0.0,1.81,7.01,0.0,0.0,0.33,0.83,6.29,0.57,0.57,25.97,64.71,493.2,44.93,44.88,8.94931175059952,6.245,19.507,417,83.2,83.0,84.0,416.0,0.0,0.0
85,0.0,1.79,29.57,0.0,0.0,0.33,0.83,6.31,0.57,0.57,25.97,64.7,494.2,44.93,44.88,8.924563549160672,6.168,13.892,417,83.4,83.0,84.0,417.0,0.0,0.0
90,0.0,1.96,7.25,0.0,0.0,0.33,0.83,6.31,0.57,0.57,25.98,64.71,494.4,44.94,44.88,8.954045673076923,6.476,14.353,416,83.4,83.0,84.0,417.0,0.0,0.0
95,0.0,2.37,12.56,0.0,0.0,0.33,0.82,6.31,0.57,0.57,25.98,64.65,494.9,44.94,44.88,8.93668824940048,6.381,14.646,417,83.2,83.0,84.0,416.0,0.0,0.0
100,0.0,1.94,7.61,0.0,0.0,0.33,0.82,6.85,0.57,0.57,25.98,64.6,536.7,44.94,44.88,8.851139088729017,6.434,13.261,417,83.4,83.0,84.0,417.0,0.0,0.0
105,0.0,3.4,6.9,0.0,0.0,0.33,0.82,7.34,0.57,0.57,25.98,64.55,575.1,44.94,44.88,9.019713942307693,6.006,18.823,416,83.4,83.0,84.0,417.0,0.0,0.0
110,0.0,1.98,65.44,0.0,0.0,0.33,0.82,8.22,0.57,0.57,25.98,64.64,644.3,44.94,44.88,8.950172661870504,6.189,20.725,417,83.4,83.0,84.0,417.0,0.0,0.0
115,0.0,1.97,16.62,0.0,0.0,0.33,0.83,8.56,0.57,0.57,25.98,64.71,671.0,44.94,44.88,9.024906474820144,6.46,12.977,417,83.2,83.0,84.0,416.0,0.0,0.0
120,0.0,1.7,7.11,0.0,0.0,0.33,0.83,9.05,0.57,0.57,25.98,64.79,709.1,44.94,44.88,8.965575539568345,6.247,13.527,417,83.4,83.0,84.0,417.0,0.0,0.0
125,0.0,1.69,7.17,0.0,0.0,0.33,0.83,9.61,0.57,0.57,25.98,64.76,752.9,44.94,44.88,8.934134615384615,6.062,13.994,416,83.4,83.0,84.0,417.0,0.0,0.0
130,0.0,1.73,6.96,0.0,0.0,0.33,0.83,10.1,0.57,0.57,25.98,64.84,791.3,44.94,44.88,8.937892086330935,6.22,13.633,417,83.2,83.0,84.0,416.0,0.0,0.0
135,0.0,1.77,29.36,0.0,0.0,0.33,0.83,10.58,0.57,0.57,25.98,64.86,829.3,44.94,44.88,8.949611510791366,6.201,14.863,417,83.4,83.0,84.0,417.0,0.0,0.0
140,0.0,1.8,7.23,0.0,0.0,0.33,0.83,11.12,0.57,0.57,25.98,64.87,871.3,44.94,44.88,8.872899038461538,6.619,11.397,416,83.2,83.0,84.0,416.0,0.0,0.0
145,0.0,1.86,7.02,0.0,0.0,0.33,0.83,11.61,0.57,0.57,25.98,64.88,909.7,44.94,44.88,8.926937649880095,6.134,12.268,417,83.4,83.0,84.0,417.0,0.0,0.0
150,0.0,1.73,7.07,0.0,0.0,0.33,0.83,12.09,0.57,0.57,25.98,64.97,947.8,44.94,44.88,8.932877403846154,6.238,11.38,416,83.4,83.0,84.0,417.0,0.0,0.0
155,0.0,1.82,7.38,0.0,0.0,0.33,0.83,12.59,0.57,0.57,25.98,65.02,986.5,44.94,44.88,8.871294964028777,6.433,12.902,417,83.4,83.0,84.0,417.0,0.0,0.0
160,,,,,,,,,,,,,,,,8.97311990407674,6.355,11.627,417,83.2,83.0,84.0,416.0,0.0,0.0
