site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-12-1","15:56:24","13151","18181","12674.20000000298","1290.8999999910593","164.3999999910593","291","11845.89999999106","4","341",""
"http://localhost:8080/","2024-12-1","15:56:43","12832","17850","12352","1201.9000000059605","160.70000000298023","260","11593","3","310",""
"http://localhost:8080/","2024-12-1","15:57:02","12854","17877","12377.60000000894","1194.2000000029802","168.6000000089407","250","11608.40000000596","3","300",""
"http://localhost:8080/","2024-12-1","15:57:20","12832","17856","12353.70000000298","1187","169","248","11589.29999999702","3","298",""
"http://localhost:8080/","2024-12-1","15:57:39","12837","17858","12363.29999999702","1196.5999999940395","167","253","11591.89999999106","3","303",""
"http://localhost:8080/","2024-12-1","15:57:58","12838","17859","12371.39999999106","1204.7999999970198","166.20000000298023","241","11589.89999999106","3","291",""
"http://localhost:8080/","2024-12-1","15:58:16","12838","17860","12363","1196.199999988079","168","251","11596.89999999106","3","301",""
"http://localhost:8080/","2024-12-1","15:58:35","12852","17874","12379","1195.5999999940395","166.79999999701977","242","11605","3","292",""
"http://localhost:8080/","2024-12-1","15:58:53","12840","17861","12370.70000000298","1204","167.09999999403954","238","11583.70000000298","3","288",""
"http://localhost:8080/","2024-12-1","15:59:12","12810","17832","12335.59999999404","1152.199999988079","158.5","250","11571.699999988079","3","300",""
"http://localhost:8080/","2024-12-1","15:59:30","12838","17861","12359.89999999106","1193.2999999970198","158","247","11585.39999999106","3","297",""
"http://localhost:8080/","2024-12-1","15:59:49","12846","17869","12375.5","1192.0999999940395","158.59999999403954","254","11599","3","304",""
"http://localhost:8080/","2024-12-1","16:00:07","12795","17815","12326.70000000298","1176.7000000029802","159.80000001192093","238","11556.60000000894","3","288",""
"http://localhost:8080/","2024-12-1","16:00:26","12802","17825","12325.5","1192.2000000029802","158.20000000298023","242","11563.40000000596","3","292",""
"http://localhost:8080/","2024-12-1","16:00:44","12844","17864","12375.09999999404","1191.7999999970198","164.70000000298023","262","11598.89999999106","3","312",""
"http://localhost:8080/","2024-12-1","16:01:03","12817","17839","12345.5","1178.800000011921","166.30000001192093","247","11571","3","297",""
"http://localhost:8080/","2024-12-1","16:01:21","12820","17844","12344","1177.2999999970198","170.29999999701977","244","11578","3","294",""
"http://localhost:8080/","2024-12-1","16:01:40","12854","17879","12377.89999999106","1211.199999988079","165.5","240","11607.39999999106","3","290",""
"http://localhost:8080/","2024-12-1","16:01:58","12890","17910","12410.70000000298","1227.4000000059605","166.40000000596046","234","11630.79999999702","3","284",""
"http://localhost:8080/","2024-12-1","16:02:17","12848","17868","12370.199999988079","1170.199999988079","165.59999999403954","242","11592.699999988079","3","292",""
"http://localhost:8080/","2024-12-1","16:02:36","12886","17906","12405","1221.5","164.8999999910593","251","11642.89999999106","3","301",""
"http://localhost:8080/","2024-12-1","16:02:54","12868","17892","12397.79999999702","1214.5","166","250","11632.70000000298","3","300",""
"http://localhost:8080/","2024-12-1","16:03:13","12900","17924","12445.5","1228.7999999970198","165.09999999403954","245","11644.29999999702","3","295",""
"http://localhost:8080/","2024-12-1","16:03:31","12892","17912","12412.59999999404","1229.199999988079","166.09999999403954","242","11641.79999999702","3","292",""
"http://localhost:8080/","2024-12-1","16:03:50","12845","17865","12379","1212.300000011921","165","245","11591.40000000596","3","295",""
"http://localhost:8080/","2024-12-1","16:04:09","12812","17834","12344","1194.1000000089407","165.6000000089407","226","11558.20000000298","3","276",""
"http://localhost:8080/","2024-12-1","16:04:27","12839","17862","12371","1204.2999999970198","165.09999999403954","237","11595","3","287",""
