site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-12-1","16:15:51","12231","17244","11762.40000000596","1112.4000000059605","163.20000000298023","59","10990.40000000596","1","109",""
"http://localhost:8080/","2024-12-1","16:16:09","12234","17244","11756.89999999106","1106.8999999910593","163.69999998807907","58","10997.699999988079","1","108",""
"http://localhost:8080/","2024-12-1","16:16:27","12222","17233","11753.5","1103.4000000059605","164.20000000298023","57","10981.29999999702","1","107",""
"http://localhost:8080/","2024-12-1","16:16:45","12243","17255","11763.39999999106","1113.3999999910593","163.8999999910593","57","10997.39999999106","1","107",""
"http://localhost:8080/","2024-12-1","16:17:03","12909","17917","12434.5","1051.0999999940395","155.70000000298023","57","11667.09999999404","1","107",""
"http://localhost:8080/","2024-12-1","16:17:21","12221","17231","11739.800000011921","1106.5","164.30000001192093","61","10986.60000000894","1","111",""
"http://localhost:8080/","2024-12-1","16:17:39","12242","17252","11774.89999999106","1108.2000000029802","163.20000000298023","59","11007.09999999404","1","109",""
"http://localhost:8080/","2024-12-1","16:17:57","12250","17259","11784.09999999404","1100.7999999970198","155.90000000596046","58","11004.59999999404","1","108",""
"http://localhost:8080/","2024-12-1","16:18:15","12235","17245","11756.70000000298","1106.7000000029802","164.30000001192093","57","10980.300000011921","1","107",""
"http://localhost:8080/","2024-12-1","16:18:33","12249","17260","11788.10000000894","1104.7000000029802","163.1000000089407","58","11004.800000011921","1","108",""
"http://localhost:8080/","2024-12-1","16:18:51","12227","17239","11759.20000000298","1109.2000000029802","163.79999999701977","60","10992.79999999702","1","110",""
"http://localhost:8080/","2024-12-1","16:19:09","12220","17231","11755.59999999404","1105.5999999940395","163.40000000596046","57","10988.70000000298","1","107",""
"http://localhost:8080/","2024-12-1","16:19:27","12243","17254","11779.29999999702","1112.7000000029802","161.59999999403954","58","10994.09999999404","1","108",""
"http://localhost:8080/","2024-12-1","16:19:45","12217","17227","11744","1094","164.09999999403954","57","10981.40000000596","1","107",""
"http://localhost:8080/","2024-12-1","16:20:03","12251","17261","11779.79999999702","1113.1000000089407","163.29999999701977","62","11008.60000000894","1","112",""
"http://localhost:8080/","2024-12-1","16:20:21","12244","17256","11771.39999999106","1104.7000000029802","163.8999999910593","62","10995.59999999404","1","112",""
"http://localhost:8080/","2024-12-1","16:20:39","12236","17248","11774.60000000894","1091.2000000029802","156.80000001192093","59","10993.10000000894","1","109",""
"http://localhost:8080/","2024-12-1","16:20:56","12286","17298","11825.5","1125.5","164.19999998807907","57","11032.199999988079","1","107",""
"http://localhost:8080/","2024-12-1","16:21:14","12272","17282","11803.300000011921","1120","164","58","11024.300000011921","1","108",""
"http://localhost:8080/","2024-12-1","16:21:32","12957","17967","12478.60000000894","1078.5","162.20000000298023","59","11719.40000000596","1","109",""
"http://localhost:8080/","2024-12-1","16:21:51","12300","17311","11840","1140","164.5","65","11051.40000000596","1","115",""
"http://localhost:8080/","2024-12-1","16:22:09","12270","17280","11796.59999999404","1129.7999999970198","164.59999999403954","59","11028.5","1","109",""
"http://localhost:8080/","2024-12-1","16:22:27","12287","17298","11811.79999999702","1111.7999999970198","162.29999999701977","59","11025","1","109",""
"http://localhost:8080/","2024-12-1","16:22:45","12221","17231","11747.70000000298","1080.9000000059605","171.40000000596046","55","10977.5","1","105",""
"http://localhost:8080/","2024-12-1","16:23:03","12267","17277","11797.59999999404","1114.2999999970198","163.29999999701977","59","11020.09999999404","1","109",""
"http://localhost:8080/","2024-12-1","16:23:21","12287","17299","11811.70000000298","1128.3999999910593","165.5","58","11041","1","108",""
"http://localhost:8080/","2024-12-1","16:23:39","12251","17259","11779.60000000894","1129.6000000089407","164.20000000298023","55","11015","1","105",""
"http://localhost:8080/","2024-12-1","16:23:57","12258","17269","11792.70000000298","1109.2999999970198","164.59999999403954","56","11001.5","1","106",""
"http://localhost:8080/","2024-12-1","16:24:15","12262","17274","11791.90000000596","1108.6000000089407","163.40000000596046","58","11014.20000000298","1","108",""
"http://localhost:8080/","2024-12-1","16:24:33","12258","17269","11791.89999999106","1108.5999999940395","166.59999999403954","58","11010.59999999404","1","108",""
"http://localhost:8080/","2024-12-1","16:24:51","12258","17270","11780.5","1113.7999999970198","164.20000000298023","57","11017.29999999702","1","107",""
"http://localhost:8080/","2024-12-1","16:25:09","12256","17265","11791.10000000894","1107.6000000089407","164.79999999701977","55","11016.29999999702","1","105",""
"http://localhost:8080/","2024-12-1","16:25:27","12276","17286","11795.79999999702","1112.5","164.90000000596046","57","11023.20000000298","1","107",""
"http://localhost:8080/","2024-12-1","16:25:44","12295","17305","11819.40000000596","1136.1000000089407","163.40000000596046","59","11048.79999999702","1","109",""
"http://localhost:8080/","2024-12-1","16:26:02","12285","17296","11814","1114","164.29999999701977","60","11036.70000000298","1","110",""
"http://localhost:8080/","2024-12-1","16:26:20","12358","17367","11655.20000000298","1088.5","163.20000000298023","60","11011","1","110",""
