site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-12-2","15:45:08","950","5960","479.29999999701977","229.29999999701977","147.5","0","229.29999999701977","0","-1",""
"http://localhost:8080/","2024-12-2","15:45:15","766","5781","267","100.30000000074506","21.400000002235174","0","100.30000000074506","0","-1",""
"http://localhost:8080/","2024-12-2","15:45:21","756","5769","285.69999999925494","102.30000000074506","18.800000000745058","0","102.30000000074506","0","-1",""
"http://localhost:8080/","2024-12-2","15:45:28","761","5772","286.3999999985099","103.09999999776483","18.899999998509884","0","103.09999999776483","0","-1",""
"http://localhost:8080/","2024-12-2","15:45:34","743","5756","283.1000000014901","83.10000000149012","17.800000000745058","0","83.10000000149012","0","-1",""
"http://localhost:8080/","2024-12-2","15:45:41","774","5785","294.5","94.5","25.800000000745058","0","94.5","0","-1",""
"http://localhost:8080/","2024-12-2","15:45:47","740","5751","292.0999999977648","92.09999999776483","15.199999999254942","0","92.09999999776483","0","-1",""
"http://localhost:8080/","2024-12-2","15:45:54","720","5734","263.19999999925494","96.5","11.900000002235174","0","96.5","0","-1",""
"http://localhost:8080/","2024-12-2","15:46:00","707","5720","252.70000000298023","102.70000000298023","11.600000001490116","0","102.70000000298023","0","-1",""
"http://localhost:8080/","2024-12-2","15:46:06","743","5755","276.30000000074506","109.59999999776483","25.099999997764826","0","109.59999999776483","0","-1",""
"http://localhost:8080/","2024-12-2","15:46:13","746","5759","287.4000000022352","120.80000000074506","32.19999999925494","0","120.80000000074506","0","-1",""
"http://localhost:8080/","2024-12-2","15:46:19","730","5742","281.5","98.10000000149012","14.800000000745058","0","98.10000000149012","0","-1",""
"http://localhost:8080/","2024-12-2","15:46:26","778","5790","289.5","89.40000000223517","14.600000001490116","0","89.40000000223517","0","-1",""
"http://localhost:8080/","2024-12-2","15:46:32","772","5783","291.69999999925494","108.30000000074506","21.599999997764826","0","108.30000000074506","0","-1",""
"http://localhost:8080/","2024-12-2","15:46:39","724","5735","270.1000000014901","70.19999999925494","9.400000002235174","0","70.19999999925494","0","-1",""
"http://localhost:8080/","2024-12-2","15:46:45","763","5775","281.3999999985099","98.09999999776483","13.699999999254942","0","98.09999999776483","0","-1",""
"http://localhost:8080/","2024-12-2","15:46:52","742","5754","287.79999999701977","87.79999999701977","26.599999997764826","0","87.79999999701977","0","-1",""
"http://localhost:8080/","2024-12-2","15:46:58","739","5751","288.0999999977648","104.80000000074506","30.599999997764826","0","104.80000000074506","0","-1",""
"http://localhost:8080/","2024-12-2","15:47:05","717","5729","266.3999999985099","83.19999999925494","11.299999997019768","0","83.19999999925494","0","-1",""
"http://localhost:8080/","2024-12-2","15:47:11","748","5760","268","84.59999999776483","11.699999999254942","0","84.59999999776483","0","-1",""
"http://localhost:8080/","2024-12-2","15:47:17","731","5743","284.1000000014901","67.40000000223517","8.600000001490116","0","67.40000000223517","0","-1",""
