site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-12-3","18:26:31","6492","11505","1494.2000000029802","1494.2000000029802","652.5","29","5618.20000000298","3","79",""
"http://localhost:8080/","2024-12-3","18:26:44","6164","11174","1129.3999999985099","1129.3999999985099","361.6000000014901","47","5325.60000000149","1","97",""
"http://localhost:8080/","2024-12-3","18:26:55","6159","11169","1144.2999999970198","1144.2999999970198","356.09999999403954","26","5287.19999999553","1","76",""
"http://localhost:8080/","2024-12-3","18:27:07","6145","11156","1134.5","1134.5","356.3999999985099","21","5274","1","71",""
"http://localhost:8080/","2024-12-3","18:27:19","6170","11180","1152.5","1152.5","362.3999999985099","20","5299.0999999940395","1","70",""
"http://localhost:8080/","2024-12-3","18:27:31","6150","11161","1131.7000000029802","1131.7000000029802","357.79999999701977","19","5284.10000000149","1","69",""
"http://localhost:8080/","2024-12-3","18:27:43","6173","11184","1128.1000000014901","1128.1000000014901","356.6000000014901","20","5301.89999999851","1","70",""
"http://localhost:8080/","2024-12-3","18:27:55","6164","11176","1135","1135","361","45","5323.19999999553","1","95",""
"http://localhost:8080/","2024-12-3","18:28:07","6160","11170","1126.6000000014901","1126.6000000014901","357.3999999985099","51","5318.69999999553","1","101",""
"http://localhost:8080/","2024-12-3","18:28:18","6165","11177","1132.2000000029802","1132.2000000029802","361.20000000298023","48","5326.5","1","98",""
"http://localhost:8080/","2024-12-3","18:28:30","6151","11161","1133","1133","354.5","20","5283.20000000298","1","70",""
"http://localhost:8080/","2024-12-3","18:28:42","6154","11165","1136.6000000014901","1136.6000000014901","361.6000000014901","21","5285.80000000447","1","71",""
"http://localhost:8080/","2024-12-3","18:28:54","6172","11181","1132.6000000014901","1132.6000000014901","362.80000000447035","48","5333.60000000149","1","98",""
"http://localhost:8080/","2024-12-3","18:29:06","6165","11175","1134.8999999985099","1134.8999999985099","362.80000000447035","47","5326.5","1","97",""
"http://localhost:8080/","2024-12-3","18:29:18","6153","11164","1129.2000000029802","1129.2000000029802","356.8999999985099","21","5281.89999999851","1","71",""
"http://localhost:8080/","2024-12-3","18:29:29","6159","11169","1143","1143","357.69999999552965","20","5286.69999999553","1","70",""
"http://localhost:8080/","2024-12-3","18:29:41","6178","11187","1134.3999999985099","1134.3999999985099","354","47","5333.70000000298","1","97",""
"http://localhost:8080/","2024-12-3","18:29:53","6151","11162","1132.4000000059605","1132.4000000059605","357.30000000447035","20","5278.60000000149","1","70",""
"http://localhost:8080/","2024-12-3","18:30:05","6160","11168","1144","1144","357.69999999552965","20","5294.0999999940395","1","70",""
"http://localhost:8080/","2024-12-3","18:30:17","6150","11161","1134.1000000014901","1134.1000000014901","354.8999999985099","19","5276","1","69",""
"http://localhost:8080/","2024-12-3","18:30:29","6165","11175","1146.7999999970198","1146.7999999970198","361.29999999701977","21","5294.19999999553","1","71",""
"http://localhost:8080/","2024-12-3","18:30:41","6157","11166","1129.1000000014901","1129.1000000014901","362.3999999985099","46","5314.60000000149","1","96",""
"http://localhost:8080/","2024-12-3","18:30:52","6166","11176","1148.1000000014901","1148.1000000014901","361.1000000014901","21","5294.19999999553","1","71",""
"http://localhost:8080/","2024-12-3","18:31:04","6171","11182","1133.5","1133.5","355.29999999701977","20","5299.79999999702","1","70",""
"http://localhost:8080/","2024-12-3","18:31:16","6184","11193","1150.1000000014901","1150.1000000014901","362.3999999985099","21","5309","1","71",""
"http://localhost:8080/","2024-12-3","18:31:28","6168","11179","1132.1000000014901","1132.1000000014901","357","47","5328.20000000298","1","97",""
"http://localhost:8080/","2024-12-3","18:31:40","6200","11209","1171.6000000014901","1171.6000000014901","375.79999999701977","20","5332.60000000149","1","70",""
"http://localhost:8080/","2024-12-3","18:31:52","6195","11205","1143.2000000029802","1143.2000000029802","365.3999999985099","21","5317.20000000298","1","71",""
"http://localhost:8080/","2024-12-3","18:32:04","6211","11222","1161","1161","369.3999999985099","45","5367.29999999702","1","95",""
"http://localhost:8080/","2024-12-3","18:32:15","6210","11221","1174.2000000029802","1174.2000000029802","369.30000000447035","19","5333.70000000298","1","69",""
"http://localhost:8080/","2024-12-3","18:32:27","6197","11207","1162","1162","372.30000000447035","20","5322.10000000149","1","70",""
"http://localhost:8080/","2024-12-3","18:32:39","6198","11209","1168.5","1168.5","363.79999999701977","20","5315.89999999851","1","70",""
