idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-9","07:07:25","LCP","608.3999999994412","1782.9999999981374","1174.5999999986961","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","566.1999999992549","608.3999999994412"
"2","http://localhost:8080/","2024-12-9","07:07:32","LCP","397","1166.5","769.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","372.5","397"
"3","http://localhost:8080/","2024-12-9","07:07:38","LCP","412.6000000005588","1212.6000000014901","800.0000000009313","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","387.40000000037253","412.6000000005588"
"4","http://localhost:8080/","2024-12-9","07:07:45","LCP","372.20000000018626","1097.1000000005588","724.9000000003725","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","352.70000000018626","372.20000000018626"
"5","http://localhost:8080/","2024-12-9","07:07:51","LCP","411.79999999981374","1215.2000000001863","803.4000000003725","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","391.6000000005588","411.79999999981374"
"6","http://localhost:8080/","2024-12-9","07:07:58","LCP","463.20000000018626","1367.300000000745","904.1000000005588","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","440.90000000037253","463.20000000018626"
"7","http://localhost:8080/","2024-12-9","07:08:04","LCP","292","855.5","563.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","271.5","292"
"8","http://localhost:8080/","2024-12-9","07:08:11","LCP","417.90000000037253","1228.2000000011176","810.3000000007451","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","392.40000000037253","417.90000000037253"
"9","http://localhost:8080/","2024-12-9","07:08:17","LCP","538.2000000001863","1594.800000000745","1056.6000000005588","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","518.4000000003725","538.2000000001863"
"10","http://localhost:8080/","2024-12-9","07:08:24","LCP","378.70000000018626","1112.800000000745","734.1000000005588","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","355.40000000037253","378.70000000018626"
"11","http://localhost:8080/","2024-12-9","07:08:30","LCP","437.5","1287.3999999994412","849.8999999994412","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","412.3999999994412","437.5"
"12","http://localhost:8080/","2024-12-9","07:08:37","LCP","432.5","1277","844.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","412","432.5"
"13","http://localhost:8080/","2024-12-9","07:08:44","LCP","338","989","651","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","313","338"
"14","http://localhost:8080/","2024-12-9","07:08:50","LCP","437.09999999962747","1287.9999999990687","850.8999999994412","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","413.79999999981374","437.09999999962747"
