site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-11-27","13:52:50","12368","17380","11854.300000000745","1135.1000000014901","167.60000000149012","62","11112.60000000149","1","112",""
"http://localhost:8080/","2024-11-27","13:53:08","12374","17386","11867.10000000149","1123.1000000014901","158.5","60","11108.20000000298","1","110",""
"http://localhost:8080/","2024-11-27","13:53:26","12375","17386","11860.5","1118.5999999977648","159.39999999850988","65","11108.89999999851","1","115",""
"http://localhost:8080/","2024-11-27","13:53:43","12352","17362","11848.400000002235","1113","159","64","11107.199999999255","1","114",""
"http://localhost:8080/","2024-11-27","13:54:01","12359","17369","11847.099999997765","1116.5","159.30000000074506","59","11093.199999999255","1","109",""
"http://localhost:8080/","2024-11-27","13:54:18","12339","17350","11823.699999999255","1118.3999999985099","159.19999999925494","64","11106.199999999255","1","114",""
"http://localhost:8080/","2024-11-27","13:54:36","12338","17349","11831.800000000745","1109.4000000022352","159.70000000298023","64","11093.60000000149","1","114",""
"http://localhost:8080/","2024-11-27","13:54:53","12332","17341","11821.800000000745","1108.9000000022352","159.20000000298023","64","11093.20000000298","1","114",""
"http://localhost:8080/","2024-11-27","13:55:11","12337","17348","11834.89999999851","1124.0999999977648","159","64","11107.29999999702","1","114",""
"http://localhost:8080/","2024-11-27","13:55:28","12322","17327","11834.39999999851","1117.199999999255","159.30000000074506","66","11103","1","116",""
"http://localhost:8080/","2024-11-27","13:55:46","12337","17346","11840.5","1121.800000000745","159.30000000074506","63","11113.300000000745","1","113",""
"http://localhost:8080/","2024-11-27","13:56:04","12336","17346","11833.20000000298","1125.6000000014901","160.70000000298023","68","11105","1","118",""
"http://localhost:8080/","2024-11-27","13:56:21","12344","17356","11832.5","1116.9000000022352","158.80000000074506","62","11080.900000002235","1","112",""
"http://localhost:8080/","2024-11-27","13:56:39","12344","17356","11838.5","1122.5","160.80000000074506","64","11106.5","1","114",""
"http://localhost:8080/","2024-11-27","13:56:56","12360","17371","11846.89999999851","1117.2999999970198","158.5","61","11103.79999999702","1","111",""
"http://localhost:8080/","2024-11-27","13:57:14","12345","17355","11833.099999997765","1112.8999999985099","159.09999999776483","66","11115.099999997765","1","116",""
"http://localhost:8080/","2024-11-27","13:57:31","12344","17354","11857.199999999255","1133.699999999255","160","64","11113.099999997765","1","114",""
"http://localhost:8080/","2024-11-27","13:57:49","12395","17404","11881.5","1118.199999999255","159","59","11134.89999999851","1","109",""
"http://localhost:8080/","2024-11-27","13:58:06","12355","17364","11847.300000000745","1107.4000000022352","158.60000000149012","60","11114.5","1","110",""
"http://localhost:8080/","2024-11-27","13:58:24","12360","17371","11858.20000000298","1096.5","159","61","11115.10000000149","1","111",""
"http://localhost:8080/","2024-11-27","13:58:42","12370","17381","11857.300000000745","1131.300000000745","159.40000000223517","60","11136.300000000745","1","110",""
"http://localhost:8080/","2024-11-27","13:58:59","12366","17377","11860.900000002235","1139.199999999255","158.90000000223517","62","11128","1","112",""
"http://localhost:8080/","2024-11-27","13:59:17","12342","17351","11827.199999999255","1106.9000000022352","160.40000000223517","63","11098.300000000745","1","113",""
"http://localhost:8080/","2024-11-27","13:59:34","12381","17389","11864.900000002235","1150.300000000745","158.90000000223517","60","11141.70000000298","1","110",""
"http://localhost:8080/","2024-11-27","13:59:52","12359","17369","11846","1120.1000000014901","160.10000000149012","66","11107.10000000149","1","116",""
"http://localhost:8080/","2024-11-27","14:00:10","12352","17361","11849.20000000298","1115","159.10000000149012","65","11113.800000000745","1","115",""
"http://localhost:8080/","2024-11-27","14:00:27","12360","17372","11848.900000002235","1134.6000000014901","159.40000000223517","64","11125.199999999255","1","114",""
"http://localhost:8080/","2024-11-27","14:00:45","12332","17344","11830.60000000149","1114.199999999255","158.80000000074506","62","11100.699999999255","1","112",""
"http://localhost:8080/","2024-11-27","14:01:02","12353","17363","11838.89999999851","1129.2999999970198","158.89999999850988","59","11111.5","1","109",""
"http://localhost:8080/","2024-11-27","14:01:20","12360","17369","11853.099999997765","1117","159.5","61","11102.099999997765","1","111",""
"http://localhost:8080/","2024-11-27","14:01:37","12359","17369","11847.199999999255","1128","158.80000000074506","59","11115.199999999255","1","109",""
"http://localhost:8080/","2024-11-27","14:01:55","12359","17370","11845.5","1116.2999999970198","158.79999999701977","61","11104.89999999851","1","111",""
"http://localhost:8080/","2024-11-27","14:02:13","12347","17356","11833.800000000745","1143.5999999977648","163.69999999925494","62","11101.800000000745","1","112",""
"http://localhost:8080/","2024-11-27","14:02:30","12353","17365","11844.699999999255","1121.1000000014901","159.39999999850988","61","11112.300000000745","1","111",""
"http://localhost:8080/","2024-11-27","14:02:48","12389","17400","11883.800000000745","1121.199999999255","158.90000000223517","59","11115.199999999255","1","109",""
