site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-12-2","10:13:30","6456","11468","1445.5","1445.5","478.8999999994412","18","5581.799999999814","1","68",""
"http://localhost:8080/","2024-12-2","10:13:42","6156","11166","1143.2999999998137","1143.2999999998137","161.3999999994412","18","5283.399999999441","1","68",""
"http://localhost:8080/","2024-12-2","10:13:54","6128","11139","1136.0999999996275","1136.0999999996275","165.79999999981374","44","5287","1","94",""
"http://localhost:8080/","2024-12-2","10:14:05","6151","11161","1133.7000000001863","1133.7000000001863","166.70000000018626","19","5278.700000000186","1","69",""
"http://localhost:8080/","2024-12-2","10:14:17","6143","11154","1131","1131","167.40000000037253","45","5301.0999999996275","1","95",""
"http://localhost:8080/","2024-12-2","10:14:29","6114","11125","1131.1000000005588","1131.1000000005588","158.6000000005588","45","5275","1","95",""
"http://localhost:8080/","2024-12-2","10:14:41","6149","11159","1135.300000000745","1135.300000000745","159.40000000037253","18","5275","1","68",""
"http://localhost:8080/","2024-12-2","10:14:53","6136","11148","1131.5999999996275","1131.5999999996275","166.79999999981374","45","5295.199999999255","1","95",""
"http://localhost:8080/","2024-12-2","10:15:05","6136","11148","1147.7999999998137","1147.7999999998137","166.70000000018626","18","5268.9000000003725","1","68",""
"http://localhost:8080/","2024-12-2","10:15:16","6150","11161","1142.2999999998137","1142.2999999998137","165.90000000037253","21","5279.4000000003725","1","71",""
"http://localhost:8080/","2024-12-2","10:15:28","6129","11140","1129.5","1129.5","165.3999999994412","42","5285.299999999814","1","92",""
"http://localhost:8080/","2024-12-2","10:15:40","6149","11159","1128.7999999998137","1128.7999999998137","164.90000000037253","44","5310.9000000003725","1","94",""
"http://localhost:8080/","2024-12-2","10:15:52","6150","11161","1128.0999999996275","1128.0999999996275","165.90000000037253","45","5309.0999999996275","1","95",""
"http://localhost:8080/","2024-12-2","10:16:04","6143","11152","1141.0999999996275","1141.0999999996275","164.29999999981374","19","5276.799999999814","1","69",""
"http://localhost:8080/","2024-12-2","10:16:16","6137","11146","1127.5999999996275","1127.5999999996275","155.8999999994412","19","5265","1","69",""
"http://localhost:8080/","2024-12-2","10:16:27","6142","11153","1134.5999999996275","1134.5999999996275","156","43","5299.699999999255","1","93",""
"http://localhost:8080/","2024-12-2","10:16:39","6149","11161","1145","1145","165.40000000037253","19","5276.800000000745","1","69",""
"http://localhost:8080/","2024-12-2","10:16:51","6151","11161","1135.7999999998137","1135.7999999998137","156.29999999981374","18","5278.199999999255","1","68",""
"http://localhost:8080/","2024-12-2","10:17:03","6164","11175","1131.4000000003725","1131.4000000003725","164.70000000018626","19","5291.4000000003725","1","69",""
"http://localhost:8080/","2024-12-2","10:17:15","6143","11153","1134.8999999994412","1134.8999999994412","163.3999999994412","44","5301.799999999814","1","94",""
"http://localhost:8080/","2024-12-2","10:17:27","6157","11167","1148.5","1148.5","164.79999999981374","45","5311.299999999814","1","95",""
"http://localhost:8080/","2024-12-2","10:17:39","6159","11170","1142.9000000003725","1142.9000000003725","163.70000000018626","19","5284.4000000003725","1","69",""
"http://localhost:8080/","2024-12-2","10:17:50","6143","11153","1137.2999999998137","1137.2999999998137","164.3999999994412","18","5269.399999999441","1","68",""
"http://localhost:8080/","2024-12-2","10:18:02","6130","11140","1119.7999999998137","1119.7999999998137","156.40000000037253","19","5261.9000000003725","1","69",""
"http://localhost:8080/","2024-12-2","10:18:14","6150","11161","1149.2999999998137","1149.2999999998137","164.59999999962747","19","5276.399999999441","1","69",""
"http://localhost:8080/","2024-12-2","10:18:26","6145","11156","1147.4000000003725","1147.4000000003725","163.40000000037253","17","5267.4000000003725","1","67",""
"http://localhost:8080/","2024-12-2","10:18:38","6181","11192","1171.2000000001863","1171.2000000001863","164","19","5299.800000000745","1","69",""
"http://localhost:8080/","2024-12-2","10:18:50","6186","11197","1160.7999999998137","1160.7999999998137","171.8999999994412","43","5338.200000000186","1","93",""
"http://localhost:8080/","2024-12-2","10:19:02","6179","11191","1162.2000000001863","1162.2000000001863","163.80000000074506","19","5306.100000000559","1","69",""
"http://localhost:8080/","2024-12-2","10:19:13","6184","11196","1162.5999999996275","1162.5999999996275","167.69999999925494","43","5339.5","1","93",""
"http://localhost:8080/","2024-12-2","10:19:25","6159","11169","1154.5999999996275","1154.5999999996275","163.40000000037253","43","5318.4000000003725","1","93",""
"http://localhost:8080/","2024-12-2","10:19:37","6164","11176","1153.2999999998137","1153.2999999998137","164.5","44","5324.0999999996275","1","94",""
"http://localhost:8080/","2024-12-2","10:19:49","6174","11184","1152.300000000745","1152.300000000745","172.6000000005588","44","5332.300000000745","1","94",""
"http://localhost:8080/","2024-12-2","10:20:01","6172","11184","1157.5","1157.5","168","43","5325.100000000559","1","93",""
"http://localhost:8080/","2024-12-2","10:20:13","6181","11193","1176.7000000001863","1176.7000000001863","163.40000000037253","44","5340","1","94",""
"http://localhost:8080/","2024-12-2","10:20:25","6166","11178","1165.8999999994412","1165.8999999994412","164.19999999925494","45","5317.699999999255","1","95",""
"http://localhost:8080/","2024-12-2","10:20:36","6180","11189","1161.6000000005588","1161.6000000005588","164.6000000005588","43","5332.5","1","93",""
"http://localhost:8080/","2024-12-2","10:20:48","6180","11190","1158.5","1158.5","163.90000000037253","43","5329.300000000745","1","93",""
"http://localhost:8080/","2024-12-2","10:21:00","6156","11166","1148.1000000005588","1148.1000000005588","164","43","5315.200000000186","1","93",""
"http://localhost:8080/","2024-12-2","10:21:12","6159","11170","1155.800000000745","1155.800000000745","164.80000000074506","42","5313.600000000559","1","92",""
"http://localhost:8080/","2024-12-2","10:21:24","6174","11186","1172.6000000005588","1172.6000000005588","164","43","5332.200000000186","1","93",""
"http://localhost:8080/","2024-12-2","10:21:36","6181","11191","1159.5","1159.5","163.8999999994412","18","5305.299999999814","1","68",""
"http://localhost:8080/","2024-12-2","10:21:48","6196","11207","1155.2000000001863","1155.2000000001863","163.29999999981374","44","5344.799999999814","1","94",""
"http://localhost:8080/","2024-12-2","10:22:00","6173","11182","1174.5","1174.5","164.59999999962747","17","5297.299999999814","1","67",""
"http://localhost:8080/","2024-12-2","10:22:11","6146","11158","1167.4000000003725","1167.4000000003725","164","19","5269.200000000186","1","69",""
"http://localhost:8080/","2024-12-2","10:22:23","6173","11183","1149.800000000745","1149.800000000745","164.1000000005588","18","5296.4000000003725","1","68",""
"http://localhost:8080/","2024-12-2","10:22:35","6184","11194","1165.2999999998137","1165.2999999998137","171.5","43","5342.799999999814","1","93",""
"http://localhost:8080/","2024-12-2","10:22:47","6179","11191","1165.9000000003725","1165.9000000003725","172","44","5332.299999999814","1","94",""
"http://localhost:8080/","2024-12-2","10:22:59","6175","11187","1161.0999999996275","1161.0999999996275","167.3999999994412","43","5330.700000000186","1","93",""
"http://localhost:8080/","2024-12-2","10:23:11","6173","11185","1172","1172","164","43","5334.5999999996275","1","93",""
"http://localhost:8080/","2024-12-2","10:23:23","6170","11179","1169.7999999998137","1169.7999999998137","173.20000000018626","43","5329.4000000003725","1","93",""
"http://localhost:8080/","2024-12-2","10:23:35","6181","11192","1175.5","1175.5","168","43","5341.700000000186","1","93",""
"http://localhost:8080/","2024-12-2","10:23:47","6172","11182","1157","1157","163.1000000005588","42","5322.700000000186","1","92",""
"http://localhost:8080/","2024-12-2","10:23:58","6186","11198","1180.3999999994412","1180.3999999994412","163.79999999981374","46","5338.299999999814","1","96",""
