idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-5","19:09:35","LCP","6098.70000000298","18279.90000000596","12181.20000000298","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6082.5","6098.70000000298"
"1","http://localhost:8080/","2024-12-5","19:09:35","longTask","5228.100000008941","5327.100000008941","99","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-5","19:09:48","LCP","6040.699999988079","18107.399999976158","12066.699999988079","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6026","6040.699999988079"
"2","http://localhost:8080/","2024-12-5","19:09:48","longTask","5187.79999999702","5280.79999999702","93","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-5","19:10:00","LCP","6026.800000011921","18065.200000032783","12038.400000020862","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6011.600000008941","6026.800000011921"
"3","http://localhost:8080/","2024-12-5","19:10:00","longTask","5183.600000008941","5275.600000008941","92","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-5","19:10:12","LCP","6030.20000000298","18071.90000000596","12041.70000000298","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6011.5","6030.20000000298"
"4","http://localhost:8080/","2024-12-5","19:10:12","longTask","5187.20000000298","5278.20000000298","91","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-5","19:10:24","LCP","6033.9000000059605","18088.40000000596","12054.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6020.5999999940395","6033.9000000059605"
"5","http://localhost:8080/","2024-12-5","19:10:24","longTask","5170.70000000298","5267.70000000298","97","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-5","19:10:36","LCP","6028.800000011921","18069.500000029802","12040.700000017881","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6011.9000000059605","6028.800000011921"
"6","http://localhost:8080/","2024-12-5","19:10:36","longTask","5184","5273","89","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-5","19:10:48","LCP","6055","18144.90000000596","12089.90000000596","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6034.9000000059605","6055"
"7","http://localhost:8080/","2024-12-5","19:10:48","longTask","5192.79999999702","5285.79999999702","93","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-5","19:11:00","LCP","6025.5","18056.60000000894","12031.10000000894","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6005.600000008941","6025.5"
"8","http://localhost:8080/","2024-12-5","19:11:00","longTask","5186.600000008941","5278.600000008941","92","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/","2024-12-5","19:11:13","LCP","6020.5999999940395","18046.9999999851","12026.39999999106","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6005.79999999702","6020.5999999940395"
"9","http://localhost:8080/","2024-12-5","19:11:13","longTask","5178.399999991059","5269.399999991059","91","self","-1","-1","-1","-1","-1"
"10","http://localhost:8080/","2024-12-5","19:11:25","LCP","6018","18040.10000000894","12022.10000000894","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6004.100000008941","6018"
"10","http://localhost:8080/","2024-12-5","19:11:25","longTask","5185.5","5276.5","91","self","-1","-1","-1","-1","-1"
"11","http://localhost:8080/","2024-12-5","19:11:37","LCP","6024.20000000298","18052.70000001788","12028.500000014901","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6004.300000011921","6024.20000000298"
"11","http://localhost:8080/","2024-12-5","19:11:37","longTask","5171.4000000059605","5260.4000000059605","89","self","-1","-1","-1","-1","-1"
"12","http://localhost:8080/","2024-12-5","19:11:49","LCP","6034.5","18087.89999999106","12053.39999999106","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6018.899999991059","6034.5"
"12","http://localhost:8080/","2024-12-5","19:11:49","longTask","5178","5269","91","self","-1","-1","-1","-1","-1"
"13","http://localhost:8080/","2024-12-5","19:12:01","LCP","6009.899999991059","18016.9999999851","12007.09999999404","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","5997.20000000298","6009.899999991059"
"13","http://localhost:8080/","2024-12-5","19:12:01","longTask","5170.899999991059","5260.899999991059","90","self","-1","-1","-1","-1","-1"
"14","http://localhost:8080/","2024-12-5","19:12:13","LCP","6022.79999999702","18050.9999999851","12028.199999988079","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6005.399999991059","6022.79999999702"
"14","http://localhost:8080/","2024-12-5","19:12:13","longTask","5185.5","5276.5","91","self","-1","-1","-1","-1","-1"
"15","http://localhost:8080/","2024-12-5","19:12:25","LCP","6032.70000000298","18085.30000001192","12052.60000000894","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6019.9000000059605","6032.70000000298"
"15","http://localhost:8080/","2024-12-5","19:12:25","longTask","5192.4000000059605","5283.4000000059605","91","self","-1","-1","-1","-1","-1"
"16","http://localhost:8080/","2024-12-5","19:12:37","LCP","6063.5999999940395","18174.9999999851","12111.39999999106","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6047.79999999702","6063.5999999940395"
"16","http://localhost:8080/","2024-12-5","19:12:37","longTask","5207.399999991059","5299.399999991059","92","self","-1","-1","-1","-1","-1"
"17","http://localhost:8080/","2024-12-5","19:12:50","LCP","6024.5","18055.5","12031","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6006.5","6024.5"
"17","http://localhost:8080/","2024-12-5","19:12:50","longTask","5172","5261","89","self","-1","-1","-1","-1","-1"
"18","http://localhost:8080/","2024-12-5","19:13:02","LCP","6026.899999991059","18065.399999976158","12038.499999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6011.5999999940395","6026.899999991059"
"18","http://localhost:8080/","2024-12-5","19:13:02","longTask","5187.899999991059","5279.899999991059","92","self","-1","-1","-1","-1","-1"
"19","http://localhost:8080/","2024-12-5","19:13:14","LCP","6046.4000000059605","18119.80000001192","12073.40000000596","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6027","6046.4000000059605"
"19","http://localhost:8080/","2024-12-5","19:13:14","longTask","5193.600000008941","5285.600000008941","92","self","-1","-1","-1","-1","-1"
"20","http://localhost:8080/","2024-12-5","19:13:26","LCP","6047.0999999940395","18121.09999997914","12073.999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6026.899999991059","6047.0999999940395"
"20","http://localhost:8080/","2024-12-5","19:13:26","longTask","5185.5","5276.5","91","self","-1","-1","-1","-1","-1"
"21","http://localhost:8080/","2024-12-5","19:13:38","LCP","6026.29999999702","18064.20000000298","12037.90000000596","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6011.600000008941","6026.29999999702"
"21","http://localhost:8080/","2024-12-5","19:13:38","longTask","5178.100000008941","5269.100000008941","91","self","-1","-1","-1","-1","-1"
"22","http://localhost:8080/","2024-12-5","19:13:50","LCP","6026","18065.09999999404","12039.09999999404","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6013.0999999940395","6026"
"22","http://localhost:8080/","2024-12-5","19:13:50","longTask","5185.899999991059","5276.899999991059","91","self","-1","-1","-1","-1","-1"
"23","http://localhost:8080/","2024-12-5","19:14:02","LCP","6041","18102.70000000298","12061.70000000298","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6020.70000000298","6041"
"23","http://localhost:8080/","2024-12-5","19:14:02","longTask","5178.0999999940395","5269.0999999940395","91","self","-1","-1","-1","-1","-1"
"24","http://localhost:8080/","2024-12-5","19:14:15","LCP","6033.29999999702","18080.20000000298","12046.90000000596","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6013.600000008941","6033.29999999702"
"24","http://localhost:8080/","2024-12-5","19:14:15","longTask","5184.70000000298","5275.70000000298","91","self","-1","-1","-1","-1","-1"
"25","http://localhost:8080/","2024-12-5","19:14:27","LCP","6018.4000000059605","18034.5000000149","12016.10000000894","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","5997.70000000298","6018.4000000059605"
"25","http://localhost:8080/","2024-12-5","19:14:27","longTask","5170.79999999702","5261.79999999702","91","self","-1","-1","-1","-1","-1"
"26","http://localhost:8080/","2024-12-5","19:14:39","LCP","6037.699999988079","18095.499999970198","12057.799999982119","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","6020.0999999940395","6037.699999988079"
"26","http://localhost:8080/","2024-12-5","19:14:39","longTask","5179.199999988079","5269.199999988079","90","self","-1","-1","-1","-1","-1"
