idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-6","16:05:57","LCP","1857.8999999985099","5553.19999999553","3695.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1837.3999999985099","1857.8999999985099"
"1","http://localhost:8080/","2024-12-6","16:05:57","longTask","1117.2000000029802","1226.2000000029802","109","unknown","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","16:05:57","longTask","1229.3000000044703","1343.3000000044703","114","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","16:05:57","longTask","5686","5954","268","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-6","16:06:10","LCP","1277.8000000044703","3806.0000000074506","2528.2000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1250.3999999985099","1277.8000000044703"
"2","http://localhost:8080/","2024-12-6","16:06:10","longTask","1080.3999999985099","1170.3999999985099","90","unknown","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-6","16:06:10","longTask","1173.3000000044703","1249.3000000044703","76","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-6","16:06:10","longTask","5408.10000000149","5688.10000000149","280","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-6","16:06:22","LCP","1303.3999999985099","3878.0999999940395","2574.6999999955297","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1271.2999999970198","1303.3999999985099"
"3","http://localhost:8080/","2024-12-6","16:06:22","longTask","1086","1174","88","unknown","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-6","16:06:22","longTask","1187","1269","82","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-6","16:06:22","longTask","5406.5999999940395","5646.5999999940395","240","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-6","16:06:34","LCP","1784.6999999955297","5336.999999992549","3552.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1767.6000000014901","1784.6999999955297"
"4","http://localhost:8080/","2024-12-6","16:06:34","longTask","1101.3999999985099","1190.3999999985099","89","unknown","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-6","16:06:34","longTask","1191.5","1263.5","72","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-6","16:06:34","longTask","5628.29999999702","5798.29999999702","170","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-6","16:06:34","longTask","5798.69999999553","5872.69999999553","74","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-6","16:06:46","LCP","1298.5","3856.8000000044703","2558.3000000044703","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1259.8000000044703","1298.5"
"5","http://localhost:8080/","2024-12-6","16:06:46","longTask","1092.8999999985099","1183.8999999985099","91","unknown","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-6","16:06:46","longTask","1186.3999999985099","1257.3999999985099","71","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-6","16:06:46","longTask","5408.70000000298","5581.70000000298","173","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-6","16:06:46","longTask","5581.89999999851","5658.89999999851","77","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-6","16:06:58","LCP","1274.2000000029802","3793.8000000044703","2519.60000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1245.3999999985099","1274.2000000029802"
"6","http://localhost:8080/","2024-12-6","16:06:58","longTask","1079.6000000014901","1164.6000000014901","85","unknown","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-6","16:06:58","longTask","1168.7000000029802","1243.7000000029802","75","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-6","16:06:58","longTask","5389.10000000149","5564.10000000149","175","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-6","16:06:58","longTask","5564.30000000447","5640.30000000447","76","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-6","16:07:10","LCP","1290.5","3839.2999999970198","2548.7999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1258.2999999970198","1290.5"
"7","http://localhost:8080/","2024-12-6","16:07:10","longTask","1094.5","1180.5","86","unknown","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-6","16:07:10","longTask","1183.3999999985099","1257.3999999985099","74","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-6","16:07:10","longTask","5394.20000000298","5569.20000000298","175","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-6","16:07:10","longTask","5569.5","5643.5","74","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-6","16:07:23","LCP","1777","5316.60000000149","3539.60000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1762.6000000014901","1777"
"8","http://localhost:8080/","2024-12-6","16:07:23","longTask","1070.8999999985099","1160.8999999985099","90","unknown","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-6","16:07:23","longTask","1171.5","1246.5","75","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-6","16:07:23","longTask","5612.60000000149","5787.60000000149","175","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-6","16:07:23","longTask","5788.20000000298","5861.20000000298","73","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/","2024-12-6","16:07:35","LCP","1271.7999999970198","3787.699999988079","2515.8999999910593","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1244.0999999940395","1271.7999999970198"
"9","http://localhost:8080/","2024-12-6","16:07:35","longTask","1076.6999999955297","1164.6999999955297","88","unknown","-1","-1","-1","-1","-1"
"9","http://localhost:8080/","2024-12-6","16:07:35","longTask","1167.5999999940395","1242.5999999940395","75","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/","2024-12-6","16:07:35","longTask","5390.69999999553","5644.69999999553","254","self","-1","-1","-1","-1","-1"
"10","http://localhost:8080/","2024-12-6","16:07:47","LCP","1818.2000000029802","5430.30000000447","3612.10000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1793.8999999985099","1818.2000000029802"
"10","http://localhost:8080/","2024-12-6","16:07:47","longTask","1115","1199","84","unknown","-1","-1","-1","-1","-1"
"10","http://localhost:8080/","2024-12-6","16:07:47","longTask","1201.5","1274.5","73","self","-1","-1","-1","-1","-1"
"10","http://localhost:8080/","2024-12-6","16:07:47","longTask","5664.10000000149","5911.10000000149","247","self","-1","-1","-1","-1","-1"
"11","http://localhost:8080/","2024-12-6","16:07:59","LCP","1274.6999999955297","3808.699999988079","2533.9999999925494","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1259.2999999970198","1274.6999999955297"
"11","http://localhost:8080/","2024-12-6","16:07:59","longTask","1085.8999999985099","1170.8999999985099","85","unknown","-1","-1","-1","-1","-1"
"11","http://localhost:8080/","2024-12-6","16:07:59","longTask","1182.0999999940395","1256.0999999940395","74","self","-1","-1","-1","-1","-1"
"11","http://localhost:8080/","2024-12-6","16:07:59","longTask","5409.5999999940395","5582.5999999940395","173","self","-1","-1","-1","-1","-1"
"11","http://localhost:8080/","2024-12-6","16:07:59","longTask","5583.0999999940395","5656.0999999940395","73","self","-1","-1","-1","-1","-1"
"12","http://localhost:8080/","2024-12-6","16:08:12","LCP","1799.5","5380.89999999851","3581.39999999851","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1781.8999999985099","1799.5"
"12","http://localhost:8080/","2024-12-6","16:08:12","longTask","1101.5","1191.5","90","unknown","-1","-1","-1","-1","-1"
"12","http://localhost:8080/","2024-12-6","16:08:12","longTask","1194.2000000029802","1269.2000000029802","75","self","-1","-1","-1","-1","-1"
"12","http://localhost:8080/","2024-12-6","16:08:12","longTask","5616.39999999851","5854.39999999851","238","self","-1","-1","-1","-1","-1"
"13","http://localhost:8080/","2024-12-6","16:08:24","LCP","1283.8999999985099","3817.1999999955297","2533.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1249.3999999985099","1283.8999999985099"
"13","http://localhost:8080/","2024-12-6","16:08:24","longTask","1080.7000000029802","1168.7000000029802","88","unknown","-1","-1","-1","-1","-1"
"13","http://localhost:8080/","2024-12-6","16:08:24","longTask","1171.7000000029802","1247.7000000029802","76","self","-1","-1","-1","-1","-1"
"13","http://localhost:8080/","2024-12-6","16:08:24","longTask","5385","5561","176","self","-1","-1","-1","-1","-1"
"13","http://localhost:8080/","2024-12-6","16:08:24","longTask","5561.70000000298","5636.70000000298","75","self","-1","-1","-1","-1","-1"
"14","http://localhost:8080/","2024-12-6","16:08:36","LCP","1281.7000000029802","3817.800000011921","2536.1000000089407","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1254.4000000059605","1281.7000000029802"
"14","http://localhost:8080/","2024-12-6","16:08:36","longTask","1088","1176","88","unknown","-1","-1","-1","-1","-1"
"14","http://localhost:8080/","2024-12-6","16:08:36","longTask","1177.1000000014901","1253.1000000014901","76","self","-1","-1","-1","-1","-1"
"14","http://localhost:8080/","2024-12-6","16:08:36","longTask","5394","5635","241","self","-1","-1","-1","-1","-1"
"15","http://localhost:8080/","2024-12-6","16:08:48","LCP","1289.8999999985099","3837","2547.10000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1257.2000000029802","1289.8999999985099"
"15","http://localhost:8080/","2024-12-6","16:08:48","longTask","1085.5","1172.5","87","unknown","-1","-1","-1","-1","-1"
"15","http://localhost:8080/","2024-12-6","16:08:48","longTask","1182.1000000014901","1257.1000000014901","75","self","-1","-1","-1","-1","-1"
"15","http://localhost:8080/","2024-12-6","16:08:48","longTask","5415.60000000149","5657.60000000149","242","self","-1","-1","-1","-1","-1"
"16","http://localhost:8080/","2024-12-6","16:09:00","LCP","1777.2000000029802","5314.100000008941","3536.9000000059605","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1759.7000000029802","1777.2000000029802"
"16","http://localhost:8080/","2024-12-6","16:09:00","longTask","1083.1000000014901","1167.1000000014901","84","unknown","-1","-1","-1","-1","-1"
"16","http://localhost:8080/","2024-12-6","16:09:00","longTask","1169.2000000029802","1242.2000000029802","73","self","-1","-1","-1","-1","-1"
"16","http://localhost:8080/","2024-12-6","16:09:00","longTask","5590.10000000149","5831.10000000149","241","self","-1","-1","-1","-1","-1"
"17","http://localhost:8080/","2024-12-6","16:09:12","LCP","1766.7999999970198","5282.79999999702","3516","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1749.2000000029802","1766.7999999970198"
"17","http://localhost:8080/","2024-12-6","16:09:12","longTask","1083.2000000029802","1170.2000000029802","87","unknown","-1","-1","-1","-1","-1"
"17","http://localhost:8080/","2024-12-6","16:09:12","longTask","1172.6000000014901","1245.6000000014901","73","self","-1","-1","-1","-1","-1"
"17","http://localhost:8080/","2024-12-6","16:09:12","longTask","5584.89999999851","5825.89999999851","241","self","-1","-1","-1","-1","-1"
"18","http://localhost:8080/","2024-12-6","16:09:25","LCP","1731.2000000029802","5178.700000010431","3447.5000000074506","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1716.3000000044703","1731.2000000029802"
"18","http://localhost:8080/","2024-12-6","16:09:25","longTask","1081.3000000044703","1168.3000000044703","87","unknown","-1","-1","-1","-1","-1"
"18","http://localhost:8080/","2024-12-6","16:09:25","longTask","1171","1247","76","self","-1","-1","-1","-1","-1"
"18","http://localhost:8080/","2024-12-6","16:09:25","longTask","5595.10000000149","5772.10000000149","177","self","-1","-1","-1","-1","-1"
"18","http://localhost:8080/","2024-12-6","16:09:25","longTask","5772.60000000149","5845.60000000149","73","self","-1","-1","-1","-1","-1"
"19","http://localhost:8080/","2024-12-6","16:09:37","LCP","1300.5","3870.10000000149","2569.60000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1269.1000000014901","1300.5"
"19","http://localhost:8080/","2024-12-6","16:09:37","longTask","1100.2999999970198","1190.2999999970198","90","unknown","-1","-1","-1","-1","-1"
"19","http://localhost:8080/","2024-12-6","16:09:37","longTask","1193.2999999970198","1268.2999999970198","75","self","-1","-1","-1","-1","-1"
"19","http://localhost:8080/","2024-12-6","16:09:37","longTask","5405.19999999553","5646.19999999553","241","self","-1","-1","-1","-1","-1"
"20","http://localhost:8080/","2024-12-6","16:09:49","LCP","1789.7000000029802","5353.9000000059605","3564.2000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1774.5","1789.7000000029802"
"20","http://localhost:8080/","2024-12-6","16:09:49","longTask","1095","1178","83","unknown","-1","-1","-1","-1","-1"
"20","http://localhost:8080/","2024-12-6","16:09:49","longTask","1188.1000000014901","1262.1000000014901","74","self","-1","-1","-1","-1","-1"
"20","http://localhost:8080/","2024-12-6","16:09:49","longTask","5623","5862","239","self","-1","-1","-1","-1","-1"
"21","http://localhost:8080/","2024-12-6","16:10:01","LCP","1287.3999999985099","3838.6999999955297","2551.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1263.8999999985099","1287.3999999985099"
"21","http://localhost:8080/","2024-12-6","16:10:01","longTask","1095","1179","84","unknown","-1","-1","-1","-1","-1"
"21","http://localhost:8080/","2024-12-6","16:10:01","longTask","1188.6000000014901","1262.6000000014901","74","self","-1","-1","-1","-1","-1"
"21","http://localhost:8080/","2024-12-6","16:10:01","longTask","5405.39999999851","5644.39999999851","239","self","-1","-1","-1","-1","-1"
"22","http://localhost:8080/","2024-12-6","16:10:14","LCP","1748.7999999970198","5227.999999992549","3479.1999999955297","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1730.3999999985099","1748.7999999970198"
"22","http://localhost:8080/","2024-12-6","16:10:14","longTask","1090","1174","84","unknown","-1","-1","-1","-1","-1"
"22","http://localhost:8080/","2024-12-6","16:10:14","longTask","1176.5","1246.5","70","self","-1","-1","-1","-1","-1"
"22","http://localhost:8080/","2024-12-6","16:10:14","longTask","5634.29999999702","5807.29999999702","173","self","-1","-1","-1","-1","-1"
"22","http://localhost:8080/","2024-12-6","16:10:14","longTask","5807.89999999851","5884.89999999851","77","self","-1","-1","-1","-1","-1"
"23","http://localhost:8080/","2024-12-6","16:10:26","LCP","1780.3999999985099","5326.79999999702","3546.39999999851","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1766","1780.3999999985099"
"23","http://localhost:8080/","2024-12-6","16:10:26","longTask","1095.8000000044703","1185.8000000044703","90","unknown","-1","-1","-1","-1","-1"
"23","http://localhost:8080/","2024-12-6","16:10:26","longTask","1189.5","1262.5","73","self","-1","-1","-1","-1","-1"
"23","http://localhost:8080/","2024-12-6","16:10:26","longTask","5620.10000000149","5795.10000000149","175","self","-1","-1","-1","-1","-1"
"23","http://localhost:8080/","2024-12-6","16:10:26","longTask","5795.5","5869.5","74","self","-1","-1","-1","-1","-1"
"24","http://localhost:8080/","2024-12-6","16:10:38","LCP","1783","5334.5","3551.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1768.5","1783"
"24","http://localhost:8080/","2024-12-6","16:10:38","longTask","1093.7999999970198","1184.7999999970198","91","unknown","-1","-1","-1","-1","-1"
"24","http://localhost:8080/","2024-12-6","16:10:38","longTask","1192.7000000029802","1266.7000000029802","74","self","-1","-1","-1","-1","-1"
"24","http://localhost:8080/","2024-12-6","16:10:38","longTask","5617.20000000298","5857.20000000298","240","self","-1","-1","-1","-1","-1"
"25","http://localhost:8080/","2024-12-6","16:10:51","LCP","1278.1000000014901","3801.2000000029802","2523.10000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1245","1278.1000000014901"
"25","http://localhost:8080/","2024-12-6","16:10:51","longTask","1078.1000000014901","1165.1000000014901","87","unknown","-1","-1","-1","-1","-1"
"25","http://localhost:8080/","2024-12-6","16:10:51","longTask","1167.1000000014901","1242.1000000014901","75","self","-1","-1","-1","-1","-1"
"25","http://localhost:8080/","2024-12-6","16:10:51","longTask","5389","5630","241","self","-1","-1","-1","-1","-1"
"26","http://localhost:8080/","2024-12-6","16:11:03","LCP","1800","5381.89999999851","3581.89999999851","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1781.8999999985099","1800"
"26","http://localhost:8080/","2024-12-6","16:11:03","longTask","1092.7999999970198","1183.7999999970198","91","unknown","-1","-1","-1","-1","-1"
"26","http://localhost:8080/","2024-12-6","16:11:03","longTask","1192.6999999955297","1265.6999999955297","73","self","-1","-1","-1","-1","-1"
"26","http://localhost:8080/","2024-12-6","16:11:03","longTask","5643.69999999553","5886.69999999553","243","self","-1","-1","-1","-1","-1"
"27","http://localhost:8080/","2024-12-6","16:11:15","LCP","1774.5","5302.39999999851","3527.89999999851","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1753.3999999985099","1774.5"
"27","http://localhost:8080/","2024-12-6","16:11:15","longTask","1080.7000000029802","1164.7000000029802","84","unknown","-1","-1","-1","-1","-1"
"27","http://localhost:8080/","2024-12-6","16:11:15","longTask","1166.6000000014901","1243.6000000014901","77","self","-1","-1","-1","-1","-1"
"27","http://localhost:8080/","2024-12-6","16:11:15","longTask","5608.5","5850.5","242","self","-1","-1","-1","-1","-1"
"28","http://localhost:8080/","2024-12-6","16:11:27","LCP","1752.8999999985099","5235.999999992549","3483.0999999940395","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1730.1999999955297","1752.8999999985099"
"28","http://localhost:8080/","2024-12-6","16:11:27","longTask","1072.2999999970198","1151.2999999970198","79","unknown","-1","-1","-1","-1","-1"
"28","http://localhost:8080/","2024-12-6","16:11:27","longTask","1155.5999999940395","1228.5999999940395","73","self","-1","-1","-1","-1","-1"
"28","http://localhost:8080/","2024-12-6","16:11:27","longTask","5587.0999999940395","5764.0999999940395","177","self","-1","-1","-1","-1","-1"
"28","http://localhost:8080/","2024-12-6","16:11:27","longTask","5764.5","5838.5","74","self","-1","-1","-1","-1","-1"
"29","http://localhost:8080/","2024-12-6","16:11:40","LCP","1814.6999999955297","5420.499999985099","3605.799999989569","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1791.0999999940395","1814.6999999955297"
"29","http://localhost:8080/","2024-12-6","16:11:40","longTask","1096.5","1190.5","94","unknown","-1","-1","-1","-1","-1"
"29","http://localhost:8080/","2024-12-6","16:11:40","longTask","1200.3999999985099","1272.3999999985099","72","self","-1","-1","-1","-1","-1"
"29","http://localhost:8080/","2024-12-6","16:11:40","longTask","5652.29999999702","5827.29999999702","175","self","-1","-1","-1","-1","-1"
"29","http://localhost:8080/","2024-12-6","16:11:40","longTask","5828.19999999553","5902.19999999553","74","self","-1","-1","-1","-1","-1"
