idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-6","17:59:04","LCP","1641.6000000014901","4909.60000000149","3268","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1626.3999999985099","1641.6000000014901"
"1","http://localhost:8080/","2024-12-6","17:59:04","longTask","5566","5639","73","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-6","17:59:16","LCP","1229.2999999970198","3671.5999999940395","2442.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1213","1229.2999999970198"
"2","http://localhost:8080/","2024-12-6","17:59:16","longTask","5213.79999999702","5308.79999999702","95","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-6","17:59:28","LCP","1236.2999999970198","3692.699999988079","2456.3999999910593","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1220.0999999940395","1236.2999999970198"
"3","http://localhost:8080/","2024-12-6","17:59:28","longTask","5215","5308","93","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-6","17:59:40","LCP","1210","3610.89999999851","2400.89999999851","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1190.8999999985099","1210"
"4","http://localhost:8080/","2024-12-6","17:59:40","longTask","5214.5999999940395","5307.5999999940395","93","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-6","17:59:52","LCP","1226.5","3666.9000000059605","2440.4000000059605","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1213.9000000059605","1226.5"
"5","http://localhost:8080/","2024-12-6","17:59:52","longTask","5228.60000000149","5297.60000000149","69","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-6","18:00:03","LCP","1288.5","3846.5","2558","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1269.5","1288.5"
"6","http://localhost:8080/","2024-12-6","18:00:03","longTask","5205.20000000298","5272.20000000298","67","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-6","18:00:15","LCP","1213.5","3627","2413.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1200","1213.5"
"7","http://localhost:8080/","2024-12-6","18:00:15","longTask","5208.39999999851","5302.39999999851","94","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-6","18:00:27","LCP","1231.1000000014901","3675.10000000149","2444","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1212.8999999985099","1231.1000000014901"
"8","http://localhost:8080/","2024-12-6","18:00:27","longTask","5214.5","5308.5","94","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/","2024-12-6","18:00:39","LCP","1242.1000000014901","3697.89999999851","2455.7999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1213.6999999955297","1242.1000000014901"
"9","http://localhost:8080/","2024-12-6","18:00:39","longTask","5215.69999999553","5310.69999999553","95","self","-1","-1","-1","-1","-1"
"10","http://localhost:8080/","2024-12-6","18:00:50","LCP","1221.2000000029802","3647.9000000059605","2426.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1205.5","1221.2000000029802"
"10","http://localhost:8080/","2024-12-6","18:00:50","longTask","5171.20000000298","5241.20000000298","70","self","-1","-1","-1","-1","-1"
"11","http://localhost:8080/","2024-12-6","18:01:02","LCP","1211.6000000014901","3615.3000000044703","2403.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1192.1000000014901","1211.6000000014901"
"11","http://localhost:8080/","2024-12-6","18:01:02","longTask","5207.39999999851","5276.39999999851","69","self","-1","-1","-1","-1","-1"
"12","http://localhost:8080/","2024-12-6","18:01:14","LCP","1204.7000000029802","3595.1000000089407","2390.4000000059605","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1185.7000000029802","1204.7000000029802"
"12","http://localhost:8080/","2024-12-6","18:01:14","longTask","5216","5285","69","self","-1","-1","-1","-1","-1"
"13","http://localhost:8080/","2024-12-6","18:01:26","LCP","1187.0999999940395","3545.599999986589","2358.4999999925494","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1171.3999999985099","1187.0999999940395"
"13","http://localhost:8080/","2024-12-6","18:01:26","longTask","5207.29999999702","5303.29999999702","96","self","-1","-1","-1","-1","-1"
"14","http://localhost:8080/","2024-12-6","18:01:37","LCP","1212.7999999970198","3609.4999999925494","2396.6999999955297","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1183.8999999985099","1212.7999999970198"
"14","http://localhost:8080/","2024-12-6","18:01:37","longTask","5216.0999999940395","5311.0999999940395","95","self","-1","-1","-1","-1","-1"
"15","http://localhost:8080/","2024-12-6","18:01:49","LCP","1289.3000000044703","3849.900000013411","2560.6000000089407","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1271.3000000044703","1289.3000000044703"
"15","http://localhost:8080/","2024-12-6","18:01:49","longTask","5229.80000000447","5297.80000000447","68","self","-1","-1","-1","-1","-1"
"16","http://localhost:8080/","2024-12-6","18:02:01","LCP","1221.6000000014901","3648.89999999851","2427.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1205.6999999955297","1221.6000000014901"
"16","http://localhost:8080/","2024-12-6","18:02:01","longTask","5208.5","5276.5","68","self","-1","-1","-1","-1","-1"
