idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-7","11:51:31","LCP","2075.300000000745","6207.900000002235","4132.60000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","2057.300000000745","2075.300000000745"
"1","http://localhost:8080/","2024-12-7","11:51:31","longTask","1413.5","1526.5","113","unknown","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-7","11:51:31","longTask","1529.1000000014901","1646.1000000014901","117","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-7","11:51:31","longTask","4143.5","4332.5","189","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-7","11:51:31","longTask","4415.300000000745","4542.300000000745","127","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-7","11:51:42","LCP","1779.199999999255","5320.300000000745","3541.10000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1761.9000000022352","1779.199999999255"
"2","http://localhost:8080/","2024-12-7","11:51:42","longTask","1094.300000000745","1189.300000000745","95","unknown","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-7","11:51:42","longTask","1191.699999999255","1266.699999999255","75","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-7","11:51:42","longTask","3762","3941","179","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-7","11:51:42","longTask","4047.300000000745","4165.300000000745","118","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-7","11:51:53","LCP","1729.300000000745","5169.300000000745","3440","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1710.699999999255","1729.300000000745"
"3","http://localhost:8080/","2024-12-7","11:51:53","longTask","1073.6000000014901","1160.6000000014901","87","unknown","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-7","11:51:53","longTask","1162.3999999985099","1238.3999999985099","76","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-7","11:51:53","longTask","3751.39999999851","3930.39999999851","179","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-7","11:51:53","longTask","4036.199999999255","4158.199999999255","122","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-7","11:52:03","LCP","1759.3999999985099","5259.69999999553","3500.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1740.8999999985099","1759.3999999985099"
"4","http://localhost:8080/","2024-12-7","11:52:03","longTask","1083.5999999977648","1169.5999999977648","86","unknown","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-7","11:52:03","longTask","1172.0999999977648","1246.0999999977648","74","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-7","11:52:03","longTask","3741.699999999255","3916.699999999255","175","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-7","11:52:03","longTask","4030.7999999970198","4145.79999999702","115","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-7","11:52:14","LCP","1774.6000000014901","5302.30000000447","3527.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1753.1000000014901","1774.6000000014901"
"5","http://localhost:8080/","2024-12-7","11:52:14","longTask","1083.699999999255","1168.699999999255","85","unknown","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-7","11:52:14","longTask","1171.1000000014901","1246.1000000014901","75","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-7","11:52:14","longTask","3755.60000000149","3934.60000000149","179","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-7","11:52:14","longTask","4034.300000000745","4152.300000000745","118","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-7","11:52:25","LCP","1794.4000000022352","5363.9000000059605","3569.5000000037253","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1775.1000000014901","1794.4000000022352"
"6","http://localhost:8080/","2024-12-7","11:52:25","longTask","1097.4000000022352","1190.4000000022352","93","unknown","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-7","11:52:25","longTask","1200","1275","75","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-7","11:52:25","longTask","3781.10000000149","3955.10000000149","174","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-7","11:52:25","longTask","4058.900000002235","4174.900000002235","116","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-7","11:52:35","LCP","1277.1000000014901","3799.2000000029802","2522.10000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1245","1277.1000000014901"
"7","http://localhost:8080/","2024-12-7","11:52:35","longTask","1080","1163","83","unknown","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-7","11:52:35","longTask","1165.9000000022352","1243.9000000022352","78","self","-1","-1","-1","-1","-1"
