idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/home/","2024-12-7","15:37:52","LCP","1131.5","3375.60000000149","2244.10000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1112.6000000014901","1131.5"
"1","http://localhost:8080/home/","2024-12-7","15:37:52","longTask","455.20000000298023","604.2000000029802","149","unknown","-1","-1","-1","-1","-1"
"1","http://localhost:8080/home/","2024-12-7","15:37:52","longTask","1568.9000000059605","1813.9000000059605","245","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/home/","2024-12-7","15:37:52","longTask","6084.4000000059605","6222.4000000059605","138","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/home/","2024-12-7","15:38:06","LCP","985.9000000059605","2937.000000014901","1951.1000000089407","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","965.2000000029802","985.9000000059605"
"2","http://localhost:8080/home/","2024-12-7","15:38:06","longTask","314.90000000596046","416.90000000596046","102","unknown","-1","-1","-1","-1","-1"
"2","http://localhost:8080/home/","2024-12-7","15:38:06","longTask","1432.7000000029802","1597.7000000029802","165","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/home/","2024-12-7","15:38:06","longTask","5810.30000000447","5924.30000000447","114","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/home/","2024-12-7","15:38:19","LCP","993.5999999940395","2966.2999999821186","1972.699999988079","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","979.0999999940395","993.5999999940395"
"3","http://localhost:8080/home/","2024-12-7","15:38:19","longTask","313.8999999985099","404.8999999985099","91","unknown","-1","-1","-1","-1","-1"
"3","http://localhost:8080/home/","2024-12-7","15:38:19","longTask","1431.7999999970198","1597.7999999970198","166","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/home/","2024-12-7","15:38:19","longTask","5812.69999999553","5923.69999999553","111","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/home/","2024-12-7","15:38:32","LCP","990.7999999970198","2953.199999988079","1962.3999999910593","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","971.5999999940395","990.7999999970198"
"4","http://localhost:8080/home/","2024-12-7","15:38:32","longTask","312.69999999552965","398.69999999552965","86","unknown","-1","-1","-1","-1","-1"
"4","http://localhost:8080/home/","2024-12-7","15:38:32","longTask","1432.3999999985099","1599.3999999985099","167","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/home/","2024-12-7","15:38:32","longTask","5808.5999999940395","5919.5999999940395","111","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/home/","2024-12-7","15:38:45","LCP","997.5","2972.5999999940395","1975.0999999940395","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","977.5999999940395","997.5"
"5","http://localhost:8080/home/","2024-12-7","15:38:45","longTask","313.19999999552965","400.19999999552965","87","unknown","-1","-1","-1","-1","-1"
"5","http://localhost:8080/home/","2024-12-7","15:38:45","longTask","1433.5","1596.5","163","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/home/","2024-12-7","15:38:45","longTask","5809.5999999940395","5916.5999999940395","107","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/home/","2024-12-7","15:38:58","LCP","991.3999999985099","2954.2999999970198","1962.8999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","971.5","991.3999999985099"
"6","http://localhost:8080/home/","2024-12-7","15:38:58","longTask","311.19999999552965","400.19999999552965","89","unknown","-1","-1","-1","-1","-1"
"6","http://localhost:8080/home/","2024-12-7","15:38:58","longTask","1433.8999999985099","1601.8999999985099","168","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/home/","2024-12-7","15:38:58","longTask","5825.79999999702","5933.79999999702","108","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/home/","2024-12-7","15:39:11","LCP","998.5999999940395","2976.199999988079","1977.5999999940395","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","979","998.5999999940395"
"7","http://localhost:8080/home/","2024-12-7","15:39:11","longTask","314","407","93","unknown","-1","-1","-1","-1","-1"
"7","http://localhost:8080/home/","2024-12-7","15:39:11","longTask","1433.8999999985099","1598.8999999985099","165","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/home/","2024-12-7","15:39:11","longTask","5808.89999999851","5920.89999999851","112","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/home/","2024-12-7","15:39:24","LCP","994.7999999970198","2968.2999999970198","1973.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","978.7000000029802","994.7999999970198"
"8","http://localhost:8080/home/","2024-12-7","15:39:24","longTask","316.29999999701977","404.29999999701977","88","unknown","-1","-1","-1","-1","-1"
"8","http://localhost:8080/home/","2024-12-7","15:39:24","longTask","1433","1600","167","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/home/","2024-12-7","15:39:24","longTask","5801","5909","108","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/home/","2024-12-7","15:39:37","LCP","977.2000000029802","2917.0000000074506","1939.8000000044703","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","962.6000000014901","977.2000000029802"
"9","http://localhost:8080/home/","2024-12-7","15:39:37","longTask","315.20000000298023","407.20000000298023","92","unknown","-1","-1","-1","-1","-1"
"9","http://localhost:8080/home/","2024-12-7","15:39:37","longTask","1432.5","1596.5","164","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/home/","2024-12-7","15:39:37","longTask","5811.39999999851","5921.39999999851","110","self","-1","-1","-1","-1","-1"
"10","http://localhost:8080/home/","2024-12-7","15:39:50","LCP","976.8999999985099","2915.1999999955297","1938.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","961.3999999985099","976.8999999985099"
"10","http://localhost:8080/home/","2024-12-7","15:39:50","longTask","312.20000000298023","402.20000000298023","90","unknown","-1","-1","-1","-1","-1"
"10","http://localhost:8080/home/","2024-12-7","15:39:50","longTask","1432.7999999970198","1596.7999999970198","164","self","-1","-1","-1","-1","-1"
"10","http://localhost:8080/home/","2024-12-7","15:39:50","longTask","5800.5","5911.5","111","self","-1","-1","-1","-1","-1"
"11","http://localhost:8080/home/","2024-12-7","15:40:03","LCP","991.5","2955","1963.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","972","991.5"
"11","http://localhost:8080/home/","2024-12-7","15:40:03","longTask","319.20000000298023","415.20000000298023","96","unknown","-1","-1","-1","-1","-1"
"11","http://localhost:8080/home/","2024-12-7","15:40:03","longTask","1443.1000000014901","1613.1000000014901","170","self","-1","-1","-1","-1","-1"
"11","http://localhost:8080/home/","2024-12-7","15:40:03","longTask","5823.70000000298","5929.70000000298","106","self","-1","-1","-1","-1","-1"
