idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-8","17:19:07","LCP","5133.39999999851","15384.49999999255","10251.09999999404","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","5117.69999999553","5133.39999999851"
"1","http://localhost:8080/","2024-12-8","17:19:07","longTask","1040.6999999955297","1101.6999999955297","61","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-8","17:19:07","longTask","1102","1239","137","unknown","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-8","17:19:07","longTask","1242.5","1373.5","131","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-8","17:19:07","longTask","4098.19999999553","4356.19999999553","258","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-8","17:19:07","longTask","4370.5","4462.5","92","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-8","17:19:18","LCP","4869.70000000298","14587.70000000298","9718","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4848.29999999702","4869.70000000298"
"2","http://localhost:8080/","2024-12-8","17:19:18","longTask","1023","1110","87","unknown","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-8","17:19:18","longTask","1115.8999999985099","1186.8999999985099","71","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-8","17:19:18","longTask","3872.89999999851","4107.89999999851","235","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-8","17:19:18","longTask","4153.89999999851","4244.89999999851","91","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-8","17:19:29","LCP","4922.60000000149","14751.10000000149","9828.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4905.89999999851","4922.60000000149"
"3","http://localhost:8080/","2024-12-8","17:19:29","longTask","1060.6999999955297","1147.6999999955297","87","unknown","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-8","17:19:29","longTask","1151.8999999985099","1224.8999999985099","73","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-8","17:19:29","longTask","3923.39999999851","4152.39999999851","229","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-8","17:19:29","longTask","4197.79999999702","4287.79999999702","90","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-8","17:19:40","LCP","4857.10000000149","14548.80000000447","9691.70000000298","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4834.60000000149","4857.10000000149"
"4","http://localhost:8080/","2024-12-8","17:19:40","longTask","1025.5","1108.5","83","unknown","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-8","17:19:40","longTask","1112.7000000029802","1183.7000000029802","71","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-8","17:19:40","longTask","3867.5","4099.5","232","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-8","17:19:40","longTask","4146.5","4236.5","90","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-8","17:19:51","LCP","4862.5","14565.20000000298","9702.70000000298","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4840.20000000298","4862.5"
"5","http://localhost:8080/","2024-12-8","17:19:51","longTask","1007.7999999970198","1093.7999999970198","86","unknown","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-8","17:19:51","longTask","1123.7000000029802","1197.7000000029802","74","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-8","17:19:51","longTask","3883.7000000029802","4112.70000000298","229","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-8","17:19:51","longTask","4159.10000000149","4250.10000000149","91","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-8","17:20:02","LCP","4922.80000000447","14750.300000011921","9827.50000000745","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4904.70000000298","4922.80000000447"
"6","http://localhost:8080/","2024-12-8","17:20:02","longTask","1052.8999999985099","1137.8999999985099","85","unknown","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-8","17:20:02","longTask","1139.8000000044703","1213.8000000044703","74","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-8","17:20:02","longTask","3936.7000000029802","4170.70000000298","234","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-8","17:20:02","longTask","4184.80000000447","4274.80000000447","90","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-8","17:20:13","LCP","4875.10000000149","14605.60000000149","9730.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4855.39999999851","4875.10000000149"
"7","http://localhost:8080/","2024-12-8","17:20:13","longTask","993.6000000014901","1075.6000000014901","82","unknown","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-8","17:20:13","longTask","1105.3999999985099","1176.3999999985099","71","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-8","17:20:13","longTask","3872.7999999970198","4102.79999999702","230","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-8","17:20:13","longTask","4150.5","4238.5","88","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-8","17:20:24","LCP","4924.10000000149","14753.60000000149","9829.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4905.39999999851","4924.10000000149"
"8","http://localhost:8080/","2024-12-8","17:20:24","longTask","1051.2000000029802","1134.2000000029802","83","unknown","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-8","17:20:24","longTask","1138.3000000044703","1211.3000000044703","73","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-8","17:20:24","longTask","3916.60000000149","4151.60000000149","235","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-8","17:20:24","longTask","4198.80000000447","4288.80000000447","90","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/","2024-12-8","17:20:35","LCP","4919.5","14744.69999999553","9825.19999999553","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4905.69999999553","4919.5"
"9","http://localhost:8080/","2024-12-8","17:20:35","longTask","1009.5","1091.5","82","unknown","-1","-1","-1","-1","-1"
"9","http://localhost:8080/","2024-12-8","17:20:35","longTask","1119.5","1189.5","70","self","-1","-1","-1","-1","-1"
