idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-5","17:13:44","7114","12148","19899.79999999702","1227","325","191","5805.79999999702","3","241",""
"2","http://localhost:8080/","2024-12-5","17:13:57","6965","11987","19441.699999973178","1206.0999999940395","333.5","187","5711.399999991059","3","237",""
"3","http://localhost:8080/","2024-12-5","17:14:09","6944","11971","19389.09999999404","1190","332.79999999701977","181","5692.5","3","231",""
"4","http://localhost:8080/","2024-12-5","17:14:22","6945","11969","19394.70000000298","1175.7000000029802","327.79999999701977","185","5691.20000000298","3","235",""
"5","http://localhost:8080/","2024-12-5","17:14:35","6952","11976","19399.39999999106","1175.2999999970198","327.69999998807907","183","5700.5","3","233",""
"6","http://localhost:8080/","2024-12-5","17:14:47","6923","11949","19341.4999999851","1160.0999999940395","329.09999999403954","184","5670.29999999702","3","234",""
"7","http://localhost:8080/","2024-12-5","17:15:00","6966","11994","19469.59999997914","1185.8999999910593","334.8999999910593","186","5706.79999999702","3","236",""
"8","http://localhost:8080/","2024-12-5","17:15:12","6968","11990","19465.59999997914","1199.5999999940395","328.5","180","5708.5","3","230",""
"9","http://localhost:8080/","2024-12-5","17:15:25","6952","11980","19422","1185.8999999910593","334.79999999701977","185","5708.899999991059","3","235",""
"10","http://localhost:8080/","2024-12-5","17:15:38","6939","11968","19384.0000000149","1190.1000000089407","328.90000000596046","178","5690","3","228",""
"11","http://localhost:8080/","2024-12-5","17:15:50","6924","11947","19316.4999999851","1180.2000000029802","327.20000000298023","181","5683.79999999702","3","231",""
"12","http://localhost:8080/","2024-12-5","17:16:03","6958","11983","19416.199999973178","1180","334","186","5701.899999991059","3","236",""
"13","http://localhost:8080/","2024-12-5","17:16:16","6939","11968","19362.89999999106","1180.2000000029802","333.20000000298023","171","5693.399999991059","3","221",""
"14","http://localhost:8080/","2024-12-5","17:16:28","6946","11972","19380.29999998212","1184.7999999970198","327.8999999910593","185","5704","3","235",""
"15","http://localhost:8080/","2024-12-5","17:16:41","6925","11953","19321.90000000596","1149.1000000089407","329","176","5682.5","3","226",""
"16","http://localhost:8080/","2024-12-5","17:16:54","6917","11940","19303.09999999404","1177.2000000029802","327.90000000596046","174","5671.70000000298","3","224",""
"17","http://localhost:8080/","2024-12-5","17:17:06","6930","11958","19348.79999999702","1193.2000000029802","327.09999999403954","169","5685.79999999702","3","219",""
"18","http://localhost:8080/","2024-12-5","17:17:19","6909","11934","19267.9999999851","1180","335.09999999403954","176","5663.0999999940395","3","226",""
"19","http://localhost:8080/","2024-12-5","17:17:32","6945","11968","19376.60000000894","1183.4000000059605","333.90000000596046","185","5701.70000000298","3","235",""
"20","http://localhost:8080/","2024-12-5","17:17:44","6959","11986","19423.100000023842","1199.4000000059605","333.80000001192093","188","5709.300000011921","3","238",""
"21","http://localhost:8080/","2024-12-5","17:17:57","6944","11972","19379","1184.5","327.29999999701977","182","5691.0999999940395","3","232",""
"22","http://localhost:8080/","2024-12-5","17:18:10","6938","11963","19370.199999973178","1184.0999999940395","327.19999998807907","181","5697","3","231",""
"23","http://localhost:8080/","2024-12-5","17:18:22","6947","11971","19377.80000001192","1182.9000000059605","329.29999999701977","185","5692.100000008941","3","235",""
"24","http://localhost:8080/","2024-12-5","17:18:35","6973","11999","19464.40000002086","1196.6000000089407","334.70000000298023","190","5721.9000000059605","3","240",""
"25","http://localhost:8080/","2024-12-5","17:18:47","6924","11952","19327.89999999106","1169","327.3999999910593","181","5678.20000000298","3","231",""
