idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-6","16:05:57","6786","11820","5553.19999999553","1249.5","357.8999999985099","218","5954","3","268",""
"2","http://localhost:8080/","2024-12-6","16:06:10","6516","11548","3806.0000000074506","1194.3999999985099","356.3999999985099","230","5688.10000000149","3","280",""
"3","http://localhost:8080/","2024-12-6","16:06:22","6479","11503","3878.0999999940395","1195.0999999940395","354.79999999701977","190","5646.5999999940395","3","240",""
"4","http://localhost:8080/","2024-12-6","16:06:34","6708","11737","5336.999999992549","1209.6999999955297","363.8999999985099","144","5872.69999999553","4","170",""
"5","http://localhost:8080/","2024-12-6","16:06:46","6497","11526","3856.8000000044703","1206.8000000044703","362","150","5658.89999999851","4","173",""
"6","http://localhost:8080/","2024-12-6","16:06:58","6474","11504","3793.8000000044703","1182.6000000014901","354.8999999985099","151","5640.30000000447","4","175",""
"7","http://localhost:8080/","2024-12-6","16:07:10","6481","11509","3839.2999999970198","1207.1000000014901","355.70000000298023","149","5643.5","4","175",""
"8","http://localhost:8080/","2024-12-6","16:07:23","6696","11723","5316.60000000149","1177","356.30000000447035","148","5861.20000000298","4","175",""
"9","http://localhost:8080/","2024-12-6","16:07:35","6481","11507","3787.699999988079","1188.5999999940395","363.59999999403954","204","5644.69999999553","3","254",""
"10","http://localhost:8080/","2024-12-6","16:07:47","6746","11774","5430.30000000447","1218.2000000029802","363.29999999701977","197","5911.10000000149","3","247",""
"11","http://localhost:8080/","2024-12-6","16:07:59","6489","11519","3808.699999988079","1191.3999999985099","355.09999999403954","146","5656.0999999940395","4","173",""
"12","http://localhost:8080/","2024-12-6","16:08:12","6688","11715","5380.89999999851","1216.2000000029802","355.70000000298023","188","5854.39999999851","3","238",""
"13","http://localhost:8080/","2024-12-6","16:08:24","6466","11493","3817.1999999955297","1192.2000000029802","355.5","151","5636.70000000298","4","176",""
"14","http://localhost:8080/","2024-12-6","16:08:36","6466","11494","3817.800000011921","1198.4000000059605","355.5","191","5635","3","241",""
"15","http://localhost:8080/","2024-12-6","16:08:48","6495","11519","3837","1198.2000000029802","355.79999999701977","192","5657.60000000149","3","242",""
"16","http://localhost:8080/","2024-12-6","16:09:00","6664","11692","5314.100000008941","1189.8000000044703","356.5","191","5831.10000000149","3","241",""
"17","http://localhost:8080/","2024-12-6","16:09:12","6659","11683","5282.79999999702","1191.8999999985099","355.6000000014901","191","5825.89999999851","3","241",""
"18","http://localhost:8080/","2024-12-6","16:09:25","6680","11710","5178.700000010431","1189.5","356.30000000447035","150","5845.60000000149","4","177",""
"19","http://localhost:8080/","2024-12-6","16:09:37","6479","11508","3870.10000000149","1208.8999999985099","363.1000000014901","191","5646.19999999553","3","241",""
"20","http://localhost:8080/","2024-12-6","16:09:49","6697","11724","5353.9000000059605","1198","356.29999999701977","189","5862","3","239",""
"21","http://localhost:8080/","2024-12-6","16:10:01","6473","11497","3838.6999999955297","1204","355.29999999701977","189","5644.39999999851","3","239",""
"22","http://localhost:8080/","2024-12-6","16:10:14","6717","11742","5227.999999992549","1198.7999999970198","354.8999999985099","150","5884.89999999851","4","173",""
"23","http://localhost:8080/","2024-12-6","16:10:26","6703","11729","5326.79999999702","1205.3999999985099","363.70000000298023","149","5869.5","4","175",""
"24","http://localhost:8080/","2024-12-6","16:10:38","6686","11714","5334.5","1207.8999999985099","355","190","5857.20000000298","3","240",""
"25","http://localhost:8080/","2024-12-6","16:10:51","6458","11487","3801.2000000029802","1186.5","355.19999999552965","191","5630","3","241",""
"26","http://localhost:8080/","2024-12-6","16:11:03","6715","11738","5381.89999999851","1208.3999999985099","355.3999999985099","193","5886.69999999553","3","243",""
"27","http://localhost:8080/","2024-12-6","16:11:15","6687","11713","5302.39999999851","1182.7000000029802","356.5","192","5850.5","3","242",""
"28","http://localhost:8080/","2024-12-6","16:11:27","6684","11713","5235.999999992549","1169.5999999940395","356.29999999701977","151","5838.5","4","177",""
"29","http://localhost:8080/","2024-12-6","16:11:40","6745","11772","5420.499999985099","1214.6999999955297","369.79999999701977","149","5902.19999999553","4","175",""
"30","http://localhost:8080/","2024-12-6","16:11:52","6746","11770","5394.4000000059605","1219.9000000059605","370.5","195","5906.80000000447","3","245",""
"31","http://localhost:8080/","2024-12-6","16:12:04","6521","11544","3947.3999999910593","1219","370.3999999985099","193","5678.5999999940395","3","243",""
"32","http://localhost:8080/","2024-12-6","16:12:17","6730","11757","5227","1199.1000000014901","363.8999999985099","146","5891.10000000149","4","172",""
"33","http://localhost:8080/","2024-12-6","16:12:29","6774","11801","5359.999999992549","1234.8999999985099","370.29999999701977","148","5935.89999999851","4","172",""
"34","http://localhost:8080/","2024-12-6","16:12:41","6764","11790","5490.89999999851","1236","369.80000000447035","150","5921.5","4","174",""
"35","http://localhost:8080/","2024-12-6","16:12:54","6782","11809","5501.89999999851","1233.1000000014901","370.69999999552965","194","5943.39999999851","3","244",""
"36","http://localhost:8080/","2024-12-6","16:13:06","6757","11788","5314.100000008941","1228.3000000044703","370.6000000014901","187","5921.60000000149","3","237",""
"37","http://localhost:8080/","2024-12-6","16:13:19","6727","11752","5434.300000011921","1196.8000000044703","371.80000000447035","147","5885.80000000447","4","174",""
"38","http://localhost:8080/","2024-12-6","16:13:31","6518","11544","3751.299999989569","1202.8999999985099","364.59999999403954","151","5672.89999999851","4","174",""
"39","http://localhost:8080/","2024-12-6","16:13:43","6507","11536","3930.10000000149","1230.7999999970198","369.3999999985099","191","5674.89999999851","3","241",""
"40","http://localhost:8080/","2024-12-6","16:13:55","6655","11682","5256.200000017881","1216.2000000029802","370.40000000596046","186","5817.5","3","236",""
"41","http://localhost:8080/","2024-12-6","16:14:08","6509","11537","3909.0999999940395","1222.6999999955297","370.69999999552965","145","5675.29999999702","4","170",""
"42","http://localhost:8080/","2024-12-6","16:14:20","6720","11746","5340.399999983609","1211.0999999940395","370.69999999552965","201","5883.19999999553","3","251",""
"43","http://localhost:8080/","2024-12-6","16:14:32","6516","11540","3865.599999986589","1213.5","371.79999999701977","188","5679.39999999851","3","238",""
"44","http://localhost:8080/","2024-12-6","16:14:44","6554","11582","4083.2999999821186","1218.7999999970198","369.79999999701977","147","5714.69999999553","4","174",""
"45","http://localhost:8080/","2024-12-6","16:14:56","6763","11786","5511.399999991059","1213.5","370.69999999552965","146","5919.79999999702","4","174",""
"46","http://localhost:8080/","2024-12-6","16:15:09","6522","11552","3909.39999999851","1225.5","371.3999999985099","146","5686.80000000447","4","172",""
"47","http://localhost:8080/","2024-12-6","16:15:21","6519","11547","3906.0999999940395","1226.0999999940395","371.8999999985099","145","5676.5","4","173",""
"48","http://localhost:8080/","2024-12-6","16:15:33","6755","11779","5325.700000010431","1222.5","369.5","185","5913.9000000059605","3","235",""
"49","http://localhost:8080/","2024-12-6","16:15:45","6533","11560","3803.60000000149","1194.7000000029802","371.20000000298023","149","5691.10000000149","4","173",""
"50","http://localhost:8080/","2024-12-6","16:15:58","6505","11533","3950.8000000044703","1235.5","370","185","5660.70000000298","3","235",""
"51","http://localhost:8080/","2024-12-6","16:16:10","6732","11757","5316.0999999940395","1202","372.8999999985099","144","5897.0999999940395","4","170",""
"52","http://localhost:8080/","2024-12-6","16:16:22","6511","11539","3824.9000000059605","1199.8000000044703","372.40000000596046","197","5674","3","247",""
"53","http://localhost:8080/","2024-12-6","16:16:34","6503","11529","3902.2000000178814","1222.3000000044703","369.5","147","5663.9000000059605","4","171",""
"54","http://localhost:8080/","2024-12-6","16:16:46","6520","11549","3890.900000013411","1223.8999999985099","370.30000000447035","142","5676.60000000149","4","166",""
"55","http://localhost:8080/","2024-12-6","16:16:59","6721","11745","5387.799999982119","1203.0999999940395","371.69999999552965","186","5879.5","3","236",""
"56","http://localhost:8080/","2024-12-6","16:17:11","6745","11775","5450.70000000298","1232.4000000059605","371.80000000447035","145","5903.30000000447","4","172",""
"57","http://localhost:8080/","2024-12-6","16:17:23","6732","11760","5381.000000007451","1191.2000000029802","370.1000000014901","143","5890.20000000298","4","171",""
"58","http://localhost:8080/","2024-12-6","16:17:36","6703","11731","5250.5","1213.2000000029802","371","145","5865.80000000447","4","172",""
"59","http://localhost:8080/","2024-12-6","16:17:48","6520","11545","3813.1000000089407","1195.3999999985099","370.80000000447035","148","5679.89999999851","4","172",""
"60","http://localhost:8080/","2024-12-6","16:18:00","6497","11521","3787.7999999970198","1195.2999999970198","372.3999999985099","187","5653.79999999702","3","237",""
"61","http://localhost:8080/","2024-12-6","16:18:12","6739","11770","5400.30000000447","1214","369.70000000298023","150","5901.79999999702","4","174",""
"62","http://localhost:8080/","2024-12-6","16:18:25","6782","11806","5589.399999991059","1238.8999999985099","369.69999999552965","144","5939.89999999851","4","171",""
"63","http://localhost:8080/","2024-12-6","16:18:37","6740","11768","5408.999999992549","1209","371.5","185","5898.5999999940395","3","235",""
"64","http://localhost:8080/","2024-12-6","16:18:49","6725","11753","5415.4000000059605","1197.1000000014901","370.1000000014901","188","5879.10000000149","3","238",""
"65","http://localhost:8080/","2024-12-6","16:19:02","6790","11817","5566.20000000298","1223.3999999985099","369.80000000447035","185","5949.70000000298","3","235",""
"66","http://localhost:8080/","2024-12-6","16:19:14","6503","11528","3743.7000000029802","1197.6000000014901","369.90000000596046","149","5668","4","170",""
"67","http://localhost:8080/","2024-12-6","16:19:26","6719","11746","5343.500000007451","1196.1000000014901","371.70000000298023","188","5876.70000000298","3","238",""
"68","http://localhost:8080/","2024-12-6","16:19:39","6516","11544","3846.9999999925494","1213.3999999985099","369.29999999701977","147","5673.29999999702","4","172",""
"69","http://localhost:8080/","2024-12-6","16:19:51","6504","11532","3792.3000000044703","1197.5","369.3999999985099","195","5662.10000000149","3","245",""
"70","http://localhost:8080/","2024-12-6","16:20:03","6699","11726","5314.70000000298","1194.2000000029802","369.5","145","5858.30000000447","4","173",""
