idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-6","19:46:10","1609","6627","3112.099999986589","1042.5999999940395","510.69999999552965","0","1042.5999999940395","0","-1",""
"2","http://localhost:8080/","2024-12-6","19:46:17","988","5996","1295.7999999970198","435.6000000014901","60.70000000298023","0","435.6000000014901","0","-1",""
"3","http://localhost:8080/","2024-12-6","19:46:24","1119","6130","1694.4000000059605","575.3000000044703","63.20000000298023","0","575.3000000044703","0","-1",""
"4","http://localhost:8080/","2024-12-6","19:46:30","982","5995","1292.199999988079","434.5","58","0","434.5","0","-1",""
"5","http://localhost:8080/","2024-12-6","19:46:37","833","5846","848.7999999821186","293.29999999701977","55.099999994039536","0","293.29999999701977","0","-1",""
"6","http://localhost:8080/","2024-12-6","19:46:43","820","5832","809.7000000104308","280.30000000447035","54.20000000298023","0","280.30000000447035","0","-1",""
"7","http://localhost:8080/","2024-12-6","19:46:50","862","5876","933.3999999985099","322","53.600000001490116","0","322","0","-1",""
"8","http://localhost:8080/","2024-12-6","19:46:56","1067","6077","1537.0000000074506","516.5","47.70000000298023","0","516.5","0","-1",""
"9","http://localhost:8080/","2024-12-6","19:47:03","893","5908","1026.9000000059605","345.6000000014901","62.100000001490116","0","345.6000000014901","0","-1",""
"10","http://localhost:8080/","2024-12-6","19:47:10","1044","6054","1440.1000000089407","491.8999999985099","51.399999998509884","0","491.8999999985099","0","-1",""
"11","http://localhost:8080/","2024-12-6","19:47:16","827","5840","848.2000000029802","286.90000000596046","53","0","286.90000000596046","0","-1",""
"12","http://localhost:8080/","2024-12-6","19:47:23","1041","6050","1467.199999988079","499.79999999701977","48.899999998509884","0","499.79999999701977","0","-1",""
"13","http://localhost:8080/","2024-12-6","19:47:30","1066","6075","1533.9999999925494","521.8999999985099","42.600000001490116","0","521.8999999985099","0","-1",""
"14","http://localhost:8080/","2024-12-6","19:47:36","1044","6054","1478.900000013411","503.5","50.5","0","503.5","0","-1",""
"15","http://localhost:8080/","2024-12-6","19:47:43","944","5956","1190.8999999910593","408.3999999985099","40","0","408.3999999985099","0","-1",""
"16","http://localhost:8080/","2024-12-6","19:47:49","901","5913","1068.2000000029802","360.79999999701977","46.399999998509884","0","360.79999999701977","0","-1",""
"17","http://localhost:8080/","2024-12-6","19:47:56","946","5959","1188.7000000029802","407.29999999701977","41.5","0","407.29999999701977","0","-1",""
"18","http://localhost:8080/","2024-12-6","19:48:03","1140","6148","1773.6999999955297","601","50.19999999552965","0","601","0","-1",""
"19","http://localhost:8080/","2024-12-6","19:48:09","913","5926","1090.9999999925494","375.29999999701977","45.79999999701977","0","375.29999999701977","0","-1",""
"20","http://localhost:8080/","2024-12-6","19:48:16","783","5795","709.6999999880791","245.89999999850988","40.79999999701977","0","245.89999999850988","0","-1",""
"21","http://localhost:8080/","2024-12-6","19:48:22","871","5878","967.8999999910593","333.09999999403954","39","0","333.09999999403954","0","-1",""
"22","http://localhost:8080/","2024-12-6","19:48:29","936","5949","1161.1999999955297","398.09999999403954","48.19999999552965","0","398.09999999403954","0","-1",""
"23","http://localhost:8080/","2024-12-6","19:48:35","843","5853","891","307.6000000014901","44.100000001490116","0","307.6000000014901","0","-1",""
"24","http://localhost:8080/","2024-12-6","19:48:42","890","5903","1020.8000000044703","350.79999999701977","43.5","0","350.79999999701977","0","-1",""
"25","http://localhost:8080/","2024-12-6","19:48:48","1075","6084","1581.8999999985099","539.1000000014901","42.600000001490116","0","539.1000000014901","0","-1",""
"26","http://localhost:8080/","2024-12-6","19:48:55","994","6006","1327.9999999925494","452.5","40.79999999701977","0","452.5","0","-1",""
"27","http://localhost:8080/","2024-12-6","19:49:02","884","5896","994.8000000119209","341.1000000014901","37.70000000298023","0","341.1000000014901","0","-1",""
"28","http://localhost:8080/","2024-12-6","19:49:08","833","5844","859.0000000074506","296.3999999985099","44","0","296.3999999985099","0","-1",""
"29","http://localhost:8080/","2024-12-6","19:49:15","917","5930","1110.199999988079","381.5","34.099999994039536","0","381.5","0","-1",""
"30","http://localhost:8080/","2024-12-6","19:49:21","979","5991","1298.1000000014901","436.30000000447035","38.600000001490116","0","436.30000000447035","0","-1",""
"31","http://localhost:8080/","2024-12-6","19:49:28","917","5927","1096.6000000014901","376.20000000298023","47.899999998509884","0","376.20000000298023","0","-1",""
"32","http://localhost:8080/","2024-12-6","19:49:35","926","5938","1138.800000011921","382.6000000014901","37.899999998509884","0","382.6000000014901","0","-1",""
"33","http://localhost:8080/","2024-12-6","19:49:41","930","5941","1140.7000000104308","391.5","36.899999998509884","0","391.5","0","-1",""
"34","http://localhost:8080/","2024-12-6","19:49:48","856","5868","923.6999999880791","318","35.29999999701977","0","318","0","-1",""
"35","http://localhost:8080/","2024-12-6","19:49:54","851","5863","901.3999999910593","310.09999999403954","46.099999994039536","0","310.09999999403954","0","-1",""
"36","http://localhost:8080/","2024-12-6","19:50:01","885","5897","1012.1000000089407","348.40000000596046","38.100000001490116","0","348.40000000596046","0","-1",""
"37","http://localhost:8080/","2024-12-6","19:50:07","918","5925","1101.800000011921","370.6000000014901","39","0","370.6000000014901","0","-1",""
