idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/home/","2024-12-7","17:36:45","7143","12156","3254.0000000074506","481.30000000447035","331.40000000596046","27","1611.2000000029802","2","77",""
"2","http://localhost:8080/home/","2024-12-7","17:36:58","6999","12008","2963.7000000029802","359.8999999985099","225.20000000298023","15","1494.1000000014901","1","65",""
"3","http://localhost:8080/home/","2024-12-7","17:37:10","6981","11990","2927.6000000089407","349","218.60000000149012","13","1487","1","63",""
"4","http://localhost:8080/home/","2024-12-7","17:37:23","6992","12001","2953.299999989569","366.19999999552965","226","14","1486.8999999985099","1","64",""
"5","http://localhost:8080/home/","2024-12-7","17:37:35","6993","12001","2902.60000000149","348.5","218","14","1478.8999999985099","1","64",""
"6","http://localhost:8080/home/","2024-12-7","17:37:48","6993","12002","2943.7999999970198","353.19999999552965","226.39999999850988","13","1485.7999999970198","1","63",""
"7","http://localhost:8080/home/","2024-12-7","17:38:01","6980","11990","2901.89999999851","347.8999999985099","217.89999999850988","13","1478.5","1","63",""
"8","http://localhost:8080/home/","2024-12-7","17:38:13","6981","11990","2943.4999999925494","344.69999999552965","218.89999999850988","14","1486.1999999955297","1","64",""
"9","http://localhost:8080/home/","2024-12-7","17:38:26","6987","11995","2963.5","359.79999999701977","225.79999999701977","15","1494.2000000029802","1","65",""
"10","http://localhost:8080/home/","2024-12-7","17:38:38","6995","12005","2921.2999999970198","354","224.89999999850988","14","1485.1999999955297","1","64",""
"11","http://localhost:8080/home/","2024-12-7","17:38:51","7008","12018","2942.89999999851","353.19999999552965","225.69999999552965","14","1493.2999999970198","1","64",""
"12","http://localhost:8080/home/","2024-12-7","17:39:03","6994","12002","2961","358.8999999985099","226.10000000149012","13","1492.3999999985099","1","63",""
"13","http://localhost:8080/home/","2024-12-7","17:39:16","6994","12003","2978","358.3999999985099","226.10000000149012","14","1493.1000000014901","1","64",""
"14","http://localhost:8080/home/","2024-12-7","17:39:29","7000","12010","2973.1999999955297","356.1000000014901","225.29999999701977","15","1495.2000000029802","1","65",""
"15","http://localhost:8080/home/","2024-12-7","17:39:41","6986","11995","2962.800000011921","351.20000000298023","226.30000000447035","13","1493.4000000059605","1","63",""
"16","http://localhost:8080/home/","2024-12-7","17:39:54","7007","12016","2962.200000010431","359.30000000447035","226","16","1495.1000000014901","1","66",""
"17","http://localhost:8080/home/","2024-12-7","17:40:07","6993","12002","2944.4000000059605","353.79999999701977","225.70000000298023","13","1486.7000000029802","1","63",""
"18","http://localhost:8080/home/","2024-12-7","17:40:19","6992","12002","2944.7000000029802","353.6000000014901","226","16","1489","1","66",""
"19","http://localhost:8080/home/","2024-12-7","17:40:32","6974","11984","2952.5","349.3999999985099","218.39999999850988","15","1480.0999999940395","1","65",""
"20","http://localhost:8080/home/","2024-12-7","17:40:44","6993","12003","2944.7999999970198","353.70000000298023","226.30000000447035","12","1484.8999999985099","1","62",""
"21","http://localhost:8080/home/","2024-12-7","17:40:57","7007","12017","2962.89999999851","351.29999999701977","225.39999999850988","14","1493.7999999970198","1","64",""
"22","http://localhost:8080/home/","2024-12-7","17:41:09","6993","12001","2962.3000000044703","359.20000000298023","225.90000000596046","13","1492.6000000014901","1","63",""
"23","http://localhost:8080/home/","2024-12-7","17:41:22","7008","12017","2939.599999986589","359.59999999403954","225.69999999552965","14","1493.5","1","64",""
"24","http://localhost:8080/home/","2024-12-7","17:41:35","6980","11989","2952.39999999851","349.30000000447035","218.70000000298023","12","1476.7000000029802","1","62",""
