idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-8","11:45:44","5063","10079","13658.30000000447","1065.3999999985099","331.5","48","3803.5","1","98",""
"2","http://localhost:8080/","2024-12-8","11:45:55","5055","10064","13640.79999999702","1072.300000000745","326.5999999977648","44","3797.5","1","94",""
"3","http://localhost:8080/","2024-12-8","11:46:06","5025","10035","13555.900000002235","1043.800000000745","325.5","42","3780.60000000149","1","92",""
"4","http://localhost:8080/","2024-12-8","11:46:16","5003","10015","13503.499999996275","1041.5","333.19999999925494","39","3760.5","1","89",""
"5","http://localhost:8080/","2024-12-8","11:46:27","5040","10053","13607.600000005215","1083.6000000014901","332.6000000014901","40","3795","1","90",""
"6","http://localhost:8080/","2024-12-8","11:46:38","5054","10066","13673.199999999255","1080.699999999255","332.29999999701977","40","3805","1","90",""
"7","http://localhost:8080/","2024-12-8","11:46:48","5042","10054","13632.40000000596","1050.7000000029802","333.30000000074506","39","3783.400000002235","1","89",""
"8","http://localhost:8080/","2024-12-8","11:46:59","5005","10016","13501.400000002235","1052.300000000745","332.6000000014901","40","3764.300000000745","1","90",""
"9","http://localhost:8080/","2024-12-8","11:47:09","5013","10025","13531.5","1039.800000000745","332.1000000014901","41","3762.199999999255","1","91",""
"10","http://localhost:8080/","2024-12-8","11:47:20","5006","10016","13521.20000000298","1037.9000000022352","332.6000000014901","40","3761.900000002235","1","90",""
"11","http://localhost:8080/","2024-12-8","11:47:31","5028","10040","13591.199999999255","1062.1000000014901","332.69999999925494","40","3772","1","90",""
"12","http://localhost:8080/","2024-12-8","11:47:41","5011","10022","13545.80000000447","1054.1000000014901","332.70000000298023","41","3764","1","91",""
"13","http://localhost:8080/","2024-12-8","11:47:52","5006","10015","13528.5","1066.199999999255","332.5","39","3764.89999999851","1","89",""
"14","http://localhost:8080/","2024-12-8","11:48:03","5055","10065","13650.300000000745","1080.5","332.6000000014901","39","3804.7000000029802","1","89",""
"15","http://localhost:8080/","2024-12-8","11:48:13","5041","10052","13603.900000002235","1060.699999999255","325.5","40","3798.10000000149","1","90",""
"16","http://localhost:8080/","2024-12-8","11:48:24","5054","10063","13659.00000000745","1085.300000000745","325.70000000298023","42","3807.300000000745","1","92",""
"17","http://localhost:8080/","2024-12-8","11:48:35","4990","10003","13464.5","1045.1000000014901","325.9000000022352","40","3742.900000002235","1","90",""
"18","http://localhost:8080/","2024-12-8","11:48:45","5056","10067","13665.599999997765","1085.199999999255","325.29999999701977","39","3798","1","89",""
"19","http://localhost:8080/","2024-12-8","11:48:56","5013","10025","13538.20000000298","1051","332.8999999985099","40","3758.89999999851","1","90",""
"20","http://localhost:8080/","2024-12-8","11:49:07","5027","10039","13566.69999999553","1053.5","332.69999999925494","40","3771.39999999851","1","90",""
"21","http://localhost:8080/","2024-12-8","11:49:17","5013","10025","13537.50000000745","1050.7000000029802","332.9000000022352","40","3765.10000000149","1","90",""
"22","http://localhost:8080/","2024-12-8","11:49:28","5004","10015","13516.099999997765","1051.800000000745","325.5","40","3752","1","90",""
"23","http://localhost:8080/","2024-12-8","11:49:38","5012","10025","13511.69999999553","1066.5999999977648","333","40","3762","1","90",""
