idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-9","11:36:07","LCP","4629.400000002235","4648","18.599999997764826","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/","2024-12-9","11:36:07","longTask","3744","3838","94","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-9","11:36:18","LCP","4489","4506.400000002235","17.400000002235174","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/","2024-12-9","11:36:18","longTask","3658.60000000149","3747.60000000149","89","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-9","11:36:29","LCP","4517.79999999702","4535.39999999851","17.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2024-12-9","11:36:29","longTask","3659.5","3754.5","95","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-9","11:36:39","LCP","4538.300000000745","4558.199999999255","19.899999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/","2024-12-9","11:36:39","longTask","3694.39999999851","3784.39999999851","90","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-9","11:36:50","LCP","4495.199999999255","4514.699999999255","19.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/","2024-12-9","11:36:50","longTask","3652.5","3742.5","90","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-9","11:37:01","LCP","4516.79999999702","4534.599999997765","17.800000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/","2024-12-9","11:37:01","longTask","3667.599999997765","3759.599999997765","92","self","-1","-1","-1"
"7","http://localhost:8080/","2024-12-9","11:37:11","LCP","4538.60000000149","4559.300000000745","20.699999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/","2024-12-9","11:37:11","longTask","3697.900000002235","3787.900000002235","90","self","-1","-1","-1"
"8","http://localhost:8080/","2024-12-9","11:37:22","LCP","4531.900000002235","4550.800000000745","18.899999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/","2024-12-9","11:37:22","longTask","3680.5","3770.5","90","self","-1","-1","-1"
"9","http://localhost:8080/","2024-12-9","11:37:33","LCP","4509.89999999851","4525.29999999702","15.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/","2024-12-9","11:37:33","longTask","3676","3766","90","self","-1","-1","-1"
"10","http://localhost:8080/","2024-12-9","11:37:43","LCP","4531.5","4547","15.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"10","http://localhost:8080/","2024-12-9","11:37:43","longTask","3686.5","3776.5","90","self","-1","-1","-1"
"11","http://localhost:8080/","2024-12-9","11:37:54","LCP","4510.5","4530","19.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"11","http://localhost:8080/","2024-12-9","11:37:54","longTask","3661.599999997765","3752.599999997765","91","self","-1","-1","-1"
"12","http://localhost:8080/","2024-12-9","11:38:05","LCP","4502.79999999702","4515.599999997765","12.800000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"12","http://localhost:8080/","2024-12-9","11:38:05","longTask","3672.5","3763.5","91","self","-1","-1","-1"
"13","http://localhost:8080/","2024-12-9","11:38:15","LCP","4545.800000000745","4565.10000000149","19.300000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"13","http://localhost:8080/","2024-12-9","11:38:15","longTask","3696.10000000149","3786.10000000149","90","self","-1","-1","-1"
"14","http://localhost:8080/","2024-12-9","11:38:26","LCP","4533","4546.20000000298","13.200000002980232","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"14","http://localhost:8080/","2024-12-9","11:38:26","longTask","3679.300000000745","3769.300000000745","90","self","-1","-1","-1"
"15","http://localhost:8080/","2024-12-9","11:38:37","LCP","4524.199999999255","4538.39999999851","14.199999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"15","http://localhost:8080/","2024-12-9","11:38:37","longTask","3677.89999999851","3767.89999999851","90","self","-1","-1","-1"
"16","http://localhost:8080/","2024-12-9","11:38:47","LCP","4510.70000000298","4530.5","19.799999997019768","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"16","http://localhost:8080/","2024-12-9","11:38:47","longTask","3666.400000002235","3755.400000002235","89","self","-1","-1","-1"
"17","http://localhost:8080/","2024-12-9","11:38:58","LCP","4539.099999997765","4551.39999999851","12.300000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"17","http://localhost:8080/","2024-12-9","11:38:58","longTask","3701.5","3790.5","89","self","-1","-1","-1"
