idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/home/","2024-12-11","16:47:00","LCP","1006","1018.7999999970198","12.799999997019768","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/home/","2024-12-11","16:47:00","longTask","1471.2999999970198","1536.2999999970198","65","self","-1","-1","-1"
"2","http://localhost:8080/home/","2024-12-11","16:47:13","LCP","1012.3000000007451","1027.300000000745","15","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/home/","2024-12-11","16:47:13","longTask","1472.699999999255","1537.699999999255","65","self","-1","-1","-1"
"3","http://localhost:8080/home/","2024-12-11","16:47:25","LCP","1013.3999999985099","1029.5999999977648","16.199999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/home/","2024-12-11","16:47:25","longTask","1478.800000000745","1543.800000000745","65","self","-1","-1","-1"
"4","http://localhost:8080/home/","2024-12-11","16:47:38","LCP","1020.6000000014901","1036.4000000022352","15.800000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/home/","2024-12-11","16:47:38","longTask","1480.199999999255","1545.199999999255","65","self","-1","-1","-1"
"5","http://localhost:8080/home/","2024-12-11","16:47:51","LCP","1019.1999999992549","1038.800000000745","19.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/home/","2024-12-11","16:47:51","longTask","1472.800000000745","1537.800000000745","65","self","-1","-1","-1"
"6","http://localhost:8080/home/","2024-12-11","16:48:03","LCP","1019.5999999977648","1037.3999999985099","17.800000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/home/","2024-12-11","16:48:03","longTask","1473.199999999255","1538.199999999255","65","self","-1","-1","-1"
"7","http://localhost:8080/home/","2024-12-11","16:48:16","LCP","1013","1028.8999999985099","15.899999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/home/","2024-12-11","16:48:16","longTask","1473.2999999970198","1537.2999999970198","64","self","-1","-1","-1"
"8","http://localhost:8080/home/","2024-12-11","16:48:29","LCP","1021.5999999977648","1037.199999999255","15.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/home/","2024-12-11","16:48:29","longTask","1472.7999999970198","1537.7999999970198","65","self","-1","-1","-1"
"9","http://localhost:8080/home/","2024-12-11","16:48:41","LCP","1020.3000000007451","1034.800000000745","14.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/home/","2024-12-11","16:48:41","longTask","1479","1543","64","self","-1","-1","-1"
"10","http://localhost:8080/home/","2024-12-11","16:48:54","LCP","1006","1032.1000000014901","26.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"10","http://localhost:8080/home/","2024-12-11","16:48:54","longTask","1472.6000000014901","1536.6000000014901","64","self","-1","-1","-1"
"11","http://localhost:8080/home/","2024-12-11","16:49:07","LCP","990.9000000022352","1010.6999999992549","19.799999997019768","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"11","http://localhost:8080/home/","2024-12-11","16:49:07","longTask","1465","1528","63","self","-1","-1","-1"
"12","http://localhost:8080/home/","2024-12-11","16:49:19","LCP","1013.5999999977648","1034","20.400000002235174","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"12","http://localhost:8080/home/","2024-12-11","16:49:19","longTask","1479","1543","64","self","-1","-1","-1"
"13","http://localhost:8080/home/","2024-12-11","16:49:32","LCP","1005.5","1020.8000000007451","15.300000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"13","http://localhost:8080/home/","2024-12-11","16:49:32","longTask","1472.5","1537.5","65","self","-1","-1","-1"
"14","http://localhost:8080/home/","2024-12-11","16:49:45","LCP","991.1999999992549","1010","18.800000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"14","http://localhost:8080/home/","2024-12-11","16:49:45","longTask","1478.699999999255","1543.699999999255","65","self","-1","-1","-1"
"15","http://localhost:8080/home/","2024-12-11","16:49:57","LCP","1020.6999999992549","1034.3999999985099","13.699999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"15","http://localhost:8080/home/","2024-12-11","16:49:57","longTask","1471.800000000745","1536.800000000745","65","self","-1","-1","-1"
"16","http://localhost:8080/home/","2024-12-11","16:50:10","LCP","1012.3999999985099","1026.800000000745","14.400000002235174","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"16","http://localhost:8080/home/","2024-12-11","16:50:10","longTask","1472.0999999977648","1536.0999999977648","64","self","-1","-1","-1"
"17","http://localhost:8080/home/","2024-12-11","16:50:23","LCP","1006.8000000007451","1020.8000000007451","14","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"17","http://localhost:8080/home/","2024-12-11","16:50:23","longTask","1479.199999999255","1542.199999999255","63","self","-1","-1","-1"
"18","http://localhost:8080/home/","2024-12-11","16:50:35","LCP","1012.6000000014901","1027.3999999985099","14.799999997019768","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"18","http://localhost:8080/home/","2024-12-11","16:50:35","longTask","1471.800000000745","1534.800000000745","63","self","-1","-1","-1"
"19","http://localhost:8080/home/","2024-12-11","16:50:48","LCP","1020.6000000014901","1038","17.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"19","http://localhost:8080/home/","2024-12-11","16:50:48","longTask","1479.300000000745","1542.300000000745","63","self","-1","-1","-1"
"20","http://localhost:8080/home/","2024-12-11","16:51:01","LCP","999.7999999970198","1015","15.200000002980232","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"20","http://localhost:8080/home/","2024-12-11","16:51:01","longTask","1472","1537","65","self","-1","-1","-1"
"21","http://localhost:8080/home/","2024-12-11","16:51:13","LCP","998.8000000007451","1015.1000000014901","16.300000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"21","http://localhost:8080/home/","2024-12-11","16:51:13","longTask","1471.8999999985099","1538.8999999985099","67","self","-1","-1","-1"
"22","http://localhost:8080/home/","2024-12-11","16:51:26","LCP","1020.5999999977648","1037.0999999977648","16.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"22","http://localhost:8080/home/","2024-12-11","16:51:26","longTask","1472.699999999255","1536.699999999255","64","self","-1","-1","-1"
