idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/home/","2024-12-12","12:14:39","LCP","1190.8000000044703","1218.3999999985099","27.599999994039536","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"1","http://localhost:8080/home/","2024-12-12","12:14:39","longTask","441.6000000014901","554.6000000014901","113","unknown","-1","-1","-1"
"1","http://localhost:8080/home/","2024-12-12","12:14:39","longTask","1727.3000000044703","1937.3000000044703","210","self","-1","-1","-1"
"1","http://localhost:8080/home/","2024-12-12","12:14:39","longTask","6224.20000000298","6366.20000000298","142","self","-1","-1","-1"
"2","http://localhost:8080/home/","2024-12-12","12:14:53","LCP","1029.6000000014901","1051.2000000029802","21.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/home/","2024-12-12","12:14:53","longTask","331.70000000298023","437.70000000298023","106","unknown","-1","-1","-1"
"2","http://localhost:8080/home/","2024-12-12","12:14:53","longTask","1500.5","1670.5","170","self","-1","-1","-1"
"2","http://localhost:8080/home/","2024-12-12","12:14:53","longTask","5881","5989","108","self","-1","-1","-1"
"3","http://localhost:8080/home/","2024-12-12","12:15:06","LCP","1021.7000000029802","1037","15.299999997019768","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/home/","2024-12-12","12:15:06","longTask","313.5","403.5","90","unknown","-1","-1","-1"
"3","http://localhost:8080/home/","2024-12-12","12:15:06","longTask","1483.8000000044703","1657.8000000044703","174","self","-1","-1","-1"
"3","http://localhost:8080/home/","2024-12-12","12:15:06","longTask","5851.80000000447","5958.80000000447","107","self","-1","-1","-1"
"4","http://localhost:8080/home/","2024-12-12","12:15:19","LCP","1029.1000000014901","1044.1000000014901","15","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/home/","2024-12-12","12:15:19","longTask","314.8999999985099","402.8999999985099","88","unknown","-1","-1","-1"
"4","http://localhost:8080/home/","2024-12-12","12:15:19","longTask","1483.5","1646.5","163","self","-1","-1","-1"
"4","http://localhost:8080/home/","2024-12-12","12:15:19","longTask","5844.89999999851","5960.89999999851","116","self","-1","-1","-1"
"5","http://localhost:8080/home/","2024-12-12","12:15:32","LCP","1036.3000000044703","1051.7000000029802","15.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/home/","2024-12-12","12:15:32","longTask","315","405","90","unknown","-1","-1","-1"
"5","http://localhost:8080/home/","2024-12-12","12:15:32","longTask","1482.9000000059605","1644.9000000059605","162","self","-1","-1","-1"
"5","http://localhost:8080/home/","2024-12-12","12:15:32","longTask","5842","5950","108","self","-1","-1","-1"
"6","http://localhost:8080/home/","2024-12-12","12:15:45","LCP","1023.5","1043.6000000014901","20.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/home/","2024-12-12","12:15:45","longTask","315.3999999985099","406.3999999985099","91","unknown","-1","-1","-1"
"6","http://localhost:8080/home/","2024-12-12","12:15:45","longTask","1484","1656","172","self","-1","-1","-1"
