idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-9","17:36:25","6952","11977","6451.60000000149","1122.3999999985099","334.29999999701977","200","5645.89999999851","3","229",""
"2","http://localhost:8080/","2024-12-9","17:36:38","6881","11910","6383","1124.7000000029802","334.6000000014901","169","5619.60000000149","3","219",""
"3","http://localhost:8080/","2024-12-9","17:36:50","6916","11945","6417.79999999702","1151.1999999955297","326.5","171","5647.69999999553","3","221",""
"4","http://localhost:8080/","2024-12-9","17:37:03","6888","11914","6398.5","1098.5","327.70000000298023","205","5618.60000000149","3","232",""
"5","http://localhost:8080/","2024-12-9","17:37:15","6893","11920","6395.30000000447","1137","326.6000000014901","176","5635.4000000059605","3","226",""
"6","http://localhost:8080/","2024-12-9","17:37:28","6874","11903","6376.5","1134.8999999985099","334.8999999985099","172","5617.60000000149","3","222",""
"7","http://localhost:8080/","2024-12-9","17:37:40","6896","11923","6400.20000000298","1116.8000000044703","327.5","195","5635.5","3","225",""
"8","http://localhost:8080/","2024-12-9","17:37:53","6900","11924","6402.79999999702","1136.1999999955297","327.8999999985099","171","5644.29999999702","3","221",""
"9","http://localhost:8080/","2024-12-9","17:38:05","6875","11904","6387.80000000447","1121.2000000029802","333.6000000014901","179","5620.80000000447","3","229",""
"10","http://localhost:8080/","2024-12-9","17:38:18","6896","11925","6402.79999999702","1111.1999999955297","327.29999999701977","175","5632","3","225",""
"11","http://localhost:8080/","2024-12-9","17:38:30","6923","11949","6432.19999999553","1157.1999999955297","327.09999999403954","173","5663.69999999553","3","223",""
"12","http://localhost:8080/","2024-12-9","17:38:43","6876","11905","6375.5","1125.5","334","176","5613.30000000447","3","226",""
"13","http://localhost:8080/","2024-12-9","17:38:55","6894","11920","6393.39999999851","1110.1000000014901","326.8999999985099","206","5627.60000000149","3","233",""
"14","http://localhost:8080/","2024-12-9","17:39:08","6889","11912","6391.5999999940395","1124.8999999985099","333.3999999985099","174","5627.0999999940395","3","224",""
"15","http://localhost:8080/","2024-12-9","17:39:20","6904","11932","6410","1126.7000000029802","335.1000000014901","176","5640.5","3","226",""
"16","http://localhost:8080/","2024-12-9","17:39:33","6880","11902","6391","1124.3999999985099","328.09999999403954","171","5615.5","3","221",""
"17","http://localhost:8080/","2024-12-9","17:39:45","6895","11921","6402.20000000298","1127.2000000029802","327.20000000298023","177","5631.70000000298","3","227",""
"18","http://localhost:8080/","2024-12-9","17:39:58","6896","11923","6403.70000000298","1137.1000000014901","327.5","171","5628.5","3","221",""
"19","http://localhost:8080/","2024-12-9","17:40:10","6874","11901","6352.5999999940395","1135.8999999985099","327.59999999403954","174","5624","3","224",""
"20","http://localhost:8080/","2024-12-9","17:40:23","6874","11903","6373.29999999702","1123.2999999970198","327.6000000014901","174","5609.19999999553","3","224",""
"21","http://localhost:8080/","2024-12-9","17:40:35","6872","11898","6383.80000000447","1117.2000000029802","327.80000000447035","180","5614.30000000447","3","230",""
"22","http://localhost:8080/","2024-12-9","17:40:48","6895","11919","6405.79999999702","1139.0999999940395","326.69999999552965","171","5635","3","221",""
"23","http://localhost:8080/","2024-12-9","17:41:00","6902","11932","6402.30000000447","1127.3000000044703","327.3999999985099","176","5640.70000000298","3","226",""
"24","http://localhost:8080/","2024-12-9","17:41:13","6873","11895","6378","1111.3999999985099","327.3999999985099","172","5606.10000000149","3","222",""
"25","http://localhost:8080/","2024-12-9","17:41:26","6963","11989","6470.80000000447","1162.5","340.6000000014901","173","5687.30000000447","3","223",""
"26","http://localhost:8080/","2024-12-9","17:41:38","6962","11991","6466.20000000298","1182.9000000059605","341.70000000298023","169","5684","3","219",""
"27","http://localhost:8080/","2024-12-9","17:41:51","6938","11966","6445.70000000298","1154","342.1000000014901","170","5667.20000000298","3","220",""
"28","http://localhost:8080/","2024-12-9","17:42:03","6943","11966","6441.39999999851","1183.1000000014901","341.8999999985099","170","5679.89999999851","3","220",""
"29","http://localhost:8080/","2024-12-9","17:42:16","6946","11971","6455.20000000298","1155.2000000029802","333.5","175","5684.5","3","225",""
"30","http://localhost:8080/","2024-12-9","17:42:28","6932","11960","6444.89999999851","1153.2000000029802","343.1000000014901","169","5656.20000000298","3","219",""
"31","http://localhost:8080/","2024-12-9","17:42:41","6948","11973","6456.10000000149","1147.8000000044703","340.90000000596046","173","5674.70000000298","3","223",""
"32","http://localhost:8080/","2024-12-9","17:42:53","6947","11974","6444","1119.0999999940395","334.8999999985099","205","5680.39999999851","3","234",""
"33","http://localhost:8080/","2024-12-9","17:43:06","6925","11950","6441.5","1149.6999999955297","341.79999999701977","170","5656.79999999702","3","220",""
"34","http://localhost:8080/","2024-12-9","17:43:19","6926","11948","6429.60000000149","1146.2000000029802","342.20000000298023","170","5659.70000000298","3","220",""
"35","http://localhost:8080/","2024-12-9","17:43:31","6940","11963","6443.10000000149","1134.7999999970198","343.19999999552965","172","5674.29999999702","3","222",""
"36","http://localhost:8080/","2024-12-9","17:43:44","6941","11966","6444.60000000149","1152.8999999985099","341.3999999985099","165","5669.70000000298","3","215",""
"37","http://localhost:8080/","2024-12-9","17:43:56","6939","11965","6440","1144.1999999955297","340.8999999985099","171","5666.69999999553","3","221",""
"38","http://localhost:8080/","2024-12-9","17:44:09","6913","11937","6422.70000000298","1139.3999999985099","340.80000000447035","164","5648.70000000298","3","214",""
"39","http://localhost:8080/","2024-12-9","17:44:21","6912","11939","6427.5","1144.2000000029802","341.90000000596046","173","5640","3","223",""
"40","http://localhost:8080/","2024-12-9","17:44:34","6908","11938","6414.10000000149","1147.5","341","165","5640.10000000149","3","215",""
"41","http://localhost:8080/","2024-12-9","17:44:46","6933","11957","6439.79999999702","1148.1999999955297","342.79999999701977","173","5666.5999999940395","3","223",""
