idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-10","18:05:50","7053","12078","2042.3999999985099","1492.5","648.7999999970198","160","6220.10000000149","4","180",""
"2","http://localhost:8080/","2024-12-10","18:06:03","6502","11531","1299.1000000014901","1199.1000000014901","354.70000000298023","151","5667.9000000059605","4","174",""
"3","http://localhost:8080/","2024-12-10","18:06:15","6524","11549","1301.8999999985099","1201.8000000044703","356.1000000014901","197","5688.30000000447","3","247",""
"4","http://localhost:8080/","2024-12-10","18:06:27","6726","11753","1787.4000000059605","1204.1000000014901","362.5","148","5890.60000000149","4","175",""
"5","http://localhost:8080/","2024-12-10","18:06:39","6495","11523","1272.7000000029802","1189.3999999985099","355.8999999985099","147","5662.60000000149","4","174",""
"6","http://localhost:8080/","2024-12-10","18:06:51","6723","11749","1775.1000000014901","1208.5","355.69999999552965","147","5881.89999999851","4","176",""
"7","http://localhost:8080/","2024-12-10","18:07:04","6703","11733","1777.3000000044703","1193.9000000059605","356.40000000596046","195","5874.60000000149","3","245",""
"8","http://localhost:8080/","2024-12-10","18:07:16","6510","11538","1294.8999999985099","1203.2999999970198","356.1000000014901","192","5673.5","3","242",""
"9","http://localhost:8080/","2024-12-10","18:07:28","6496","11524","1278.1999999955297","1186.6000000014901","356.3999999985099","192","5659.10000000149","3","242",""
"10","http://localhost:8080/","2024-12-10","18:07:40","6511","11537","1277.4000000059605","1194","356.6000000014901","148","5673.80000000447","4","175",""
"11","http://localhost:8080/","2024-12-10","18:07:52","6523","11552","1290.8999999985099","1199.1999999955297","363","148","5685.5","4","176",""
"12","http://localhost:8080/","2024-12-10","18:08:05","6716","11745","1774.3999999985099","1207.6000000014901","355.1000000014901","150","5885.10000000149","4","176",""
"13","http://localhost:8080/","2024-12-10","18:08:17","6497","11526","1291.3000000044703","1199.7000000029802","355.40000000596046","152","5667.20000000298","4","175",""
"14","http://localhost:8080/","2024-12-10","18:08:29","6509","11539","1307.1999999955297","1207.1999999955297","356.3999999985099","193","5674.69999999553","3","243",""
"15","http://localhost:8080/","2024-12-10","18:08:41","6510","11538","1291.6000000014901","1200","362.6000000014901","151","5676.89999999851","4","176",""
