idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/home/","2024-12-11","16:47:00","7059","12072","1018.7999999970198","352.19999999925494","217.79999999701977","15","1536.2999999970198","1","65",""
"2","http://localhost:8080/home/","2024-12-11","16:47:13","7060","12068","1027.300000000745","343.8999999985099","219","15","1537.699999999255","1","65",""
"3","http://localhost:8080/home/","2024-12-11","16:47:25","7080","12091","1029.5999999977648","354.5999999977648","225.5","15","1543.800000000745","1","65",""
"4","http://localhost:8080/home/","2024-12-11","16:47:38","7063","12073","1036.4000000022352","353","225.5","15","1545.199999999255","1","65",""
"5","http://localhost:8080/home/","2024-12-11","16:47:51","7052","12064","1038.800000000745","355.5","225.40000000223517","15","1537.800000000745","1","65",""
"6","http://localhost:8080/home/","2024-12-11","16:48:03","7074","12083","1037.3999999985099","354","225.80000000074506","15","1538.199999999255","1","65",""
"7","http://localhost:8080/home/","2024-12-11","16:48:16","7065","12076","1028.8999999985099","353.8999999985099","225.39999999850988","14","1537.2999999970198","1","64",""
"8","http://localhost:8080/home/","2024-12-11","16:48:29","7087","12096","1037.199999999255","353.8999999985099","225.29999999701977","15","1537.7999999970198","1","65",""
"9","http://localhost:8080/home/","2024-12-11","16:48:41","7072","12082","1034.800000000745","351.5","225.39999999850988","14","1543","1","64",""
"10","http://localhost:8080/home/","2024-12-11","16:48:54","7052","12062","1032.1000000014901","357.1000000014901","225.40000000223517","14","1536.6000000014901","1","64",""
"11","http://localhost:8080/home/","2024-12-11","16:49:07","7057","12069","1010.6999999992549","344","219.10000000149012","13","1528","1","63",""
"12","http://localhost:8080/home/","2024-12-11","16:49:19","7066","12075","1034","359","226.19999999925494","14","1543","1","64",""
"13","http://localhost:8080/home/","2024-12-11","16:49:32","7064","12076","1020.8000000007451","354","225","15","1537.5","1","65",""
"14","http://localhost:8080/home/","2024-12-11","16:49:45","7088","12098","1010","360","225.5","15","1543.699999999255","1","65",""
"15","http://localhost:8080/home/","2024-12-11","16:49:57","7072","12082","1034.3999999985099","351.1000000014901","226.19999999925494","15","1536.800000000745","1","65",""
"16","http://localhost:8080/home/","2024-12-11","16:50:10","7051","12061","1026.800000000745","351.69999999925494","219","14","1536.0999999977648","1","64",""
"17","http://localhost:8080/home/","2024-12-11","16:50:23","7065","12077","1020.8000000007451","354.19999999925494","225.40000000223517","13","1542.199999999255","1","63",""
"18","http://localhost:8080/home/","2024-12-11","16:50:35","7057","12065","1027.3999999985099","352.3999999985099","219.10000000149012","13","1534.800000000745","1","63",""
"19","http://localhost:8080/home/","2024-12-11","16:50:48","7072","12083","1038","354.69999999925494","225.60000000149012","13","1542.300000000745","1","63",""
"20","http://localhost:8080/home/","2024-12-11","16:51:01","7067","12075","1015","348.29999999701977","219.09999999776483","15","1537","1","65",""
"21","http://localhost:8080/home/","2024-12-11","16:51:13","7066","12077","1015.1000000014901","348.5","218.19999999925494","17","1538.8999999985099","1","67",""
"22","http://localhost:8080/home/","2024-12-11","16:51:26","7065","12075","1037.0999999977648","353.69999999925494","225.30000000074506","14","1536.699999999255","1","64",""
"23","http://localhost:8080/home/","2024-12-11","16:51:39","7057","12068","1016.0999999977648","357.69999999925494","225.59999999776483","16","1538.199999999255","1","66",""
"24","http://localhost:8080/home/","2024-12-11","16:51:51","7070","12080","1025.800000000745","350.80000000074506","225.80000000074506","13","1543.5","1","63",""
"25","http://localhost:8080/home/","2024-12-11","16:52:04","7102","12113","1029.5","354.5","226.09999999776483","13","1549.800000000745","1","63",""
"26","http://localhost:8080/home/","2024-12-11","16:52:17","7110","12118","1022.7000000029802","356.1000000014901","226.90000000223517","11","1542.5","1","61",""
"27","http://localhost:8080/home/","2024-12-11","16:52:29","7103","12115","1018.6000000014901","351.9000000022352","227.40000000223517","12","1537.6000000014901","1","62",""
"28","http://localhost:8080/home/","2024-12-11","16:52:42","7122","12132","1032.800000000745","357.80000000074506","225.69999999925494","12","1542.699999999255","1","62",""
"29","http://localhost:8080/home/","2024-12-11","16:52:55","7114","12125","1042","358.70000000298023","225.90000000223517","12","1541.300000000745","1","62",""
"30","http://localhost:8080/home/","2024-12-11","16:53:08","7079","12088","1038.699999999255","355.29999999701977","224.19999999925494","15","1543.7999999970198","1","65",""
"31","http://localhost:8080/home/","2024-12-11","16:53:20","7112","12123","1013.3999999985099","363.3999999985099","226","15","1544.5","1","65",""
"32","http://localhost:8080/home/","2024-12-11","16:53:33","7103","12112","1019.7999999970198","353.0999999977648","225.19999999925494","15","1545.2999999970198","1","65",""
"33","http://localhost:8080/home/","2024-12-11","16:53:46","7115","12133","1035.3999999985099","360.3999999985099","226.59999999776483","13","1541.8999999985099","1","63",""
"34","http://localhost:8080/home/","2024-12-11","16:53:59","7114","12129","1034.6000000014901","351.30000000074506","226.80000000074506","13","1537.9000000022352","1","63",""
"35","http://localhost:8080/home/","2024-12-11","16:54:11","7093","12107","1019.8000000007451","353.1000000014901","226","12","1542.7000000029802","1","62",""
"36","http://localhost:8080/home/","2024-12-11","16:54:24","7099","12108","1022.0999999977648","355.3999999985099","226.29999999701977","14","1538","1","64",""
"37","http://localhost:8080/home/","2024-12-11","16:54:37","7102","12113","1037.5","354.1000000014901","225.80000000074506","13","1557.1000000014901","1","63",""
"38","http://localhost:8080/home/","2024-12-11","16:54:49","7104","12113","1035.1000000014901","360.1000000014901","226.80000000074506","13","1543.300000000745","1","63",""
"39","http://localhost:8080/home/","2024-12-11","16:55:02","7137","12148","1041.800000000745","358.4000000022352","226","14","1558.6000000014901","1","64",""
"40","http://localhost:8080/home/","2024-12-11","16:55:15","7098","12106","1037.4000000022352","354.1000000014901","225.90000000223517","13","1549.199999999255","1","63",""
"41","http://localhost:8080/home/","2024-12-11","16:55:28","7117","12129","1021.6999999992549","355","225.89999999850988","13","1536.8999999985099","1","63",""
"42","http://localhost:8080/home/","2024-12-11","16:55:40","7092","12100","1028.6000000014901","353.6000000014901","227.10000000149012","12","1534.300000000745","1","62",""
"43","http://localhost:8080/home/","2024-12-11","16:55:53","7107","12118","1021.6000000014901","354.8999999985099","225.89999999850988","13","1542.199999999255","1","63",""
"44","http://localhost:8080/home/","2024-12-11","16:56:06","7087","12097","1026.699999999255","351.80000000074506","226.80000000074506","11","1534.300000000745","1","61",""
"45","http://localhost:8080/home/","2024-12-11","16:56:18","7103","12113","1033.5999999977648","358.5999999977648","226.69999999925494","11","1542.800000000745","1","61",""
"46","http://localhost:8080/home/","2024-12-11","16:56:31","7096","12103","1039.199999999255","355.80000000074506","226.80000000074506","13","1536.800000000745","1","63",""
"47","http://localhost:8080/home/","2024-12-11","16:56:44","7131","12144","1030.800000000745","355.80000000074506","226.70000000298023","11","1548.4000000022352","1","61",""
"48","http://localhost:8080/home/","2024-12-11","16:56:56","7086","12095","1017.6000000014901","350.8999999985099","226.39999999850988","12","1536.199999999255","1","62",""
