idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/home/","2024-12-12","12:14:39","7883","12917","1218.3999999985099","585","326.70000000298023","252","6366.20000000298","3","210",""
"2","http://localhost:8080/home/","2024-12-12","12:14:53","7490","12517","1051.2000000029802","463.70000000298023","227","178","5989","3","170",""
"3","http://localhost:8080/home/","2024-12-12","12:15:06","7459","12482","1037","428.6000000014901","219.20000000298023","181","5958.80000000447","3","174",""
"4","http://localhost:8080/home/","2024-12-12","12:15:19","7454","12481","1044.1000000014901","427.3999999985099","219.89999999850988","179","5960.89999999851","3","163",""
"5","http://localhost:8080/home/","2024-12-12","12:15:32","7452","12474","1051.7000000029802","426.70000000298023","219.40000000596046","170","5950","3","162",""
"6","http://localhost:8080/home/","2024-12-12","12:15:45","7466","12492","1043.6000000014901","426.8999999985099","219.10000000149012","179","5971.29999999702","3","172",""
"7","http://localhost:8080/home/","2024-12-12","12:15:58","7461","12485","1062.8999999985099","437.8999999985099","226.5","172","5968.29999999702","3","164",""
"8","http://localhost:8080/home/","2024-12-12","12:16:11","7474","12499","1050.7000000029802","434.1000000014901","226.60000000149012","177","5983.4000000059605","3","168",""
"9","http://localhost:8080/home/","2024-12-12","12:16:24","7468","12490","1044.7000000029802","428.1000000014901","219.70000000298023","175","5967.60000000149","3","167",""
"10","http://localhost:8080/home/","2024-12-12","12:16:37","7467","12494","1028.8000000044703","420.3999999985099","219.10000000149012","170","5952.20000000298","3","164",""
"11","http://localhost:8080/home/","2024-12-12","12:16:51","7482","12503","1040.8999999985099","424.29999999701977","219.29999999701977","175","5955.5","3","169",""
"12","http://localhost:8080/home/","2024-12-12","12:17:04","7446","12472","1041.5","424.79999999701977","219.29999999701977","175","5945.19999999553","3","166",""
"13","http://localhost:8080/home/","2024-12-12","12:17:17","7452","12474","1047.7000000029802","422.70000000298023","219.30000000447035","173","5960.30000000447","3","165",""
"14","http://localhost:8080/home/","2024-12-12","12:17:30","7458","12482","1036","427.70000000298023","219.20000000298023","171","5959.70000000298","3","166",""
"15","http://localhost:8080/home/","2024-12-12","12:17:43","7467","12487","1027.8999999985099","427.8999999985099","219.29999999701977","178","5967.69999999553","3","169",""
"16","http://localhost:8080/home/","2024-12-12","12:17:56","7453","12480","1044.1999999955297","419.19999999552965","219","176","5959.69999999553","3","168",""
"17","http://localhost:8080/home/","2024-12-12","12:18:09","7469","12489","1048.7000000029802","440.30000000447035","226.80000000447035","172","5965.60000000149","3","164",""
"18","http://localhost:8080/home/","2024-12-12","12:18:22","7488","12514","1059.1000000014901","434.1000000014901","226.5","170","5957.39999999851","3","163",""
"19","http://localhost:8080/home/","2024-12-12","12:18:35","7445","12470","1055.2999999970198","430.3999999985099","226.29999999701977","170","5960","3","161",""
"20","http://localhost:8080/home/","2024-12-12","12:18:48","7446","12475","1044.5","419.3999999985099","219.19999999552965","167","5952.19999999553","3","157",""
"21","http://localhost:8080/home/","2024-12-12","12:19:01","7481","12503","1055.9000000059605","422.6000000014901","219.70000000298023","179","5982.5","3","167",""
"22","http://localhost:8080/home/","2024-12-12","12:19:15","7480","12503","1044.1000000014901","427.5","219.20000000298023","169","5971.80000000447","3","160",""
"23","http://localhost:8080/home/","2024-12-12","12:19:28","7480","12503","1040.2000000029802","423.5","219.60000000149012","170","5959.39999999851","3","163",""
