idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-14","11:47:08","LCP","61.400000005960464","118.6000000089407","57.20000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2024-12-14","11:47:14","LCP","49","98.90000000596046","49.900000005960464","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2024-12-14","11:47:20","LCP","39.29999999701977","89.79999999701977","50.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2024-12-14","11:47:25","LCP","48.5","92.20000000298023","43.70000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2024-12-14","11:47:31","LCP","39.29999999701977","95","55.70000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2024-12-14","11:47:37","LCP","46.5","91.70000000298023","45.20000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2024-12-14","11:47:43","LCP","42.099999994039536","95.79999999701977","53.70000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2024-12-14","11:47:48","LCP","54.6000000089407","104","49.3999999910593","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2024-12-14","11:47:54","LCP","38.80000001192093","96.5","57.69999998807907","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2024-12-14","11:48:00","LCP","41.5","97.20000000298023","55.70000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2024-12-14","11:48:06","LCP","47.5","91","43.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2024-12-14","11:48:11","LCP","57.8999999910593","104.20000000298023","46.30000001192093","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2024-12-14","11:48:17","LCP","37.70000000298023","93.5","55.79999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2024-12-14","11:48:23","LCP","46.70000000298023","89.79999999701977","43.099999994039536","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2024-12-14","11:48:28","LCP","40.900000005960464","95.90000000596046","55","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2024-12-14","11:48:34","LCP","38.79999999701977","95.70000000298023","56.900000005960464","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2024-12-14","11:48:40","LCP","40.20000000298023","98.29999999701977","58.099999994039536","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2024-12-14","11:48:46","LCP","42.6000000089407","99.6000000089407","57","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"19","http://localhost:8080/","2024-12-14","11:48:51","LCP","45.900000005960464","105.40000000596046","59.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"20","http://localhost:8080/","2024-12-14","11:48:57","LCP","37.6000000089407","93.6000000089407","56","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"21","http://localhost:8080/","2024-12-14","11:49:03","LCP","52.5","110.09999999403954","57.599999994039536","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2024-12-14","11:49:09","LCP","39.599999994039536","98.3999999910593","58.79999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
