idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-15","21:17:49","420","514","508.7999999988824","508.7999999988824","408.69999999925494","0","508.7999999988824","0","-1","484.59999999962747","489.8999999985099","545.8999999985099",""
"2","http://localhost:8080/","2024-12-15","21:17:55","42","149","119.69999999925494","119.69999999925494","34.69999999925494","0","119.69999999925494","0","-1","87.59999999962747","90.69999999925494","142.09999999962747",""
"3","http://localhost:8080/","2024-12-15","21:18:01","34","136","112.80000000074506","112.80000000074506","28.5","0","112.80000000074506","0","-1","76.70000000111759","79.70000000111759","131",""
"4","http://localhost:8080/","2024-12-15","21:18:06","33","129","103.69999999925494","103.69999999925494","27.5","0","103.69999999925494","0","-1","75.89999999850988","80.89999999850988","134.5",""
"5","http://localhost:8080/","2024-12-15","21:18:12","37","137","111.5","111.5","31.899999998509884","0","111.5","0","-1","80.29999999888241","85.19999999925494","136.09999999962747",""
"6","http://localhost:8080/","2024-12-15","21:18:18","32","105","100.90000000037253","100.90000000037253","26.5","0","100.90000000037253","0","-1","70.69999999925494","75.09999999962747","130.90000000037253",""
"7","http://localhost:8080/","2024-12-15","21:18:23","34","106","102.89999999850988","102.89999999850988","26.799999998882413","0","102.89999999850988","0","-1","75.09999999962747","79.39999999850988","132.89999999850988",""
"8","http://localhost:8080/","2024-12-15","21:18:29","29","128","100.90000000037253","100.90000000037253","24.300000000745058","0","100.90000000037253","0","-1","66.90000000037253","70.30000000074506","120.80000000074506",""
"9","http://localhost:8080/","2024-12-15","21:18:35","35","126","109.09999999962747","109.09999999962747","30.09999999962747","0","109.09999999962747","0","-1","75.39999999850988","78.39999999850988","131",""
"10","http://localhost:8080/","2024-12-15","21:18:40","39","136","110.59999999962747","110.59999999962747","34","0","110.59999999962747","0","-1","77.5","80.90000000037253","134.19999999925494",""
"11","http://localhost:8080/","2024-12-15","21:18:46","30","136","98.90000000037253","98.90000000037253","22.700000001117587","0","98.90000000037253","0","-1","67.70000000111759","70.90000000037253","128.80000000074506",""
"12","http://localhost:8080/","2024-12-15","21:18:52","27","126","93.19999999925494","93.19999999925494","21.59999999962747","0","93.19999999925494","0","-1","64.69999999925494","68.5","124.5",""
"13","http://localhost:8080/","2024-12-15","21:18:57","27","98","95.30000000074506","95.30000000074506","22.200000001117587","0","95.30000000074506","0","-1","67.09999999962747","71.20000000111759","124.5",""
"14","http://localhost:8080/","2024-12-15","21:19:03","25","88","93.90000000037253","93.90000000037253","20.5","0","93.90000000037253","0","-1","63.59999999962747","66.69999999925494","121.69999999925494",""
"15","http://localhost:8080/","2024-12-15","21:19:09","26","117","101.09999999962747","101.09999999962747","21","0","101.09999999962747","0","-1","63.79999999888241","67.09999999962747","123.09999999962747",""
"16","http://localhost:8080/","2024-12-15","21:19:14","26","117","99","99","20.700000001117587","0","99","0","-1","62.70000000111759","66.30000000074506","122.60000000149012",""
"17","http://localhost:8080/","2024-12-15","21:19:20","27","123","93.19999999925494","93.19999999925494","21.699999999254942","0","93.19999999925494","0","-1","63.69999999925494","67.5","116.79999999888241",""
"18","http://localhost:8080/","2024-12-15","21:19:25","28","124","95.40000000037253","95.40000000037253","22.59999999962747","0","95.40000000037253","0","-1","70.40000000037253","74.40000000037253","128.40000000037253",""
"19","http://localhost:8080/","2024-12-15","21:19:31","30","120","94.70000000111759","94.70000000111759","25","0","94.70000000111759","0","-1","67.09999999962747","71.5","125.90000000037253",""
"20","http://localhost:8080/","2024-12-15","21:19:37","27","120","92.10000000149012","92.10000000149012","21.600000001490116","0","92.10000000149012","0","-1","66.80000000074506","71.20000000111759","122.10000000149012",""
"21","http://localhost:8080/","2024-12-15","21:19:42","26","114","92.70000000111759","92.70000000111759","21","0","92.70000000111759","0","-1","63.30000000074506","66.80000000074506","121.60000000149012",""
"22","http://localhost:8080/","2024-12-15","21:19:48","25","122","92.40000000037253","92.40000000037253","19.90000000037253","0","92.40000000037253","0","-1","63.40000000037253","67.5","116.60000000149012",""
"23","http://localhost:8080/","2024-12-15","21:19:54","24","112","94.59999999962747","94.59999999962747","19","0","94.59999999962747","0","-1","59.40000000037253","62.59999999962747","118",""
"24","http://localhost:8080/","2024-12-15","21:19:59","24","120","100.5","100.5","19.5","0","100.5","0","-1","66.79999999888241","71.90000000037253","124.79999999888241",""
"25","http://localhost:8080/","2024-12-15","21:20:05","25","110","95.69999999925494","95.69999999925494","19.299999998882413","0","95.69999999925494","0","-1","60.09999999962747","62.90000000037253","116.19999999925494",""
"26","http://localhost:8080/","2024-12-15","21:20:10","29","127","97.19999999925494","97.19999999925494","21.799999998882413","0","97.19999999925494","0","-1","64.19999999925494","68","119.79999999888241",""
"27","http://localhost:8080/","2024-12-15","21:20:16","25","119","91.90000000037253","91.90000000037253","19.90000000037253","0","91.90000000037253","0","-1","61.5","65.19999999925494","123.19999999925494",""
"28","http://localhost:8080/","2024-12-15","21:20:22","26","126","101.59999999962747","101.59999999962747","21.5","0","101.59999999962747","0","-1","64","67.20000000111759","121.40000000037253",""
"29","http://localhost:8080/","2024-12-15","21:20:27","29","118","97","97","19.699999999254942","0","97","0","-1","62.399999998509884","65.69999999925494","121.29999999888241",""
"30","http://localhost:8080/","2024-12-15","21:20:33","27","120","94.39999999850988","94.39999999850988","20.799999998882413","0","94.39999999850988","0","-1","63.79999999888241","67.5","118.89999999850988",""
"31","http://localhost:8080/","2024-12-15","21:20:39","25","113","95.40000000037253","95.40000000037253","19.800000000745058","0","95.40000000037253","0","-1","61.20000000111759","64.20000000111759","119",""
"32","http://localhost:8080/","2024-12-15","21:20:44","26","115","92.40000000037253","92.40000000037253","21.40000000037253","0","92.40000000037253","0","-1","63.30000000074506","66.59999999962747","118.70000000111759",""
"33","http://localhost:8080/","2024-12-15","21:20:50","29","131","96.59999999962747","96.59999999962747","24.199999999254942","0","96.59999999962747","0","-1","70.90000000037253","74.5","125.59999999962747",""
"34","http://localhost:8080/","2024-12-15","21:20:56","26","116","95.20000000111759","95.20000000111759","20.5","0","95.20000000111759","0","-1","61.80000000074506","65.30000000074506","120.40000000037253",""
"35","http://localhost:8080/","2024-12-15","21:21:01","25","114","92","92","19.699999999254942","0","92","0","-1","61","65.79999999888241","122.29999999888241",""
"36","http://localhost:8080/","2024-12-15","21:21:07","25","116","93","93","19.199999999254942","0","93","0","-1","62.19999999925494","67.5","121.89999999850988",""
"37","http://localhost:8080/","2024-12-15","21:21:13","40","134","108.79999999888241","108.79999999888241","34.29999999888241","0","108.79999999888241","0","-1","77.79999999888241","81.09999999962747","136.19999999925494",""
"38","http://localhost:8080/","2024-12-15","21:21:18","23","110","92.69999999925494","92.69999999925494","18.699999999254942","0","92.69999999925494","0","-1","57.40000000037253","60.90000000037253","116.69999999925494",""
