idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-16","06:33:26","598","4282","1582.199999999255","1582.199999999255","618.8999999985099","194","4269.199999999255","3","186","1872.199999999255","2051","4267.60000000149",""
"2","http://localhost:8080/","2024-12-16","06:33:36","329","3957","1251.8999999985099","1251.8999999985099","356.1000000014901","176","3943.10000000149","3","171","1574.6000000014901","1748.800000000745","3943.300000000745",""
"3","http://localhost:8080/","2024-12-16","06:33:46","330","3973","1262.1000000014901","1262.1000000014901","355.9000000022352","180","3959.60000000149","3","176","1589.199999999255","1763.9000000022352","3960.400000002235",""
"4","http://localhost:8080/","2024-12-16","06:33:55","329","3958","1241.6000000014901","1241.6000000014901","355.30000000074506","181","3947.300000000745","3","176","1567.699999999255","1740.300000000745","3947.60000000149",""
"5","http://localhost:8080/","2024-12-16","06:34:05","328","3952","1249.300000000745","1249.300000000745","356.30000000074506","179","3938.699999999255","3","175","1574.699999999255","1749.0999999977648","3939.099999997765",""
"6","http://localhost:8080/","2024-12-16","06:34:14","330","3965","1247.9000000022352","1247.9000000022352","356.30000000074506","176","3951.2000000029802","3","172","1574.4000000022352","1747.7000000029802","3951.400000002235",""
"7","http://localhost:8080/","2024-12-16","06:34:24","336","3951","1242.699999999255","1242.699999999255","363.5","175","3936.800000000745","3","170","1567.3999999985099","1739.5","3936.89999999851",""
"8","http://localhost:8080/","2024-12-16","06:34:33","330","3968","1252.699999999255","1252.699999999255","357","173","3954.199999999255","3","170","1575.4000000022352","1749.4000000022352","3952.900000002235",""
"9","http://localhost:8080/","2024-12-16","06:34:43","337","3951","1242.3999999985099","1242.3999999985099","363.3999999985099","177","3937.099999997765","3","173","1565.699999999255","1741.300000000745","3937.199999999255",""
"10","http://localhost:8080/","2024-12-16","06:34:52","331","3968","1249.5","1249.5","355.30000000074506","176","3952.7000000029802","3","175","1573.300000000745","1748","3953.10000000149",""
"11","http://localhost:8080/","2024-12-16","06:35:02","331","3965","1256.7999999970198","1256.7999999970198","356.0999999977648","174","3950.599999997765","3","170","1579","1754.699999999255","3950",""
"12","http://localhost:8080/","2024-12-16","06:35:11","330","3970","1249.699999999255","1249.699999999255","356.69999999925494","183","3956.800000000745","3","181","1573.199999999255","1751","3955.39999999851",""
"13","http://localhost:8080/","2024-12-16","06:35:21","331","3954","1250.300000000745","1250.300000000745","355.1000000014901","171","3941.7000000029802","3","169","1575.1000000014901","1748.7000000029802","3940.400000002235",""
"14","http://localhost:8080/","2024-12-16","06:35:30","330","3940","1243.9000000022352","1243.9000000022352","356.6000000014901","169","3926.400000002235","3","166","1568.1000000014901","1740.300000000745","3924.900000002235",""
"15","http://localhost:8080/","2024-12-16","06:35:39","329","3954","1235.6000000014901","1235.6000000014901","356.5","180","3940.699999999255","3","175","1565.199999999255","1743.1000000014901","3940.800000000745",""
"16","http://localhost:8080/","2024-12-16","06:35:49","330","3962","1258.5","1258.5","355.5","180","3949.60000000149","3","176","1575.1000000014901","1748.300000000745","3950.400000002235",""
"17","http://localhost:8080/","2024-12-16","06:35:58","331","3953","1239.699999999255","1239.699999999255","356.3999999985099","180","3938.39999999851","3","179","1566","1739.7999999970198","3939.2999999970198",""
"18","http://localhost:8080/","2024-12-16","06:36:08","330","3965","1252.4000000022352","1252.4000000022352","356.5","177","3949.60000000149","3","174","1568.1000000014901","1742","3950",""
"19","http://localhost:8080/","2024-12-16","06:36:17","330","3970","1241.5999999977648","1241.5999999977648","355.19999999925494","179","3956.39999999851","3","176","1569","1749.199999999255","3957.300000000745",""
