idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-16","17:03:00","324","5357","6119.19999999553","1135.8999999985099","324.8999999985099","43","5335.5","1","93","1351.3999999985099","1724.3999999985099","5350.29999999702",""
"2","http://localhost:8080/","2024-12-16","17:03:11","328","5315","6058.39999999851","1125.1000000014901","332.70000000298023","40","5295.89999999851","1","90","1330.3999999985099","1694.5","5309.60000000149",""
"3","http://localhost:8080/","2024-12-16","17:03:22","322","5298","6049.29999999702","1107.6000000014901","325.5","37","5279.19999999553","1","87","1317.1999999955297","1688","5292.10000000149",""
"4","http://localhost:8080/","2024-12-16","17:03:33","321","5291","6038.30000000447","1102.8999999985099","325.6000000014901","37","5272.70000000298","1","87","1308.8999999985099","1680.5","5285.60000000149",""
"5","http://localhost:8080/","2024-12-16","17:03:43","321","5302","6057.29999999702","1107.3999999985099","325.3999999985099","40","5283.19999999553","1","90","1315.5999999940395","1687.0999999940395","5296.39999999851",""
"6","http://localhost:8080/","2024-12-16","17:03:54","328","5307","6050.0999999940395","1125.0999999940395","332.69999999552965","39","5288.39999999851","1","89","1331","1694.1999999955297","5299.79999999702",""
"7","http://localhost:8080/","2024-12-16","17:04:05","327","5308","6059.89999999851","1118.3000000044703","333.20000000298023","35","5290.70000000298","1","85","1322.8000000044703","1694.7000000029802","5303.39999999851",""
"8","http://localhost:8080/","2024-12-16","17:04:16","327","5303","6054.5","1112.9000000059605","332.80000000447035","38","5285.5","1","88","1323.2000000029802","1687.1000000014901","5297.20000000298",""
"9","http://localhost:8080/","2024-12-16","17:04:27","320","5306","6056.39999999851","1106.3999999985099","325","38","5286.79999999702","1","88","1315.2999999970198","1688.0999999940395","5299.69999999553",""
"10","http://localhost:8080/","2024-12-16","17:04:38","327","5304","6061.4000000059605","1111.8000000044703","332.40000000596046","38","5285.4000000059605","1","88","1321.3000000044703","1688.6000000014901","5298.20000000298",""
"11","http://localhost:8080/","2024-12-16","17:04:48","327","5295","6047.20000000298","1105.5","332.3999999985099","36","5277","1","86","1315","1680.8999999985099","5289.20000000298",""
