idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-17","13:17:16","695","6125","1658","1658","712.4000000022352","198","6098.800000000745","2","248","1965","2185","6110.800000000745",""
"2","http://localhost:8080/","2024-12-17","13:17:28","330","5706","1245.4000000022352","1245.4000000022352","355.1000000014901","144","5692.5","3","179","1572.199999999255","1792.9000000022352","5692.5",""
"3","http://localhost:8080/","2024-12-17","13:17:39","329","5709","1253.199999999255","1253.199999999255","356.3999999985099","194","5685.79999999702","2","244","1575.5999999977648","1793.5","5696.39999999851",""
"4","http://localhost:8080/","2024-12-17","13:17:50","331","5705","1250.699999999255","1250.699999999255","357","188","5682.199999999255","2","238","1575","1792.1000000014901","5694",""
"5","http://localhost:8080/","2024-12-17","13:18:01","330","5718","1244.6000000014901","1244.6000000014901","355.9000000022352","186","5695.10000000149","2","236","1573","1793.300000000745","5705.400000002235",""
"6","http://localhost:8080/","2024-12-17","13:18:13","329","5699","1249.1000000014901","1249.1000000014901","356.30000000074506","150","5683.10000000149","3","186","1576","1792.199999999255","5683.5",""
"7","http://localhost:8080/","2024-12-17","13:18:24","330","5683","1247.6000000014901","1247.6000000014901","356","145","5666.300000000745","3","182","1567.800000000745","1784.1000000014901","5666.70000000298",""
"8","http://localhost:8080/","2024-12-17","13:18:35","330","5693","1235.3999999985099","1235.3999999985099","356.29999999701977","147","5679.099999997765","3","181","1558.8999999985099","1779.5999999977648","5679.39999999851",""
"9","http://localhost:8080/","2024-12-17","13:18:46","331","5700","1239.8999999985099","1239.8999999985099","355.19999999925494","185","5675.79999999702","2","235","1557.7999999970198","1779.5999999977648","5686.89999999851",""
"10","http://localhost:8080/","2024-12-17","13:18:57","330","5703","1244.300000000745","1244.300000000745","356.3999999985099","184","5680.099999997765","2","234","1575.3999999985099","1793.3999999985099","5691.39999999851",""
"11","http://localhost:8080/","2024-12-17","13:19:09","330","5695","1231.800000000745","1231.800000000745","356.19999999925494","141","5679.699999999255","3","177","1567.199999999255","1783.300000000745","5679.699999999255",""
"12","http://localhost:8080/","2024-12-17","13:19:20","329","5695","1244.800000000745","1244.800000000745","355.5999999977648","185","5672","2","235","1567.800000000745","1786.199999999255","5683.300000000745",""
