idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-15","22:14:45","LCP","1337","1403.699999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"1","http://localhost:8080/","2024-12-15","22:14:45","longTask","3668.5999999996275","3738.5999999996275","70","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-15","22:14:54","LCP","1120.0999999996275","1182.0999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2024-12-15","22:14:54","longTask","3426","3493","67","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-15","22:15:03","LCP","1112.5999999996275","1171.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2024-12-15","22:15:03","longTask","3422","3488","66","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-15","22:15:12","LCP","1112","1171.9000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2024-12-15","22:15:12","longTask","3420.5999999996275","3488.5999999996275","68","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-15","22:15:21","LCP","1119.3999999985099","1182.699999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2024-12-15","22:15:21","longTask","3420.7999999988824","3487.7999999988824","67","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-15","22:15:30","LCP","1112.199999999255","1175.0999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2024-12-15","22:15:30","longTask","3413.2999999988824","3481.2999999988824","68","self","-1","-1","-1"
"7","http://localhost:8080/","2024-12-15","22:15:39","LCP","1105.199999999255","1166.0999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2024-12-15","22:15:39","longTask","3413.7999999988824","3479.7999999988824","66","self","-1","-1","-1"
"8","http://localhost:8080/","2024-12-15","22:15:48","LCP","1125.5999999996275","1188.800000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2024-12-15","22:15:48","longTask","3434.699999999255","3500.699999999255","66","self","-1","-1","-1"
"9","http://localhost:8080/","2024-12-15","22:15:57","LCP","1117","1180.1000000014901","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2024-12-15","22:15:57","longTask","3427.300000000745","3493.300000000745","66","self","-1","-1","-1"
"10","http://localhost:8080/","2024-12-15","22:16:06","LCP","1125.5999999996275","1188.699999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
