idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-17","11:24:55","LCP","1344.300000000745","1412.9000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"1","http://localhost:8080/","2024-12-17","11:24:55","longTask","5412.5","5487.5","75","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-17","11:25:06","LCP","1112","1171.7999999988824","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2024-12-17","11:25:06","longTask","5172.5999999996275","5264.5999999996275","92","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-17","11:25:17","LCP","1119.9000000003725","1179.9000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2024-12-17","11:25:17","longTask","5182.700000001118","5275.700000001118","93","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-17","11:25:28","LCP","1127.199999999255","1192.4000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2024-12-17","11:25:28","longTask","5193.299999998882","5283.299999998882","90","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-17","11:25:39","LCP","1111.9000000003725","1172.9000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2024-12-17","11:25:39","longTask","5177.199999999255","5248.199999999255","71","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-17","11:25:50","LCP","1119.2999999988824","1182.7999999988824","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2024-12-17","11:25:50","longTask","5178.199999999255","5269.199999999255","91","self","-1","-1","-1"
"7","http://localhost:8080/","2024-12-17","11:26:00","LCP","1111.7999999988824","1175.0999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2024-12-17","11:26:00","longTask","5176.39999999851","5246.39999999851","70","self","-1","-1","-1"
"8","http://localhost:8080/","2024-12-17","11:26:11","LCP","1120.300000000745","1187.0999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2024-12-17","11:26:11","longTask","5184","5276","92","self","-1","-1","-1"
"9","http://localhost:8080/","2024-12-17","11:26:22","LCP","1112.699999999255","1169.199999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2024-12-17","11:26:22","longTask","5176.9000000003725","5267.9000000003725","91","self","-1","-1","-1"
"10","http://localhost:8080/","2024-12-17","11:26:33","LCP","1113.2999999988824","1174.0999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2024-12-17","11:26:33","longTask","5178","5269","91","self","-1","-1","-1"
"11","http://localhost:8080/","2024-12-17","11:26:44","LCP","1119.699999999255","1180.2999999988824","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2024-12-17","11:26:44","longTask","5187.299999998882","5257.299999998882","70","self","-1","-1","-1"
"12","http://localhost:8080/","2024-12-17","11:26:54","LCP","1113.1000000014901","1173.800000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2024-12-17","11:26:54","longTask","5178.5","5247.5","69","self","-1","-1","-1"
"13","http://localhost:8080/","2024-12-17","11:27:05","LCP","1128.3999999985099","1188","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2024-12-17","11:27:05","longTask","5192.199999999255","5286.199999999255","94","self","-1","-1","-1"
"14","http://localhost:8080/","2024-12-17","11:27:16","LCP","1104.5999999996275","1163.5999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2024-12-17","11:27:16","longTask","5161.299999998882","5231.299999998882","70","self","-1","-1","-1"
"15","http://localhost:8080/","2024-12-17","11:27:27","LCP","1106.4000000003725","1173.9000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2024-12-17","11:27:27","longTask","5178.4000000003725","5270.4000000003725","92","self","-1","-1","-1"
"16","http://localhost:8080/","2024-12-17","11:27:38","LCP","1112.800000000745","1167.9000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2024-12-17","11:27:38","longTask","5178.300000000745","5271.300000000745","93","self","-1","-1","-1"
"17","http://localhost:8080/","2024-12-17","11:27:48","LCP","1111.0999999996275","1171.5999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2024-12-17","11:27:48","longTask","5175.199999999255","5244.199999999255","69","self","-1","-1","-1"
"18","http://localhost:8080/","2024-12-17","11:27:59","LCP","1114.5999999996275","1174.699999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2024-12-17","11:27:59","longTask","5171","5266","95","self","-1","-1","-1"
"19","http://localhost:8080/","2024-12-17","11:28:10","LCP","1097.4000000003725","1157.300000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"19","http://localhost:8080/","2024-12-17","11:28:10","longTask","5165.5","5257.5","92","self","-1","-1","-1"
"20","http://localhost:8080/","2024-12-17","11:28:21","LCP","1104.2999999988824","1163.199999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"20","http://localhost:8080/","2024-12-17","11:28:21","longTask","5159.5999999996275","5250.5999999996275","91","self","-1","-1","-1"
"21","http://localhost:8080/","2024-12-17","11:28:31","LCP","1112.5999999996275","1171.9000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"21","http://localhost:8080/","2024-12-17","11:28:31","longTask","5193.9000000003725","5264.9000000003725","71","self","-1","-1","-1"
"22","http://localhost:8080/","2024-12-17","11:28:42","LCP","1112.199999999255","1173.0999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2024-12-17","11:28:42","longTask","5177.699999999255","5270.699999999255","93","self","-1","-1","-1"
"23","http://localhost:8080/","2024-12-17","11:28:53","LCP","1113","1174.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"23","http://localhost:8080/","2024-12-17","11:28:53","longTask","5178.699999999255","5269.699999999255","91","self","-1","-1","-1"
"24","http://localhost:8080/","2024-12-17","11:29:04","LCP","1114.1000000014901","1174.2000000011176","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"24","http://localhost:8080/","2024-12-17","11:29:04","longTask","5186.800000000745","5257.800000000745","71","self","-1","-1","-1"
"25","http://localhost:8080/","2024-12-17","11:29:15","LCP","1112.9000000003725","1175.4000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"25","http://localhost:8080/","2024-12-17","11:29:15","longTask","5179.9000000003725","5270.9000000003725","91","self","-1","-1","-1"
"26","http://localhost:8080/","2024-12-17","11:29:25","LCP","1106.5","1168.4000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"26","http://localhost:8080/","2024-12-17","11:29:25","longTask","5164.200000001118","5256.200000001118","92","self","-1","-1","-1"
"27","http://localhost:8080/","2024-12-17","11:29:36","LCP","1113.5999999996275","1170.5999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"27","http://localhost:8080/","2024-12-17","11:29:36","longTask","5172.5","5242.5","70","self","-1","-1","-1"
"28","http://localhost:8080/","2024-12-17","11:29:47","LCP","1106.5","1165.699999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"28","http://localhost:8080/","2024-12-17","11:29:47","longTask","5164.5999999996275","5255.5999999996275","91","self","-1","-1","-1"
"29","http://localhost:8080/","2024-12-17","11:29:58","LCP","1114.0999999996275","1171.9000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"29","http://localhost:8080/","2024-12-17","11:29:58","longTask","5179.0999999996275","5271.0999999996275","92","self","-1","-1","-1"
"30","http://localhost:8080/","2024-12-17","11:30:09","LCP","1127.5999999996275","1193.4000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"30","http://localhost:8080/","2024-12-17","11:30:09","longTask","5195.199999999255","5265.199999999255","70","self","-1","-1","-1"
"31","http://localhost:8080/","2024-12-17","11:30:19","LCP","1119.7000000011176","1184.300000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"31","http://localhost:8080/","2024-12-17","11:30:19","longTask","5192.60000000149","5283.60000000149","91","self","-1","-1","-1"
"32","http://localhost:8080/","2024-12-17","11:30:30","LCP","1126.4000000003725","1187.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"32","http://localhost:8080/","2024-12-17","11:30:30","longTask","5208.699999999255","5299.699999999255","91","self","-1","-1","-1"
"33","http://localhost:8080/","2024-12-17","11:30:41","LCP","1121.300000000745","1178.9000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"33","http://localhost:8080/","2024-12-17","11:30:41","longTask","5206.4000000003725","5296.4000000003725","90","self","-1","-1","-1"
"34","http://localhost:8080/","2024-12-17","11:30:52","LCP","1131.7999999988824","1193","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"34","http://localhost:8080/","2024-12-17","11:30:52","longTask","5204.5","5294.5","90","self","-1","-1","-1"
"35","http://localhost:8080/","2024-12-17","11:31:03","LCP","1126.2999999988824","1187.2999999988824","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"35","http://localhost:8080/","2024-12-17","11:31:03","longTask","5208.299999998882","5298.299999998882","90","self","-1","-1","-1"
"36","http://localhost:8080/","2024-12-17","11:31:14","LCP","1128.5","1190.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
