idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-19","09:17:20","LCP","1094.7000000001863","1171.7000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"1","http://localhost:8080/","2024-12-19","09:17:20","longTask","1084.2000000001863","1146.2000000001863","62","unknown","-1","-1","-1"
"2","http://localhost:8080/","2024-12-19","09:17:27","LCP","1072.2000000001863","1130.1000000005588","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2024-12-19","09:17:33","LCP","1072.1000000005588","1134","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2024-12-19","09:17:40","LCP","1065.7000000001863","1123.6000000005588","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2024-12-19","09:17:47","LCP","1073.2999999998137","1133.2999999998137","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2024-12-19","09:17:53","LCP","1079.5","1138.7000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2024-12-19","09:18:00","LCP","1063.8999999994412","1122.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2024-12-19","09:18:06","LCP","1073","1132.800000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2024-12-19","09:18:13","LCP","1071.4000000003725","1130.2000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2024-12-19","09:18:20","LCP","1071.7999999998137","1130.2999999998137","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2024-12-19","09:18:26","LCP","1058.6000000005588","1123.2000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2024-12-19","09:18:33","LCP","1081.1000000005588","1142.300000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2024-12-19","09:18:40","LCP","1066.3999999994412","1122.7999999998137","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2024-12-19","09:18:46","LCP","1073","1134.2000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2024-12-19","09:18:53","LCP","1065.5999999996275","1130.199999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2024-12-19","09:18:59","LCP","1080.1000000005588","1141.7000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2024-12-19","09:19:06","LCP","1079.7999999998137","1139.2000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2024-12-19","09:19:13","LCP","1073.300000000745","1130.300000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"19","http://localhost:8080/","2024-12-19","09:19:19","LCP","1073.2999999998137","1130.2999999998137","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"20","http://localhost:8080/","2024-12-19","09:19:26","LCP","1080","1138.7000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"21","http://localhost:8080/","2024-12-19","09:19:33","LCP","1073.5999999996275","1134.0999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2024-12-19","09:19:39","LCP","1065.5999999996275","1123.7000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"23","http://localhost:8080/","2024-12-19","09:19:46","LCP","1080.7999999998137","1143.2000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"24","http://localhost:8080/","2024-12-19","09:19:52","LCP","1064.199999999255","1122","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"25","http://localhost:8080/","2024-12-19","09:19:59","LCP","1072.7000000001863","1130.6000000005588","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"26","http://localhost:8080/","2024-12-19","09:20:06","LCP","1066.7000000001863","1124.3999999994412","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"27","http://localhost:8080/","2024-12-19","09:20:12","LCP","1073.6000000005588","1134.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"28","http://localhost:8080/","2024-12-19","09:20:19","LCP","1072.5","1129.9000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"29","http://localhost:8080/","2024-12-19","09:20:26","LCP","1072.8999999994412","1130.7000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"30","http://localhost:8080/","2024-12-19","09:20:32","LCP","1065.800000000745","1121.7000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"31","http://localhost:8080/","2024-12-19","09:20:39","LCP","1072.5","1129.7000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"32","http://localhost:8080/","2024-12-19","09:20:46","LCP","1073.2999999998137","1134","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"33","http://localhost:8080/","2024-12-19","09:20:52","LCP","1073.7000000001863","1133.300000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"34","http://localhost:8080/","2024-12-19","09:20:59","LCP","1072.7999999998137","1136.2000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"35","http://localhost:8080/","2024-12-19","09:21:05","LCP","1065.5999999996275","1124.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"36","http://localhost:8080/","2024-12-19","09:21:12","LCP","1058.2000000001863","1115.800000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"37","http://localhost:8080/","2024-12-19","09:21:19","LCP","1064.5999999996275","1123","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"38","http://localhost:8080/","2024-12-19","09:21:25","LCP","1081.7999999998137","1145.8999999994412","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"39","http://localhost:8080/","2024-12-19","09:21:32","LCP","1065","1123.0999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"40","http://localhost:8080/","2024-12-19","09:21:39","LCP","1081.300000000745","1141.7000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"41","http://localhost:8080/","2024-12-19","09:21:45","LCP","1066.2000000001863","1128.6000000005588","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"42","http://localhost:8080/","2024-12-19","09:21:52","LCP","1073.0999999996275","1133.5999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"43","http://localhost:8080/","2024-12-19","09:21:58","LCP","1065.800000000745","1126.800000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"44","http://localhost:8080/","2024-12-19","09:22:05","LCP","1073.3999999994412","1132","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"45","http://localhost:8080/","2024-12-19","09:22:12","LCP","1064.2000000001863","1122.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"46","http://localhost:8080/","2024-12-19","09:22:18","LCP","1072.3999999994412","1130.3999999994412","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"47","http://localhost:8080/","2024-12-19","09:22:25","LCP","1090.5","1153.7999999998137","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"48","http://localhost:8080/","2024-12-19","09:22:31","LCP","1089.7999999998137","1153.4000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"49","http://localhost:8080/","2024-12-19","09:22:38","LCP","1079.2999999998137","1137.7999999998137","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"50","http://localhost:8080/","2024-12-19","09:22:45","LCP","1089.2000000001863","1152.7000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"51","http://localhost:8080/","2024-12-19","09:22:51","LCP","1082.2999999998137","1145.2000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"52","http://localhost:8080/","2024-12-19","09:22:58","LCP","1079.0999999996275","1134.0999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"53","http://localhost:8080/","2024-12-19","09:23:05","LCP","1079.5","1142.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"54","http://localhost:8080/","2024-12-19","09:23:11","LCP","1089.6000000005588","1149.9000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"55","http://localhost:8080/","2024-12-19","09:23:18","LCP","1088.2999999998137","1151.2999999998137","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"56","http://localhost:8080/","2024-12-19","09:23:25","LCP","1082.2000000001863","1137.2000000001863","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"57","http://localhost:8080/","2024-12-19","09:23:31","LCP","1088.3999999994412","1152","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
