idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-15","22:14:45","528","3747","1403.699999999255","1403.699999999255","561.2999999988824","20","3738.5999999996275","1","70","1710.4000000003725","1879.0999999996275","3942.2999999988824",""
"2","http://localhost:8080/","2024-12-15","22:14:54","327","3499","1182.0999999996275","1182.0999999996275","361.40000000037253","17","3493","1","67","1473.300000000745","1636.5999999996275","3701.4000000003725",""
"3","http://localhost:8080/","2024-12-15","22:15:03","327","3494","1171.5","1171.5","362","16","3488","1","66","1466.5999999996275","1629.2999999988824","3691.5999999996275",""
"4","http://localhost:8080/","2024-12-15","22:15:12","328","3495","1171.9000000003725","1171.9000000003725","361.7999999988824","18","3488.5999999996275","1","68","1465","1629","3694.199999999255",""
"5","http://localhost:8080/","2024-12-15","22:15:21","328","3494","1182.699999999255","1182.699999999255","361.8999999985099","17","3487.7999999988824","1","67","1474.2999999988824","1637.3999999985099","3700",""
"6","http://localhost:8080/","2024-12-15","22:15:30","328","3487","1175.0999999996275","1175.0999999996275","362.59999999962747","18","3481.2999999988824","1","68","1465.699999999255","1630.0999999996275","3695.39999999851",""
"7","http://localhost:8080/","2024-12-15","22:15:39","321","3486","1166.0999999996275","1166.0999999996275","354.59999999962747","16","3479.7999999988824","1","66","1459.9000000003725","1622.5","3689.4000000003725",""
"8","http://localhost:8080/","2024-12-15","22:15:48","327","3507","1188.800000000745","1188.800000000745","360.80000000074506","16","3500.699999999255","1","66","1479.4000000003725","1644.199999999255","3708.800000000745",""
"9","http://localhost:8080/","2024-12-15","22:15:57","327","3501","1180.1000000014901","1180.1000000014901","361","16","3493.300000000745","1","66","1472.1000000014901","1636.4000000003725","3700.9000000003725",""
"10","http://localhost:8080/","2024-12-15","22:16:06","327","3499","1188.699999999255","1188.699999999255","361.69999999925494","17","3492.7999999988824","1","67","1480","1644.199999999255","3708.39999999851",""
"11","http://localhost:8080/","2024-12-15","22:16:15","327","3492","1172","1172","362.59999999962747","17","3486.2999999988824","1","67","1467.699999999255","1636.8999999985099","3695.199999999255",""
