idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-16","15:49:01","162","238","425.1000000014901","241.79999999701977","153.89999999850988","0","241.79999999701977","0","-1","226.79999999701977","241.39999999850988","314.3999999985099",""
"2","http://localhost:8080/","2024-12-16","15:49:07","12","77","173.09999999403954","73.19999999552965","7.5","0","73.19999999552965","0","-1","51.69999999552965","61.099999994039536","135.39999999850988",""
"3","http://localhost:8080/","2024-12-16","15:49:12","12","72","161.60000000149012","69.89999999850988","7.299999997019768","0","69.89999999850988","0","-1","48.69999999552965","55.29999999701977","131.39999999850988",""
"4","http://localhost:8080/","2024-12-16","15:49:18","11","65","162.39999999850988","70.69999999552965","6.600000001490116","0","70.69999999552965","0","-1","47.29999999701977","59.29999999701977","132.39999999850988",""
"5","http://localhost:8080/","2024-12-16","15:49:23","11","69","167.5","67.60000000149012","6.299999997019768","0","67.60000000149012","0","-1","46.100000001490116","52.69999999552965","130.79999999701977",""
"6","http://localhost:8080/","2024-12-16","15:49:29","10","67","161.19999999552965","69.39999999850988","6.199999995529652","0","69.39999999850988","0","-1","45.79999999701977","53","130.09999999403954",""
"7","http://localhost:8080/","2024-12-16","15:49:35","10","64","161.39999999850988","69.79999999701977","6.299999997019768","0","69.79999999701977","0","-1","45.29999999701977","52.79999999701977","129.89999999850988",""
"8","http://localhost:8080/","2024-12-16","15:49:40","12","66","161.09999999403954","69.5","7.299999997019768","0","69.5","0","-1","46","52.69999999552965","129.59999999403954",""
"9","http://localhost:8080/","2024-12-16","15:49:46","11","63","167.10000000149012","67","5.700000002980232","0","67","0","-1","44.399999998509884","53.20000000298023","131",""
"10","http://localhost:8080/","2024-12-16","15:49:51","10","62","168.40000000596046","68.30000000447035","5.800000004470348","0","68.30000000447035","0","-1","46.100000001490116","52.400000005960464","131.30000000447035",""
"11","http://localhost:8080/","2024-12-16","15:49:57","10","80","157.20000000298023","73.89999999850988","5.5","0","73.89999999850988","0","-1","41.5","47.399999998509884","130.20000000298023",""
"12","http://localhost:8080/","2024-12-16","15:50:02","10","67","160.69999999552965","69.09999999403954","5.399999998509884","0","69.09999999403954","0","-1","44","50.5","128.89999999850988",""
"13","http://localhost:8080/","2024-12-16","15:50:08","10","66","162.70000000298023","71","5.200000002980232","0","71","0","-1","44","50","129.89999999850988",""
"14","http://localhost:8080/","2024-12-16","15:50:14","10","64","162.19999999552965","70.59999999403954","5.299999997019768","0","70.59999999403954","0","-1","43.5","48.79999999701977","126.09999999403954",""
"15","http://localhost:8080/","2024-12-16","15:50:19","9","71","172.70000000298023","64.30000000447035","5.100000001490116","0","64.30000000447035","0","-1","37","41.899999998509884","132.30000000447035",""
