idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-17","10:22:33","450","546","547.5999999996275","547.5999999996275","438.40000000037253","0","547.5999999996275","0","-1","521.5","529.6999999992549","607.8000000007451",""
"2","http://localhost:8080/","2024-12-17","10:22:39","39","120","124.5","124.5","32.40000000037253","0","124.5","0","-1","92.19999999925494","95.30000000074506","169.69999999925494",""
"3","http://localhost:8080/","2024-12-17","10:22:45","34","114","110","110","28","0","110","0","-1","73.69999999925494","77.5","157.19999999925494",""
"4","http://localhost:8080/","2024-12-17","10:22:50","31","107","107","107","25.90000000037253","0","107","0","-1","73.69999999925494","78.69999999925494","146.69999999925494",""
"5","http://localhost:8080/","2024-12-17","10:22:56","30","104","101.19999999925494","101.19999999925494","25.199999999254942","0","101.19999999925494","0","-1","69.09999999962747","72.90000000037253","144",""
"6","http://localhost:8080/","2024-12-17","10:23:01","31","97","105.60000000149012","105.60000000149012","25.800000000745058","0","105.60000000149012","0","-1","73.30000000074506","78","149.10000000149012",""
"7","http://localhost:8080/","2024-12-17","10:23:07","30","105","104","104","25.40000000037253","0","104","0","-1","71.40000000037253","75.69999999925494","146.80000000074506",""
"8","http://localhost:8080/","2024-12-17","10:23:13","28","99","94.69999999925494","94.69999999925494","23.699999999254942","0","94.69999999925494","0","-1","67.89999999850988","71.89999999850988","148.7999999988824",""
"9","http://localhost:8080/","2024-12-17","10:23:18","33","101","103.39999999850988","103.39999999850988","28.399999998509884","0","103.39999999850988","0","-1","74.79999999888241","79.29999999888241","150.19999999925494",""
"10","http://localhost:8080/","2024-12-17","10:23:24","30","103","102.59999999962747","102.59999999962747","24.699999999254942","0","102.59999999962747","0","-1","68.19999999925494","71.40000000037253","145.59999999962747",""
"11","http://localhost:8080/","2024-12-17","10:23:30","32","104","109.80000000074506","109.80000000074506","26.699999999254942","0","109.80000000074506","0","-1","69.19999999925494","73.09999999962747","146.40000000037253",""
"12","http://localhost:8080/","2024-12-17","10:23:35","25","94","92.30000000074506","92.30000000074506","20","0","92.30000000074506","0","-1","64.40000000037253","67.90000000037253","141.2000000011176",""
"13","http://localhost:8080/","2024-12-17","10:23:41","29","101","108.59999999962747","108.59999999962747","23.59999999962747","0","108.59999999962747","0","-1","67.59999999962747","71.5","152.2999999988824",""
"14","http://localhost:8080/","2024-12-17","10:23:46","26","93","100.30000000074506","100.30000000074506","21.800000000745058","0","100.30000000074506","0","-1","66.70000000111759","70.59999999962747","144.7000000011176",""
"15","http://localhost:8080/","2024-12-17","10:23:52","27","97","96.09999999962747","96.09999999962747","21.899999998509884","0","96.09999999962747","0","-1","63.79999999888241","68.39999999850988","139.69999999925494",""
