idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/home/","2024-12-17","15:59:12","277","358","338.3999999985099","338.3999999985099","252.39999999850988","0","338.3999999985099","0","-1","-1","-1","-1",""
"2","http://localhost:8080/home/","2024-12-17","15:59:18","44","102","105.19999999925494","105.19999999925494","38.30000000074506","0","105.19999999925494","0","-1","-1","-1","-1",""
"3","http://localhost:8080/home/","2024-12-17","15:59:24","48","104","107.79999999701977","107.79999999701977","41.69999999925494","0","107.79999999701977","0","-1","-1","-1","-1",""
"4","http://localhost:8080/home/","2024-12-17","15:59:30","32","86","83.19999999925494","83.19999999925494","27.100000001490116","0","83.19999999925494","0","-1","-1","-1","-1",""
"5","http://localhost:8080/home/","2024-12-17","15:59:35","38","92","97.30000000074506","97.30000000074506","32.80000000074506","0","97.30000000074506","0","-1","-1","-1","-1",""
"6","http://localhost:8080/home/","2024-12-17","15:59:41","31","87","91.80000000074506","91.80000000074506","26.100000001490116","0","91.80000000074506","0","-1","-1","-1","-1",""
"7","http://localhost:8080/home/","2024-12-17","15:59:46","36","92","95.5","95.5","30","0","95.5","0","-1","-1","-1","-1",""
"8","http://localhost:8080/home/","2024-12-17","15:59:52","33","92","96","96","27.699999999254942","0","96","0","-1","-1","-1","-1",""
"9","http://localhost:8080/home/","2024-12-17","15:59:58","35","91","96.20000000298023","96.20000000298023","29.800000000745058","0","96.20000000298023","0","-1","-1","-1","-1",""
"10","http://localhost:8080/home/","2024-12-17","16:00:03","41","96","98.80000000074506","98.80000000074506","34.899999998509884","0","98.80000000074506","0","-1","-1","-1","-1",""
"11","http://localhost:8080/home/","2024-12-17","16:00:09","35","89","94.5","94.5","29.199999999254942","0","94.5","0","-1","-1","-1","-1",""
"12","http://localhost:8080/home/","2024-12-17","16:00:14","32","86","91.5","91.5","27.100000001490116","0","91.5","0","-1","-1","-1","-1",""
"13","http://localhost:8080/home/","2024-12-17","16:00:20","35","95","90","90","30.099999997764826","0","90","0","-1","-1","-1","-1",""
