idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/home/","2024-12-17","18:43:34","291","6180","1191.8999999985099","508.6000000014901","333.70000000298023","196","6155.70000000298","3","185","-1","-1","-1",""
"2","http://localhost:8080/home/","2024-12-17","18:43:45","181","6015","1100.2000000029802","341.8999999985099","226","177","5997","3","169","-1","-1","-1",""
"3","http://localhost:8080/home/","2024-12-17","18:43:57","181","5993","1080.6000000014901","297.19999999552965","227.60000000149012","178","5976.89999999851","3","171","-1","-1","-1",""
"4","http://localhost:8080/home/","2024-12-17","18:44:08","182","6000","1017.6999999955297","301.09999999403954","226.39999999850988","179","5982.79999999702","3","170","-1","-1","-1",""
"5","http://localhost:8080/home/","2024-12-17","18:44:20","173","6019","1090.2000000029802","340.20000000298023","219.39999999850988","183","6002.20000000298","3","176","-1","-1","-1",""
"6","http://localhost:8080/home/","2024-12-17","18:44:31","180","6015","1015.3000000044703","315.30000000447035","226.60000000149012","179","5998.30000000447","3","172","-1","-1","-1",""
"7","http://localhost:8080/home/","2024-12-17","18:44:43","173","5990","998.6000000014901","315.30000000447035","219.39999999850988","173","5972.80000000447","3","169","-1","-1","-1",""
"8","http://localhost:8080/home/","2024-12-17","18:44:55","172","5983","1010.2999999970198","318.59999999403954","219.19999999552965","176","5967.69999999553","3","171","-1","-1","-1",""
"9","http://localhost:8080/home/","2024-12-17","18:45:06","182","6027","1088.8999999985099","355.6000000014901","226.60000000149012","176","6013.39999999851","2","169","-1","-1","-1",""
"10","http://localhost:8080/home/","2024-12-17","18:45:18","172","5999","1002","318.59999999403954","219.19999999552965","172","5980","3","168","-1","-1","-1",""
"11","http://localhost:8080/home/","2024-12-17","18:45:29","172","5981","998.8999999985099","315.59999999403954","219.29999999701977","171","5963","3","167","-1","-1","-1",""
"12","http://localhost:8080/home/","2024-12-17","18:45:41","173","5990","1099.3000000044703","341","220.30000000447035","173","5975.80000000447","3","165","-1","-1","-1",""
"13","http://localhost:8080/home/","2024-12-17","18:45:52","172","6007","1100.1000000014901","341.80000000447035","220.80000000447035","178","5989.30000000447","3","170","-1","-1","-1",""
"14","http://localhost:8080/home/","2024-12-17","18:46:04","172","5979","990.5","315.5","219.70000000298023","174","5963.10000000149","3","168","-1","-1","-1",""
"15","http://localhost:8080/home/","2024-12-17","18:46:15","172","5991","1010.1999999955297","310.19999999552965","219.09999999403954","178","5974.0999999940395","3","172","-1","-1","-1",""
"16","http://localhost:8080/home/","2024-12-17","18:46:27","172","5994","1095.1000000014901","328.3999999985099","219.10000000149012","168","5977.89999999851","3","164","-1","-1","-1",""
"17","http://localhost:8080/home/","2024-12-17","18:46:38","173","5982","1086","294.29999999701977","219.89999999850988","175","5963","3","166","-1","-1","-1",""
"18","http://localhost:8080/home/","2024-12-17","18:46:50","172","5988","1002.5","310.90000000596046","219.20000000298023","176","5969.5","3","169","-1","-1","-1",""
"19","http://localhost:8080/home/","2024-12-17","18:47:01","173","5997","999.2999999970198","316","219.5","171","5978.29999999702","3","169","-1","-1","-1",""
"20","http://localhost:8080/home/","2024-12-17","18:47:13","180","5999","1021.3000000044703","296.30000000447035","226.5","171","5980.9000000059605","3","166","-1","-1","-1",""
"21","http://localhost:8080/home/","2024-12-17","18:47:24","182","5989","1017.3000000044703","317.30000000447035","226.30000000447035","172","5969.60000000149","3","168","-1","-1","-1",""
"22","http://localhost:8080/home/","2024-12-17","18:47:36","172","5999","1077.6000000014901","344.30000000447035","219.90000000596046","176","5986.5","2","171","-1","-1","-1",""
"23","http://localhost:8080/home/","2024-12-17","18:47:47","172","6000","1003.7999999970198","320.3999999985099","219.20000000298023","175","5981.5","3","169","-1","-1","-1",""
"24","http://localhost:8080/home/","2024-12-17","18:47:59","173","5999","1003.2999999970198","319.8999999985099","219.39999999850988","171","5983.60000000149","3","168","-1","-1","-1",""
"25","http://localhost:8080/home/","2024-12-17","18:48:10","181","6000","1096","304.30000000447035","227.20000000298023","175","5982.20000000298","3","169","-1","-1","-1",""
"26","http://localhost:8080/home/","2024-12-17","18:48:22","180","5985","1098","348.1000000014901","227.29999999701977","176","5968.10000000149","3","169","-1","-1","-1",""
"27","http://localhost:8080/home/","2024-12-17","18:48:33","179","6013","1085.2999999970198","335.29999999701977","227.5","160","5999.19999999553","2","161","-1","-1","-1",""
"28","http://localhost:8080/home/","2024-12-17","18:48:45","179","6004","1022.3999999985099","314","226.5","167","5990.20000000298","3","162","-1","-1","-1",""
"29","http://localhost:8080/home/","2024-12-17","18:48:56","181","6020","1102.7999999970198","344.6000000014901","226.79999999701977","161","6002.10000000149","3","161","-1","-1","-1",""
"30","http://localhost:8080/home/","2024-12-17","18:49:08","180","6007","1078.7000000029802","345.3999999985099","228.80000000447035","167","5993.89999999851","2","162","-1","-1","-1",""
"31","http://localhost:8080/home/","2024-12-17","18:49:19","180","6011","1094.3999999985099","352.69999999552965","226.5","165","5994.19999999553","3","165","-1","-1","-1",""
"32","http://localhost:8080/home/","2024-12-17","18:49:31","178","6008","1076.6999999955297","343.3999999985099","227.29999999701977","168","5992.29999999702","3","161","-1","-1","-1",""
"33","http://localhost:8080/home/","2024-12-17","18:49:43","179","6009","1111.7000000029802","345","227.10000000149012","163","5990.30000000447","3","164","-1","-1","-1",""
"34","http://localhost:8080/home/","2024-12-17","18:49:54","179","6022","1078.8000000044703","353.80000000447035","228.89999999850988","169","6003.80000000447","3","164","-1","-1","-1",""
"35","http://localhost:8080/home/","2024-12-17","18:50:06","181","6025","1096.1000000014901","362.80000000447035","226.39999999850988","162","6006.70000000298","3","162","-1","-1","-1",""
"36","http://localhost:8080/home/","2024-12-17","18:50:17","180","6031","1013","321.29999999701977","226.20000000298023","164","6015.60000000149","3","160","-1","-1","-1",""
"37","http://localhost:8080/home/","2024-12-17","18:50:29","180","6025","1014.0999999940395","322.5","226.69999999552965","161","6006.89999999851","3","161","-1","-1","-1",""
"38","http://localhost:8080/home/","2024-12-17","18:50:40","181","6008","1096.8999999985099","355.19999999552965","228","159","5988.19999999553","3","159","-1","-1","-1",""
"39","http://localhost:8080/home/","2024-12-17","18:50:52","180","5999","1089.6000000014901","356.30000000447035","227.30000000447035","160","5982.20000000298","3","162","-1","-1","-1",""
"40","http://localhost:8080/home/","2024-12-17","18:51:03","181","6014","1111.3999999985099","344.69999999552965","227.09999999403954","165","5999.29999999702","3","163","-1","-1","-1",""
"41","http://localhost:8080/home/","2024-12-17","18:51:15","180","6022","1097.1000000014901","363.70000000298023","226.29999999701977","165","6006","3","163","-1","-1","-1",""
"42","http://localhost:8080/home/","2024-12-17","18:51:26","179","6012","1086.6000000014901","344.8999999985099","228.79999999701977","170","5998","3","169","-1","-1","-1",""
"43","http://localhost:8080/home/","2024-12-17","18:51:38","180","6029","1111.6000000014901","344.90000000596046","228.60000000149012","173","6012.30000000447","3","167","-1","-1","-1",""
