idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-19","08:25:39","28","746","754.6999999997206","754.6999999997206","19.699999999720603","0","754.6999999997206","0","-1","-1","-1","-1",""
"2","http://localhost:8080/","2024-12-19","08:25:45","15","79","84.20000000018626","84.20000000018626","9.700000000186265","0","84.20000000018626","0","-1","-1","-1","-1",""
"3","http://localhost:8080/","2024-12-19","08:25:51","17","78","80.1999999997206","80.1999999997206","10","0","80.1999999997206","0","-1","-1","-1","-1",""
"4","http://localhost:8080/","2024-12-19","08:25:56","13","78","75.8000000002794","75.8000000002794","8.200000000186265","0","75.8000000002794","0","-1","-1","-1","-1",""
"5","http://localhost:8080/","2024-12-19","08:26:02","14","69","77.39999999990687","77.39999999990687","8.699999999720603","0","77.39999999990687","0","-1","-1","-1","-1",""
"6","http://localhost:8080/","2024-12-19","08:26:07","14","69","78.70000000018626","78.70000000018626","9.100000000093132","0","78.70000000018626","0","-1","-1","-1","-1",""
"7","http://localhost:8080/","2024-12-19","08:26:13","13","73","77.6999999997206","77.6999999997206","8.299999999813735","0","77.6999999997206","0","-1","-1","-1","-1",""
"8","http://localhost:8080/","2024-12-19","08:26:19","13","73","78.29999999981374","78.29999999981374","8.399999999906868","0","78.29999999981374","0","-1","-1","-1","-1",""
"9","http://localhost:8080/","2024-12-19","08:26:24","13","72","78.90000000037253","78.90000000037253","8.300000000279397","0","78.90000000037253","0","-1","-1","-1","-1",""
"10","http://localhost:8080/","2024-12-19","08:26:30","12","78","75.39999999990687","75.39999999990687","7.600000000093132","0","75.39999999990687","0","-1","-1","-1","-1",""
"11","http://localhost:8080/","2024-12-19","08:26:35","13","71","75.59999999962747","75.59999999962747","8","0","75.59999999962747","0","-1","-1","-1","-1",""
"12","http://localhost:8080/","2024-12-19","08:26:41","12","72","83.89999999990687","83.89999999990687","7.2000000001862645","0","83.89999999990687","0","-1","-1","-1","-1",""
"13","http://localhost:8080/","2024-12-19","08:26:46","11","67","76.10000000009313","76.10000000009313","6.5","0","76.10000000009313","0","-1","-1","-1","-1",""
"14","http://localhost:8080/","2024-12-19","08:26:52","13","69","78.10000000009313","78.10000000009313","7.899999999906868","0","78.10000000009313","0","-1","-1","-1","-1",""
"15","http://localhost:8080/","2024-12-19","08:26:58","11","65","75.60000000009313","75.60000000009313","5.800000000279397","0","75.60000000009313","0","-1","-1","-1","-1",""
"16","http://localhost:8080/","2024-12-19","08:27:03","13","72","78.29999999981374","78.29999999981374","8.100000000093132","0","78.29999999981374","0","-1","-1","-1","-1",""
"17","http://localhost:8080/","2024-12-19","08:27:09","13","67","75.20000000018626","75.20000000018626","6.100000000093132","0","75.20000000018626","0","-1","-1","-1","-1",""
"18","http://localhost:8080/","2024-12-19","08:27:14","10","73","70.89999999990687","70.89999999990687","5.5","0","70.89999999990687","0","-1","-1","-1","-1",""
"19","http://localhost:8080/","2024-12-19","08:27:20","12","68","76.39999999990687","76.39999999990687","6.699999999720603","0","76.39999999990687","0","-1","-1","-1","-1",""
"20","http://localhost:8080/","2024-12-19","08:27:25","10","70","76.29999999981374","76.29999999981374","5.600000000093132","0","76.29999999981374","0","-1","-1","-1","-1",""
"21","http://localhost:8080/","2024-12-19","08:27:31","11","68","75.70000000018626","75.70000000018626","6.100000000093132","0","75.70000000018626","0","-1","-1","-1","-1",""
"22","http://localhost:8080/","2024-12-19","08:27:37","12","72","77.60000000009313","77.60000000009313","7.300000000279397","0","77.60000000009313","0","-1","-1","-1","-1",""
"23","http://localhost:8080/","2024-12-19","08:27:42","11","69","75.5","75.5","5.599999999627471","0","75.5","0","-1","-1","-1","-1",""
"24","http://localhost:8080/","2024-12-19","08:27:48","12","74","78.8000000002794","78.8000000002794","5.2000000001862645","0","78.8000000002794","0","-1","-1","-1","-1",""
"25","http://localhost:8080/","2024-12-19","08:27:53","12","68","78","78","7.600000000093132","0","78","0","-1","-1","-1","-1",""
"26","http://localhost:8080/","2024-12-19","08:27:59","12","71","77.29999999981374","77.29999999981374","7.5","0","77.29999999981374","0","-1","-1","-1","-1",""
"27","http://localhost:8080/","2024-12-19","08:28:04","11","72","78.39999999990687","78.39999999990687","5.300000000279397","0","78.39999999990687","0","-1","-1","-1","-1",""
"28","http://localhost:8080/","2024-12-19","08:28:10","10","70","76","76","5.2999999998137355","0","76","0","-1","-1","-1","-1",""
"29","http://localhost:8080/","2024-12-19","08:28:16","10","71","76.29999999981374","76.29999999981374","5.100000000093132","0","76.29999999981374","0","-1","-1","-1","-1",""
"30","http://localhost:8080/","2024-12-19","08:28:21","10","71","76.70000000018626","76.70000000018626","4.899999999906868","0","76.70000000018626","0","-1","-1","-1","-1",""
"31","http://localhost:8080/","2024-12-19","08:28:27","11","72","71.29999999981374","71.29999999981374","5.7999999998137355","0","71.29999999981374","0","-1","-1","-1","-1",""
"32","http://localhost:8080/","2024-12-19","08:28:32","8","62","71.10000000009313","71.10000000009313","4.399999999906868","0","71.10000000009313","0","-1","-1","-1","-1",""
"33","http://localhost:8080/","2024-12-19","08:28:38","12","72","77.39999999990687","77.39999999990687","7.2999999998137355","0","77.39999999990687","0","-1","-1","-1","-1",""
"34","http://localhost:8080/","2024-12-19","08:28:43","10","70","76","76","5.100000000093132","0","76","0","-1","-1","-1","-1",""
"35","http://localhost:8080/","2024-12-19","08:28:49","10","70","76","76","5.2999999998137355","0","76","0","-1","-1","-1","-1",""
"36","http://localhost:8080/","2024-12-19","08:28:54","9","68","75.10000000009313","75.10000000009313","4.5","0","75.10000000009313","0","-1","-1","-1","-1",""
"37","http://localhost:8080/","2024-12-19","08:29:00","8","65","70.20000000018626","70.20000000018626","4.399999999906868","0","70.20000000018626","0","-1","-1","-1","-1",""
"38","http://localhost:8080/","2024-12-19","08:29:06","11","72","77.90000000037253","77.90000000037253","4.400000000372529","0","77.90000000037253","0","-1","-1","-1","-1",""
"39","http://localhost:8080/","2024-12-19","08:29:11","13","73","77.10000000009313","77.10000000009313","6.7000000001862645","0","77.10000000009313","0","-1","-1","-1","-1",""
"40","http://localhost:8080/","2024-12-19","08:29:17","11","70","78.89999999990687","78.89999999990687","5","0","78.89999999990687","0","-1","-1","-1","-1",""
"41","http://localhost:8080/","2024-12-19","08:29:22","9","68","76.3000000002794","76.3000000002794","5.100000000093132","0","76.3000000002794","0","-1","-1","-1","-1",""
"42","http://localhost:8080/","2024-12-19","08:29:28","10","67","74.5","74.5","4.800000000279397","0","74.5","0","-1","-1","-1","-1",""
"43","http://localhost:8080/","2024-12-19","08:29:33","12","65","77.40000000037253","77.40000000037253","6.800000000279397","0","77.40000000037253","0","-1","-1","-1","-1",""
"44","http://localhost:8080/","2024-12-19","08:29:39","11","69","77.8000000002794","77.8000000002794","4.7000000001862645","0","77.8000000002794","0","-1","-1","-1","-1",""
"45","http://localhost:8080/","2024-12-19","08:29:45","9","66","67.5","67.5","4.899999999906868","0","67.5","0","-1","-1","-1","-1",""
"46","http://localhost:8080/","2024-12-19","08:29:50","9","68","74.89999999990687","74.89999999990687","4.7999999998137355","0","74.89999999990687","0","-1","-1","-1","-1",""
"47","http://localhost:8080/","2024-12-19","08:29:56","11","73","70.90000000037253","70.90000000037253","5.5","0","70.90000000037253","0","-1","-1","-1","-1",""
"48","http://localhost:8080/","2024-12-19","08:30:01","9","65","75","75","4.600000000093132","0","75","0","-1","-1","-1","-1",""
"49","http://localhost:8080/","2024-12-19","08:30:07","9","70","75.70000000018626","75.70000000018626","4.399999999906868","0","75.70000000018626","0","-1","-1","-1","-1",""
"50","http://localhost:8080/","2024-12-19","08:30:12","11","70","76.60000000009313","76.60000000009313","6.5","0","76.60000000009313","0","-1","-1","-1","-1",""
"51","http://localhost:8080/","2024-12-19","08:30:18","9","70","67.29999999981374","67.29999999981374","4.699999999720603","0","67.29999999981374","0","-1","-1","-1","-1",""
"52","http://localhost:8080/","2024-12-19","08:30:24","10","70","76.79999999981374","76.79999999981374","5.899999999906868","0","76.79999999981374","0","-1","-1","-1","-1",""
"53","http://localhost:8080/","2024-12-19","08:30:29","12","70","77.79999999981374","77.79999999981374","4.2999999998137355","0","77.79999999981374","0","-1","-1","-1","-1",""
"54","http://localhost:8080/","2024-12-19","08:30:35","9","68","74.39999999990687","74.39999999990687","4.5","0","74.39999999990687","0","-1","-1","-1","-1",""
"55","http://localhost:8080/","2024-12-19","08:30:40","10","63","72","72","4.300000000279397","0","72","0","-1","-1","-1","-1",""
"56","http://localhost:8080/","2024-12-19","08:30:46","13","74","82.39999999990687","82.39999999990687","7","0","82.39999999990687","0","-1","-1","-1","-1",""
"57","http://localhost:8080/","2024-12-19","08:30:51","9","69","74.40000000037253","74.40000000037253","4.800000000279397","0","74.40000000037253","0","-1","-1","-1","-1",""
"58","http://localhost:8080/","2024-12-19","08:30:57","9","64","71.5","71.5","4","0","71.5","0","-1","-1","-1","-1",""
