idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-19","09:17:20","331","1180","1171.7000000001863","1171.7000000001863","345.6000000005588","0","1146.2000000001863","1","62","-1","-1","-1",""
"2","http://localhost:8080/","2024-12-19","09:17:27","327","1132","1130.1000000005588","1130.1000000005588","346.40000000037253","0","1130.1000000005588","0","-1","-1","-1","-1",""
"3","http://localhost:8080/","2024-12-19","09:17:33","328","1126","1134","1134","347.5","0","1134","0","-1","-1","-1","-1",""
"4","http://localhost:8080/","2024-12-19","09:17:40","320","1124","1123.6000000005588","1123.6000000005588","339.6000000005588","0","1123.6000000005588","0","-1","-1","-1","-1",""
"5","http://localhost:8080/","2024-12-19","09:17:47","328","1127","1133.2999999998137","1133.2999999998137","347.09999999962747","0","1133.2999999998137","0","-1","-1","-1","-1",""
"6","http://localhost:8080/","2024-12-19","09:17:53","327","1131","1138.7000000001863","1138.7000000001863","346.20000000018626","0","1138.7000000001863","0","-1","-1","-1","-1",""
"7","http://localhost:8080/","2024-12-19","09:18:00","327","1116","1122.5","1122.5","346.20000000018626","0","1122.5","0","-1","-1","-1","-1",""
"8","http://localhost:8080/","2024-12-19","09:18:06","321","1124","1132.800000000745","1132.800000000745","339.90000000037253","0","1132.800000000745","0","-1","-1","-1","-1",""
"9","http://localhost:8080/","2024-12-19","09:18:13","327","1132","1130.2000000001863","1130.2000000001863","345.79999999981374","0","1130.2000000001863","0","-1","-1","-1","-1",""
"10","http://localhost:8080/","2024-12-19","09:18:20","327","1132","1130.2999999998137","1130.2999999998137","346.29999999981374","0","1130.2999999998137","0","-1","-1","-1","-1",""
"11","http://localhost:8080/","2024-12-19","09:18:26","320","1117","1123.2000000001863","1123.2000000001863","339.20000000018626","0","1123.2000000001863","0","-1","-1","-1","-1",""
"12","http://localhost:8080/","2024-12-19","09:18:33","327","1136","1142.300000000745","1142.300000000745","347","0","1142.300000000745","0","-1","-1","-1","-1",""
"13","http://localhost:8080/","2024-12-19","09:18:40","320","1124","1122.7999999998137","1122.7999999998137","339.70000000018626","0","1122.7999999998137","0","-1","-1","-1","-1",""
"14","http://localhost:8080/","2024-12-19","09:18:46","329","1127","1134.2000000001863","1134.2000000001863","347.20000000018626","0","1134.2000000001863","0","-1","-1","-1","-1",""
"15","http://localhost:8080/","2024-12-19","09:18:53","327","1123","1130.199999999255","1130.199999999255","346.59999999962747","0","1130.199999999255","0","-1","-1","-1","-1",""
"16","http://localhost:8080/","2024-12-19","09:18:59","328","1134","1141.7000000001863","1141.7000000001863","347","0","1141.7000000001863","0","-1","-1","-1","-1",""
"17","http://localhost:8080/","2024-12-19","09:19:06","321","1132","1139.2000000001863","1139.2000000001863","339","0","1139.2000000001863","0","-1","-1","-1","-1",""
"18","http://localhost:8080/","2024-12-19","09:19:13","327","1123","1130.300000000745","1130.300000000745","347","0","1130.300000000745","0","-1","-1","-1","-1",""
"19","http://localhost:8080/","2024-12-19","09:19:19","327","1123","1130.2999999998137","1130.2999999998137","346.40000000037253","0","1130.2999999998137","0","-1","-1","-1","-1",""
"20","http://localhost:8080/","2024-12-19","09:19:26","328","1131","1138.7000000001863","1138.7000000001863","346.70000000018626","0","1138.7000000001863","0","-1","-1","-1","-1",""
"21","http://localhost:8080/","2024-12-19","09:19:33","328","1127","1134.0999999996275","1134.0999999996275","347.29999999981374","0","1134.0999999996275","0","-1","-1","-1","-1",""
"22","http://localhost:8080/","2024-12-19","09:19:39","321","1124","1123.7000000001863","1123.7000000001863","339.79999999981374","0","1123.7000000001863","0","-1","-1","-1","-1",""
"23","http://localhost:8080/","2024-12-19","09:19:46","328","1136","1143.2000000001863","1143.2000000001863","347","0","1143.2000000001863","0","-1","-1","-1","-1",""
"24","http://localhost:8080/","2024-12-19","09:19:52","327","1123","1122","1122","346.59999999962747","0","1122","0","-1","-1","-1","-1",""
"25","http://localhost:8080/","2024-12-19","09:19:59","327","1123","1130.6000000005588","1130.6000000005588","346.6000000005588","0","1130.6000000005588","0","-1","-1","-1","-1",""
"26","http://localhost:8080/","2024-12-19","09:20:06","321","1118","1124.3999999994412","1124.3999999994412","340.3999999994412","0","1124.3999999994412","0","-1","-1","-1","-1",""
"27","http://localhost:8080/","2024-12-19","09:20:12","328","1126","1134.5","1134.5","347.1000000005588","0","1134.5","0","-1","-1","-1","-1",""
"28","http://localhost:8080/","2024-12-19","09:20:19","328","1131","1129.9000000003725","1129.9000000003725","347","0","1129.9000000003725","0","-1","-1","-1","-1",""
"29","http://localhost:8080/","2024-12-19","09:20:26","328","1132","1130.7000000001863","1130.7000000001863","347","0","1130.7000000001863","0","-1","-1","-1","-1",""
"30","http://localhost:8080/","2024-12-19","09:20:32","328","1123","1121.7000000001863","1121.7000000001863","346.80000000074506","0","1121.7000000001863","0","-1","-1","-1","-1",""
"31","http://localhost:8080/","2024-12-19","09:20:39","328","1131","1129.7000000001863","1129.7000000001863","346.8999999994412","0","1129.7000000001863","0","-1","-1","-1","-1",""
"32","http://localhost:8080/","2024-12-19","09:20:46","328","1126","1134","1134","346.79999999981374","0","1134","0","-1","-1","-1","-1",""
"33","http://localhost:8080/","2024-12-19","09:20:52","328","1126","1133.300000000745","1133.300000000745","347.30000000074506","0","1133.300000000745","0","-1","-1","-1","-1",""
