idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-16","06:33:26","LCP","1438.3999999985099","1582.199999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"1","http://localhost:8080/","2024-12-16","06:33:26","longTask","1421.300000000745","1548.300000000745","127","unknown","-1","-1","-1"
"1","http://localhost:8080/","2024-12-16","06:33:26","longTask","3874.60000000149","4060.60000000149","186","self","-1","-1","-1"
"1","http://localhost:8080/","2024-12-16","06:33:26","longTask","4161.199999999255","4269.199999999255","108","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-16","06:33:36","LCP","1135.5","1251.8999999985099","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2024-12-16","06:33:36","longTask","1128.6000000014901","1219.6000000014901","91","unknown","-1","-1","-1"
"2","http://localhost:8080/","2024-12-16","06:33:36","longTask","3569.60000000149","3740.60000000149","171","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-16","06:33:36","longTask","3838.10000000149","3943.10000000149","105","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-16","06:33:46","LCP","1147","1262.1000000014901","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2024-12-16","06:33:46","longTask","1140.1000000014901","1231.1000000014901","91","unknown","-1","-1","-1"
"3","http://localhost:8080/","2024-12-16","06:33:46","longTask","3583.400000002235","3759.400000002235","176","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-16","06:33:46","longTask","3855.60000000149","3959.60000000149","104","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-16","06:33:55","LCP","1128.300000000745","1241.6000000014901","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2024-12-16","06:33:55","longTask","1121.5","1214.5","93","unknown","-1","-1","-1"
"4","http://localhost:8080/","2024-12-16","06:33:55","longTask","3568.60000000149","3744.60000000149","176","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-16","06:33:55","longTask","3842.300000000745","3947.300000000745","105","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-16","06:34:05","LCP","1134.800000000745","1249.300000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2024-12-16","06:34:05","longTask","1128.699999999255","1221.699999999255","93","unknown","-1","-1","-1"
"5","http://localhost:8080/","2024-12-16","06:34:05","longTask","3576.89999999851","3751.89999999851","175","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-16","06:34:05","longTask","3834.699999999255","3938.699999999255","104","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-16","06:34:14","LCP","1136","1247.9000000022352","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2024-12-16","06:34:14","longTask","1130.6000000014901","1222.6000000014901","92","unknown","-1","-1","-1"
"6","http://localhost:8080/","2024-12-16","06:34:14","longTask","3577.10000000149","3749.10000000149","172","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-16","06:34:14","longTask","3847.2000000029802","3951.2000000029802","104","self","-1","-1","-1"
"7","http://localhost:8080/","2024-12-16","06:34:24","LCP","1128.8999999985099","1242.699999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2024-12-16","06:34:24","longTask","1122.199999999255","1215.199999999255","93","unknown","-1","-1","-1"
"7","http://localhost:8080/","2024-12-16","06:34:24","longTask","3567","3737","170","self","-1","-1","-1"
"7","http://localhost:8080/","2024-12-16","06:34:24","longTask","3831.800000000745","3936.800000000745","105","self","-1","-1","-1"
"8","http://localhost:8080/","2024-12-16","06:34:33","LCP","1135.4000000022352","1252.699999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2024-12-16","06:34:33","longTask","1130.199999999255","1221.199999999255","91","unknown","-1","-1","-1"
"8","http://localhost:8080/","2024-12-16","06:34:33","longTask","3581.699999999255","3751.699999999255","170","self","-1","-1","-1"
"8","http://localhost:8080/","2024-12-16","06:34:33","longTask","3851.199999999255","3954.199999999255","103","self","-1","-1","-1"
"9","http://localhost:8080/","2024-12-16","06:34:43","LCP","1136","1242.3999999985099","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2024-12-16","06:34:43","longTask","1129.800000000745","1214.800000000745","85","unknown","-1","-1","-1"
"9","http://localhost:8080/","2024-12-16","06:34:43","longTask","3563.199999999255","3736.199999999255","173","self","-1","-1","-1"
"9","http://localhost:8080/","2024-12-16","06:34:43","longTask","3833.099999997765","3937.099999997765","104","self","-1","-1","-1"
"10","http://localhost:8080/","2024-12-16","06:34:52","LCP","1138","1249.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2024-12-16","06:34:52","longTask","1131","1224","93","unknown","-1","-1","-1"
"10","http://localhost:8080/","2024-12-16","06:34:52","longTask","3581.300000000745","3756.300000000745","175","self","-1","-1","-1"
"10","http://localhost:8080/","2024-12-16","06:34:52","longTask","3851.7000000029802","3952.7000000029802","101","self","-1","-1","-1"
"11","http://localhost:8080/","2024-12-16","06:35:02","LCP","1143.0999999977648","1256.7999999970198","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2024-12-16","06:35:02","longTask","1137.2999999970198","1227.2999999970198","90","unknown","-1","-1","-1"
"11","http://localhost:8080/","2024-12-16","06:35:02","longTask","3581.199999999255","3751.199999999255","170","self","-1","-1","-1"
"11","http://localhost:8080/","2024-12-16","06:35:02","longTask","3846.599999997765","3950.599999997765","104","self","-1","-1","-1"
"12","http://localhost:8080/","2024-12-16","06:35:11","LCP","1135.800000000745","1249.699999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2024-12-16","06:35:11","longTask","1129.300000000745","1217.300000000745","88","unknown","-1","-1","-1"
"12","http://localhost:8080/","2024-12-16","06:35:11","longTask","3579.5","3760.5","181","self","-1","-1","-1"
"12","http://localhost:8080/","2024-12-16","06:35:11","longTask","3854.800000000745","3956.800000000745","102","self","-1","-1","-1"
"13","http://localhost:8080/","2024-12-16","06:35:21","LCP","1136.9000000022352","1250.300000000745","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2024-12-16","06:35:21","longTask","1131.1000000014901","1224.1000000014901","93","unknown","-1","-1","-1"
"13","http://localhost:8080/","2024-12-16","06:35:21","longTask","3575.60000000149","3744.60000000149","169","self","-1","-1","-1"
"13","http://localhost:8080/","2024-12-16","06:35:21","longTask","3839.7000000029802","3941.7000000029802","102","self","-1","-1","-1"
"14","http://localhost:8080/","2024-12-16","06:35:30","LCP","1129","1243.9000000022352","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2024-12-16","06:35:30","longTask","1123","1218","95","unknown","-1","-1","-1"
"14","http://localhost:8080/","2024-12-16","06:35:30","longTask","3563.199999999255","3729.199999999255","166","self","-1","-1","-1"
"14","http://localhost:8080/","2024-12-16","06:35:30","longTask","3823.400000002235","3926.400000002235","103","self","-1","-1","-1"
"15","http://localhost:8080/","2024-12-16","06:35:39","LCP","1128","1235.6000000014901","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2024-12-16","06:35:39","longTask","1122.199999999255","1210.199999999255","88","unknown","-1","-1","-1"
"15","http://localhost:8080/","2024-12-16","06:35:39","longTask","3566.60000000149","3741.60000000149","175","self","-1","-1","-1"
"15","http://localhost:8080/","2024-12-16","06:35:39","longTask","3835.699999999255","3940.699999999255","105","self","-1","-1","-1"
"16","http://localhost:8080/","2024-12-16","06:35:49","LCP","1137.9000000022352","1258.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2024-12-16","06:35:49","longTask","1132.5","1226.5","94","unknown","-1","-1","-1"
"16","http://localhost:8080/","2024-12-16","06:35:49","longTask","3575.2000000029802","3751.2000000029802","176","self","-1","-1","-1"
"16","http://localhost:8080/","2024-12-16","06:35:49","longTask","3845.60000000149","3949.60000000149","104","self","-1","-1","-1"
"17","http://localhost:8080/","2024-12-16","06:35:58","LCP","1129.0999999977648","1239.699999999255","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2024-12-16","06:35:58","longTask","1122.7999999970198","1214.7999999970198","92","unknown","-1","-1","-1"
"17","http://localhost:8080/","2024-12-16","06:35:58","longTask","3559","3738","179","self","-1","-1","-1"
"17","http://localhost:8080/","2024-12-16","06:35:58","longTask","3837.39999999851","3938.39999999851","101","self","-1","-1","-1"
"18","http://localhost:8080/","2024-12-16","06:36:08","LCP","1135.9000000022352","1252.4000000022352","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2024-12-16","06:36:08","longTask","1128","1221","93","unknown","-1","-1","-1"
