idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-16","08:49:38","LCP","375.19999999552965","394","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2024-12-16","08:49:44","LCP","123.70000000298023","143.20000000298023","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2024-12-16","08:49:49","LCP","118.70000000298023","145.30000000447035","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2024-12-16","08:49:55","LCP","123.39999999850988","143.89999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2024-12-16","08:50:00","LCP","124.79999999701977","146.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2024-12-16","08:50:06","LCP","120","139.69999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2024-12-16","08:50:12","LCP","120.39999999850988","146.89999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2024-12-16","08:50:17","LCP","124.70000000298023","144.39999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2024-12-16","08:50:23","LCP","118.80000000447035","143.60000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2024-12-16","08:50:28","LCP","131.10000000149012","151","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2024-12-16","08:50:34","LCP","120","139.69999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2024-12-16","08:50:40","LCP","116.79999999701977","141.89999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2024-12-16","08:50:45","LCP","122.5","146.29999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2024-12-16","08:50:51","LCP","115.89999999850988","136.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2024-12-16","08:50:56","LCP","116.29999999701977","142.69999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2024-12-16","08:51:02","LCP","117.79999999701977","144.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2024-12-16","08:51:08","LCP","112","137.69999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2024-12-16","08:51:13","LCP","120.90000000596046","146.10000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"19","http://localhost:8080/","2024-12-16","08:51:19","LCP","110.90000000596046","137.90000000596046","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"20","http://localhost:8080/","2024-12-16","08:51:24","LCP","117.29999999701977","136.69999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"21","http://localhost:8080/","2024-12-16","08:51:30","LCP","115.40000000596046","143.20000000298023","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2024-12-16","08:51:36","LCP","113.19999999552965","132.89999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"23","http://localhost:8080/","2024-12-16","08:51:41","LCP","113","136.89999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"24","http://localhost:8080/","2024-12-16","08:51:47","LCP","112.89999999850988","135.29999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"25","http://localhost:8080/","2024-12-16","08:51:52","LCP","108.20000000298023","135.60000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"26","http://localhost:8080/","2024-12-16","08:51:58","LCP","107.70000000298023","131.39999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"27","http://localhost:8080/","2024-12-16","08:52:04","LCP","114.69999999552965","141.19999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"28","http://localhost:8080/","2024-12-16","08:52:09","LCP","118.70000000298023","138.70000000298023","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"29","http://localhost:8080/","2024-12-16","08:52:15","LCP","111.29999999701977","137","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"30","http://localhost:8080/","2024-12-16","08:52:20","LCP","114.70000000298023","135.30000000447035","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"31","http://localhost:8080/","2024-12-16","08:52:26","LCP","111.20000000298023","130.70000000298023","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"32","http://localhost:8080/","2024-12-16","08:52:32","LCP","114.60000000149012","134.60000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"33","http://localhost:8080/","2024-12-16","08:52:37","LCP","117.20000000298023","142.80000000447035","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"34","http://localhost:8080/","2024-12-16","08:52:43","LCP","108.60000000149012","128.29999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
