idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-16","11:15:17","LCP","4918.60000000149","4939.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/","2024-12-16","11:15:17","longTask","1114.2999999970198","1227.2999999970198","113","unknown","-1","-1","-1"
"1","http://localhost:8080/","2024-12-16","11:15:17","longTask","4001.60000000149","4239.60000000149","238","self","-1","-1","-1"
"1","http://localhost:8080/","2024-12-16","11:15:17","longTask","4244.39999999851","4345.39999999851","101","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-16","11:15:26","LCP","4797.5","4813.89999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/","2024-12-16","11:15:26","longTask","1084.8999999985099","1170.8999999985099","86","unknown","-1","-1","-1"
"2","http://localhost:8080/","2024-12-16","11:15:26","longTask","3908.2000000029802","4126.20000000298","218","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-16","11:15:26","longTask","4130.60000000149","4224.60000000149","94","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-16","11:15:36","LCP","4699.29999999702","4715.60000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2024-12-16","11:15:36","longTask","1091.7999999970198","1172.7999999970198","81","unknown","-1","-1","-1"
"3","http://localhost:8080/","2024-12-16","11:15:36","longTask","3882.2999999970198","4110.29999999702","228","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-16","11:15:36","longTask","4148.20000000298","4241.20000000298","93","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-16","11:15:46","LCP","4684.79999999702","4704.29999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/","2024-12-16","11:15:46","longTask","1084.5","1165.5","81","unknown","-1","-1","-1"
"4","http://localhost:8080/","2024-12-16","11:15:46","longTask","3875.5999999940395","4100.5999999940395","225","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-16","11:15:46","longTask","4138.69999999553","4229.69999999553","91","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-16","11:15:56","LCP","4678.10000000149","4699.70000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/","2024-12-16","11:15:56","longTask","1091.3999999985099","1167.3999999985099","76","unknown","-1","-1","-1"
"5","http://localhost:8080/","2024-12-16","11:15:56","longTask","3871.10000000149","4088.10000000149","217","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-16","11:15:56","longTask","4127.39999999851","4216.39999999851","89","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-16","11:16:06","LCP","4675.80000000447","4690.80000000447","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/","2024-12-16","11:16:06","longTask","1094.6000000014901","1170.6000000014901","76","unknown","-1","-1","-1"
"6","http://localhost:8080/","2024-12-16","11:16:06","longTask","3865.2000000029802","4087.2000000029802","222","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-16","11:16:06","longTask","4123.5","4215.5","92","self","-1","-1","-1"
"7","http://localhost:8080/","2024-12-16","11:16:15","LCP","4684.4000000059605","4697.60000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/","2024-12-16","11:16:15","longTask","1081","1163","82","unknown","-1","-1","-1"
"7","http://localhost:8080/","2024-12-16","11:16:15","longTask","3872.4000000059605","4095.4000000059605","223","self","-1","-1","-1"
"7","http://localhost:8080/","2024-12-16","11:16:15","longTask","4135.20000000298","4231.20000000298","96","self","-1","-1","-1"
"8","http://localhost:8080/","2024-12-16","11:16:25","LCP","4797.5","4817.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/","2024-12-16","11:16:25","longTask","1083.6999999955297","1163.6999999955297","80","unknown","-1","-1","-1"
"8","http://localhost:8080/","2024-12-16","11:16:25","longTask","3899.60000000149","4123.60000000149","224","self","-1","-1","-1"
"8","http://localhost:8080/","2024-12-16","11:16:25","longTask","4129.39999999851","4222.39999999851","93","self","-1","-1","-1"
"9","http://localhost:8080/","2024-12-16","11:16:35","LCP","4712.89999999851","4733.19999999553","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/","2024-12-16","11:16:35","longTask","1083.6000000014901","1166.6000000014901","83","unknown","-1","-1","-1"
