idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-16","19:48:36","LCP","6636.4000000059605","6651.4000000059605","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/","2024-12-16","19:48:36","longTask","1110.300000011921","1217.300000011921","107","unknown","-1","-1","-1"
"1","http://localhost:8080/","2024-12-16","19:48:36","longTask","5622.9000000059605","5860.9000000059605","238","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-16","19:48:48","LCP","6493.29999999702","6511.399999991059","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/","2024-12-16","19:48:48","longTask","1085.5999999940395","1167.5999999940395","82","unknown","-1","-1","-1"
"2","http://localhost:8080/","2024-12-16","19:48:48","longTask","5496","5732","236","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-16","19:48:59","LCP","6478.0999999940395","6498","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2024-12-16","19:48:59","longTask","1085.0999999940395","1172.0999999940395","87","unknown","-1","-1","-1"
"3","http://localhost:8080/","2024-12-16","19:48:59","longTask","5498.5999999940395","5726.5999999940395","228","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-16","19:49:10","LCP","6506.699999988079","6527","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/","2024-12-16","19:49:10","longTask","1083.7999999970198","1161.7999999970198","78","unknown","-1","-1","-1"
"4","http://localhost:8080/","2024-12-16","19:49:10","longTask","5506.899999991059","5742.899999991059","236","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-16","19:49:21","LCP","6471","6486.0999999940395","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/","2024-12-16","19:49:21","longTask","1084.5999999940395","1165.5999999940395","81","unknown","-1","-1","-1"
"5","http://localhost:8080/","2024-12-16","19:49:21","longTask","5483.79999999702","5718.79999999702","235","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-16","19:49:33","LCP","6499.899999991059","6515.899999991059","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/","2024-12-16","19:49:33","longTask","1087.0999999940395","1168.0999999940395","81","unknown","-1","-1","-1"
"6","http://localhost:8080/","2024-12-16","19:49:33","longTask","5507","5745","238","self","-1","-1","-1"
"7","http://localhost:8080/","2024-12-16","19:49:44","LCP","6500.100000008941","6514.20000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/","2024-12-16","19:49:44","longTask","1083.6000000089407","1168.6000000089407","85","unknown","-1","-1","-1"
"7","http://localhost:8080/","2024-12-16","19:49:44","longTask","5504.600000008941","5739.600000008941","235","self","-1","-1","-1"
"8","http://localhost:8080/","2024-12-16","19:49:55","LCP","6507.899999991059","6520.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/","2024-12-16","19:49:55","longTask","1083.7999999970198","1165.7999999970198","82","unknown","-1","-1","-1"
"8","http://localhost:8080/","2024-12-16","19:49:55","longTask","5509","5744","235","self","-1","-1","-1"
"9","http://localhost:8080/","2024-12-16","19:50:07","LCP","6506.70000000298","6527","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/","2024-12-16","19:50:07","longTask","1094","1178","84","unknown","-1","-1","-1"
"9","http://localhost:8080/","2024-12-16","19:50:07","longTask","5515.5999999940395","5751.5999999940395","236","self","-1","-1","-1"
"10","http://localhost:8080/","2024-12-16","19:50:18","LCP","6515.20000000298","6534","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"10","http://localhost:8080/","2024-12-16","19:50:18","longTask","1101.4000000059605","1183.4000000059605","82","unknown","-1","-1","-1"
"10","http://localhost:8080/","2024-12-16","19:50:18","longTask","5529.4000000059605","5771.4000000059605","242","self","-1","-1","-1"
"11","http://localhost:8080/","2024-12-16","19:50:29","LCP","6507.800000011921","6528.800000011921","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"11","http://localhost:8080/","2024-12-16","19:50:29","longTask","1093.6000000089407","1176.6000000089407","83","unknown","-1","-1","-1"
"11","http://localhost:8080/","2024-12-16","19:50:29","longTask","5511.9000000059605","5757.9000000059605","246","self","-1","-1","-1"
"12","http://localhost:8080/","2024-12-16","19:50:41","LCP","6494","6507.9000000059605","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"12","http://localhost:8080/","2024-12-16","19:50:41","longTask","1085.7999999970198","1169.7999999970198","84","unknown","-1","-1","-1"
"12","http://localhost:8080/","2024-12-16","19:50:41","longTask","5499.9000000059605","5731.9000000059605","232","self","-1","-1","-1"
"13","http://localhost:8080/","2024-12-16","19:50:52","LCP","6506.100000008941","6525","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"13","http://localhost:8080/","2024-12-16","19:50:52","longTask","1086","1168","82","unknown","-1","-1","-1"
"13","http://localhost:8080/","2024-12-16","19:50:52","longTask","5512.79999999702","5746.79999999702","234","self","-1","-1","-1"
"14","http://localhost:8080/","2024-12-16","19:51:03","LCP","6492.20000000298","6506.70000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"14","http://localhost:8080/","2024-12-16","19:51:03","longTask","1084.5999999940395","1170.5999999940395","86","unknown","-1","-1","-1"
"14","http://localhost:8080/","2024-12-16","19:51:03","longTask","5498.4000000059605","5734.4000000059605","236","self","-1","-1","-1"
"15","http://localhost:8080/","2024-12-16","19:51:15","LCP","6509.20000000298","6523.20000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"15","http://localhost:8080/","2024-12-16","19:51:15","longTask","1090.7000000029802","1173.7000000029802","83","unknown","-1","-1","-1"
"15","http://localhost:8080/","2024-12-16","19:51:15","longTask","5519.9000000059605","5756.9000000059605","237","self","-1","-1","-1"
"16","http://localhost:8080/","2024-12-16","19:51:26","LCP","6494.0999999940395","6517.5999999940395","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"16","http://localhost:8080/","2024-12-16","19:51:26","longTask","1094.4000000059605","1175.4000000059605","81","unknown","-1","-1","-1"
"16","http://localhost:8080/","2024-12-16","19:51:26","longTask","5507.70000000298","5733.70000000298","226","self","-1","-1","-1"
"17","http://localhost:8080/","2024-12-16","19:51:37","LCP","6502.4000000059605","6522.4000000059605","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"17","http://localhost:8080/","2024-12-16","19:51:37","longTask","1090.5","1175.5","85","unknown","-1","-1","-1"
"17","http://localhost:8080/","2024-12-16","19:51:37","longTask","5517.79999999702","5753.79999999702","236","self","-1","-1","-1"
"18","http://localhost:8080/","2024-12-16","19:51:49","LCP","6493.0999999940395","6513.199999988079","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"18","http://localhost:8080/","2024-12-16","19:51:49","longTask","1091.699999988079","1179.699999988079","88","unknown","-1","-1","-1"
"18","http://localhost:8080/","2024-12-16","19:51:49","longTask","5506.699999988079","5744.699999988079","238","self","-1","-1","-1"
"19","http://localhost:8080/","2024-12-16","19:52:00","LCP","6494.29999999702","6508.70000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"19","http://localhost:8080/","2024-12-16","19:52:00","longTask","1084.2999999970198","1167.2999999970198","83","unknown","-1","-1","-1"
"19","http://localhost:8080/","2024-12-16","19:52:00","longTask","5496.600000008941","5730.600000008941","234","self","-1","-1","-1"
"20","http://localhost:8080/","2024-12-16","19:52:11","LCP","6500.70000000298","6517.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"20","http://localhost:8080/","2024-12-16","19:52:11","longTask","1086.5","1167.5","81","unknown","-1","-1","-1"
"20","http://localhost:8080/","2024-12-16","19:52:11","longTask","5508.100000008941","5746.100000008941","238","self","-1","-1","-1"
"21","http://localhost:8080/","2024-12-16","19:52:23","LCP","6494.79999999702","6515.79999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"21","http://localhost:8080/","2024-12-16","19:52:23","longTask","1076.5999999940395","1159.5999999940395","83","unknown","-1","-1","-1"
"21","http://localhost:8080/","2024-12-16","19:52:23","longTask","5497.4000000059605","5735.4000000059605","238","self","-1","-1","-1"
"22","http://localhost:8080/","2024-12-16","19:52:34","LCP","6509.20000000298","6523.79999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
