idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-16","17:03:00","LCP","6098.19999999553","6119.19999999553","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/","2024-12-16","17:03:00","longTask","5242.5","5335.5","93","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-16","17:03:11","LCP","6041.89999999851","6058.39999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/","2024-12-16","17:03:11","longTask","5205.89999999851","5295.89999999851","90","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-16","17:03:22","LCP","6033.60000000149","6049.29999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2024-12-16","17:03:22","longTask","5192.19999999553","5279.19999999553","87","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-16","17:03:33","LCP","6019.89999999851","6038.30000000447","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/","2024-12-16","17:03:33","longTask","5185.70000000298","5272.70000000298","87","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-16","17:03:43","LCP","6042","6057.29999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/","2024-12-16","17:03:43","longTask","5193.19999999553","5283.19999999553","90","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-16","17:03:54","LCP","6034.5","6050.0999999940395","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/","2024-12-16","17:03:54","longTask","5199.39999999851","5288.39999999851","89","self","-1","-1","-1"
"7","http://localhost:8080/","2024-12-16","17:04:05","LCP","6040.20000000298","6059.89999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/","2024-12-16","17:04:05","longTask","5205.70000000298","5290.70000000298","85","self","-1","-1","-1"
"8","http://localhost:8080/","2024-12-16","17:04:16","LCP","6041.80000000447","6054.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/","2024-12-16","17:04:16","longTask","5197.5","5285.5","88","self","-1","-1","-1"
"9","http://localhost:8080/","2024-12-16","17:04:27","LCP","6040.69999999553","6056.39999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/","2024-12-16","17:04:27","longTask","5198.79999999702","5286.79999999702","88","self","-1","-1","-1"
"10","http://localhost:8080/","2024-12-16","17:04:38","LCP","6041.30000000447","6061.4000000059605","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"10","http://localhost:8080/","2024-12-16","17:04:38","longTask","5197.4000000059605","5285.4000000059605","88","self","-1","-1","-1"
"11","http://localhost:8080/","2024-12-16","17:04:48","LCP","6026.80000000447","6047.20000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"11","http://localhost:8080/","2024-12-16","17:04:48","longTask","5191","5277","86","self","-1","-1","-1"
"12","http://localhost:8080/","2024-12-16","17:04:59","LCP","6027.29999999702","6041.60000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"12","http://localhost:8080/","2024-12-16","17:04:59","longTask","5193.5","5281.5","88","self","-1","-1","-1"
"13","http://localhost:8080/","2024-12-16","17:05:10","LCP","6028.20000000298","6046.39999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"13","http://localhost:8080/","2024-12-16","17:05:10","longTask","5192.39999999851","5283.39999999851","91","self","-1","-1","-1"
"14","http://localhost:8080/","2024-12-16","17:05:21","LCP","6042","6059.79999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"14","http://localhost:8080/","2024-12-16","17:05:21","longTask","5206.79999999702","5293.79999999702","87","self","-1","-1","-1"
"15","http://localhost:8080/","2024-12-16","17:05:32","LCP","6021.70000000298","6036.80000000447","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"15","http://localhost:8080/","2024-12-16","17:05:32","longTask","5186.20000000298","5272.20000000298","86","self","-1","-1","-1"
"16","http://localhost:8080/","2024-12-16","17:05:42","LCP","6046.79999999702","6063.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"16","http://localhost:8080/","2024-12-16","17:05:42","longTask","5190.10000000149","5282.10000000149","92","self","-1","-1","-1"
"17","http://localhost:8080/","2024-12-16","17:05:53","LCP","6048.79999999702","6069.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"17","http://localhost:8080/","2024-12-16","17:05:53","longTask","5206","5294","88","self","-1","-1","-1"
"18","http://localhost:8080/","2024-12-16","17:06:04","LCP","6062.89999999851","6079.0999999940395","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"18","http://localhost:8080/","2024-12-16","17:06:04","longTask","5214.69999999553","5305.69999999553","91","self","-1","-1","-1"
"19","http://localhost:8080/","2024-12-16","17:06:15","LCP","6048.30000000447","6063.80000000447","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"19","http://localhost:8080/","2024-12-16","17:06:15","longTask","5212.10000000149","5300.10000000149","88","self","-1","-1","-1"
"20","http://localhost:8080/","2024-12-16","17:06:26","LCP","6034.79999999702","6053.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"20","http://localhost:8080/","2024-12-16","17:06:26","longTask","5199.69999999553","5286.69999999553","87","self","-1","-1","-1"
"21","http://localhost:8080/","2024-12-16","17:06:37","LCP","6041.70000000298","6057.70000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"21","http://localhost:8080/","2024-12-16","17:06:37","longTask","5199.39999999851","5286.39999999851","87","self","-1","-1","-1"
"22","http://localhost:8080/","2024-12-16","17:06:47","LCP","6048.10000000149","6068.60000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"22","http://localhost:8080/","2024-12-16","17:06:47","longTask","5215.60000000149","5303.60000000149","88","self","-1","-1","-1"
"23","http://localhost:8080/","2024-12-16","17:06:58","LCP","6041.10000000149","6057.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"23","http://localhost:8080/","2024-12-16","17:06:58","longTask","5197.9000000059605","5287.9000000059605","90","self","-1","-1","-1"
"24","http://localhost:8080/","2024-12-16","17:07:09","LCP","6055.80000000447","6071.9000000059605","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"24","http://localhost:8080/","2024-12-16","17:07:09","longTask","5221.20000000298","5311.20000000298","90","self","-1","-1","-1"
"25","http://localhost:8080/","2024-12-16","17:07:20","LCP","6041.30000000447","6055.80000000447","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"25","http://localhost:8080/","2024-12-16","17:07:20","longTask","5206.10000000149","5294.10000000149","88","self","-1","-1","-1"
"26","http://localhost:8080/","2024-12-16","17:07:31","LCP","6048.89999999851","6069.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"26","http://localhost:8080/","2024-12-16","17:07:31","longTask","5194.19999999553","5284.19999999553","90","self","-1","-1","-1"
"27","http://localhost:8080/","2024-12-16","17:07:42","LCP","6056.20000000298","6076.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"27","http://localhost:8080/","2024-12-16","17:07:42","longTask","5204.4000000059605","5295.4000000059605","91","self","-1","-1","-1"
"28","http://localhost:8080/","2024-12-16","17:07:52","LCP","6054.79999999702","6070.89999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"28","http://localhost:8080/","2024-12-16","17:07:52","longTask","5220.5","5312.5","92","self","-1","-1","-1"
"29","http://localhost:8080/","2024-12-16","17:08:03","LCP","6069.39999999851","6085.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"29","http://localhost:8080/","2024-12-16","17:08:03","longTask","5225.60000000149","5311.60000000149","86","self","-1","-1","-1"
"30","http://localhost:8080/","2024-12-16","17:08:14","LCP","6093.29999999702","6113","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"30","http://localhost:8080/","2024-12-16","17:08:14","longTask","5255.69999999553","5344.69999999553","89","self","-1","-1","-1"
"31","http://localhost:8080/","2024-12-16","17:08:25","LCP","6055.30000000447","6075.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"31","http://localhost:8080/","2024-12-16","17:08:25","longTask","5218.60000000149","5304.60000000149","86","self","-1","-1","-1"
"32","http://localhost:8080/","2024-12-16","17:08:36","LCP","6092.5","6112.89999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"32","http://localhost:8080/","2024-12-16","17:08:36","longTask","5250.70000000298","5336.70000000298","86","self","-1","-1","-1"
"33","http://localhost:8080/","2024-12-16","17:08:47","LCP","6069","6084.39999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"33","http://localhost:8080/","2024-12-16","17:08:47","longTask","5226.89999999851","5313.89999999851","87","self","-1","-1","-1"
"34","http://localhost:8080/","2024-12-16","17:08:58","LCP","6084.29999999702","6104","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"34","http://localhost:8080/","2024-12-16","17:08:58","longTask","5233.5","5322.5","89","self","-1","-1","-1"
"35","http://localhost:8080/","2024-12-16","17:09:08","LCP","6070.5","6086.19999999553","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"35","http://localhost:8080/","2024-12-16","17:09:08","longTask","5234.69999999553","5320.69999999553","86","self","-1","-1","-1"
"36","http://localhost:8080/","2024-12-16","17:09:19","LCP","6092.5","6109.79999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"36","http://localhost:8080/","2024-12-16","17:09:19","longTask","5229.10000000149","5319.10000000149","90","self","-1","-1","-1"
"37","http://localhost:8080/","2024-12-16","17:09:30","LCP","6072.29999999702","6085.39999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"37","http://localhost:8080/","2024-12-16","17:09:30","longTask","5222.60000000149","5312.60000000149","90","self","-1","-1","-1"
"38","http://localhost:8080/","2024-12-16","17:09:41","LCP","6093.39999999851","6110.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"38","http://localhost:8080/","2024-12-16","17:09:41","longTask","5247.19999999553","5333.19999999553","86","self","-1","-1","-1"
"39","http://localhost:8080/","2024-12-16","17:09:52","LCP","6106.19999999553","6125.19999999553","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"39","http://localhost:8080/","2024-12-16","17:09:52","longTask","5244.19999999553","5333.19999999553","89","self","-1","-1","-1"
"40","http://localhost:8080/","2024-12-16","17:10:03","LCP","6062.70000000298","6078.30000000447","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"40","http://localhost:8080/","2024-12-16","17:10:03","longTask","5228.10000000149","5316.10000000149","88","self","-1","-1","-1"
"41","http://localhost:8080/","2024-12-16","17:10:14","LCP","6086.60000000149","6102.39999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"41","http://localhost:8080/","2024-12-16","17:10:14","longTask","5248.29999999702","5336.29999999702","88","self","-1","-1","-1"
"42","http://localhost:8080/","2024-12-16","17:10:24","LCP","6099.20000000298","6117.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"42","http://localhost:8080/","2024-12-16","17:10:24","longTask","5258.70000000298","5343.70000000298","85","self","-1","-1","-1"
"43","http://localhost:8080/","2024-12-16","17:10:35","LCP","6104.79999999702","6117.69999999553","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"43","http://localhost:8080/","2024-12-16","17:10:35","longTask","5242.89999999851","5331.89999999851","89","self","-1","-1","-1"
"44","http://localhost:8080/","2024-12-16","17:10:46","LCP","6063.5","6079.19999999553","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"44","http://localhost:8080/","2024-12-16","17:10:46","longTask","5219.19999999553","5306.19999999553","87","self","-1","-1","-1"
"45","http://localhost:8080/","2024-12-16","17:10:57","LCP","6090.60000000149","6109.39999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"45","http://localhost:8080/","2024-12-16","17:10:57","longTask","5248.29999999702","5335.29999999702","87","self","-1","-1","-1"
"46","http://localhost:8080/","2024-12-16","17:11:08","LCP","6092.89999999851","6109.70000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"46","http://localhost:8080/","2024-12-16","17:11:08","longTask","5230.79999999702","5319.79999999702","89","self","-1","-1","-1"
"47","http://localhost:8080/","2024-12-16","17:11:19","LCP","6083.19999999553","6101.79999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"47","http://localhost:8080/","2024-12-16","17:11:19","longTask","5226.79999999702","5316.79999999702","90","self","-1","-1","-1"
"48","http://localhost:8080/","2024-12-16","17:11:30","LCP","6076.10000000149","6089","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"48","http://localhost:8080/","2024-12-16","17:11:30","longTask","5240.10000000149","5329.10000000149","89","self","-1","-1","-1"
"49","http://localhost:8080/","2024-12-16","17:11:41","LCP","6068.69999999553","6085.69999999553","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"49","http://localhost:8080/","2024-12-16","17:11:41","longTask","5219.79999999702","5306.79999999702","87","self","-1","-1","-1"
"50","http://localhost:8080/","2024-12-16","17:11:51","LCP","6120.69999999553","6137.89999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"50","http://localhost:8080/","2024-12-16","17:11:51","longTask","5257.60000000149","5348.60000000149","91","self","-1","-1","-1"
