idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-17","11:24:55","557","5524","1412.9000000003725","1412.9000000003725","589.5","25","5487.5","1","75","1700.9000000003725","1908.800000000745","5515.5999999996275",""
"2","http://localhost:8080/","2024-12-17","11:25:06","329","5275","1171.7999999988824","1171.7999999988824","361.5","42","5264.5999999996275","1","92","1465.7999999988824","1672.0999999996275","5269.4000000003725",""
"3","http://localhost:8080/","2024-12-17","11:25:17","327","5284","1179.9000000003725","1179.9000000003725","362.30000000074506","43","5275.700000001118","1","93","1479.800000000745","1686.2000000011176","5279.5999999996275",""
"4","http://localhost:8080/","2024-12-17","11:25:28","336","5293","1192.4000000003725","1192.4000000003725","368.7999999988824","40","5283.299999998882","1","90","1479.9000000003725","1687.2999999988824","5288.199999999255",""
"5","http://localhost:8080/","2024-12-17","11:25:39","321","5278","1172.9000000003725","1172.9000000003725","355","21","5248.199999999255","1","71","1466.2999999988824","1673.7999999988824","5273",""
"6","http://localhost:8080/","2024-12-17","11:25:50","328","5278","1182.7999999988824","1182.7999999988824","362","41","5269.199999999255","1","91","1472.699999999255","1681.0999999996275","5273.199999999255",""
"7","http://localhost:8080/","2024-12-17","11:26:00","328","5278","1175.0999999996275","1175.0999999996275","362.59999999962747","20","5246.39999999851","1","70","1465.5999999996275","1673.3999999985099","5271.5",""
"8","http://localhost:8080/","2024-12-17","11:26:11","327","5286","1187.0999999996275","1187.0999999996275","362.2000000011176","42","5276","1","92","1474.7000000011176","1686.7000000011176","5280.700000001118",""
"9","http://localhost:8080/","2024-12-17","11:26:22","321","5278","1169.199999999255","1169.199999999255","354.30000000074506","41","5267.9000000003725","1","91","1466.5999999996275","1672.5","5272.0999999996275",""
"10","http://localhost:8080/","2024-12-17","11:26:33","321","5279","1174.0999999996275","1174.0999999996275","354.5","41","5269","1","91","1465.7999999988824","1674.0999999996275","5274",""
"11","http://localhost:8080/","2024-12-17","11:26:44","328","5287","1180.2999999988824","1180.2999999988824","362.40000000037253","20","5257.299999998882","1","70","1474.9000000003725","1681.699999999255","5282.199999999255",""
"12","http://localhost:8080/","2024-12-17","11:26:54","328","5279","1173.800000000745","1173.800000000745","361.40000000037253","19","5247.5","1","69","1465.1000000014901","1672.5","5272.700000001118",""
