idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2025-1-10","09:20:43","LCP","373.79999999981374","414","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2025-1-10","09:20:49","LCP","126.1999999997206","166.60000000009313","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2025-1-10","09:20:54","LCP","135.89999999990687","155.60000000009313","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2025-1-10","09:21:00","LCP","133.1999999997206","153.79999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2025-1-10","09:21:06","LCP","129.29999999981374","150.79999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2025-1-10","09:21:11","LCP","129.89999999990687","152.79999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2025-1-10","09:21:17","LCP","131.10000000009313","157.1999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2025-1-10","09:21:22","LCP","125.1999999997206","147.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2025-1-10","09:21:28","LCP","129.6999999997206","149.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2025-1-10","09:21:34","LCP","125.79999999981374","153.09999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2025-1-10","09:21:39","LCP","127.89999999990687","153.39999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2025-1-10","09:21:45","LCP","133.09999999962747","152.6999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2025-1-10","09:21:50","LCP","128.89999999990687","156.39999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2025-1-10","09:21:56","LCP","132.10000000009313","151.89999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2025-1-10","09:22:01","LCP","129.5","157.40000000037253","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2025-1-10","09:22:07","LCP","126.8000000002794","148.89999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2025-1-10","09:22:13","LCP","122.29999999981374","142.59999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2025-1-10","09:22:18","LCP","129","149.39999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"19","http://localhost:8080/","2025-1-10","09:22:24","LCP","119.29999999981374","140.89999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"20","http://localhost:8080/","2025-1-10","09:22:29","LCP","123.60000000009313","143.1999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"21","http://localhost:8080/","2025-1-10","09:22:35","LCP","125.5","153.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2025-1-10","09:22:41","LCP","124.70000000018626","150.10000000009313","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"23","http://localhost:8080/","2025-1-10","09:22:46","LCP","126.10000000009313","153.1999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"24","http://localhost:8080/","2025-1-10","09:22:52","LCP","129","152.1999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"25","http://localhost:8080/","2025-1-10","09:22:57","LCP","122.10000000009313","144.20000000018626","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"26","http://localhost:8080/","2025-1-10","09:23:03","LCP","124.5","146.6999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"27","http://localhost:8080/","2025-1-10","09:23:09","LCP","126.39999999990687","150.39999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"28","http://localhost:8080/","2025-1-10","09:23:14","LCP","120.89999999990687","145.60000000009313","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"29","http://localhost:8080/","2025-1-10","09:23:20","LCP","122.3000000002794","146.89999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"30","http://localhost:8080/","2025-1-10","09:23:25","LCP","126.20000000018626","152.10000000009313","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"31","http://localhost:8080/","2025-1-10","09:23:31","LCP","123","143.39999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"32","http://localhost:8080/","2025-1-10","09:23:37","LCP","141","166.8000000002794","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"33","http://localhost:8080/","2025-1-10","09:23:42","LCP","118.29999999981374","138.1999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"34","http://localhost:8080/","2025-1-10","09:23:48","LCP","122.1999999997206","150.09999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"35","http://localhost:8080/","2025-1-10","09:23:53","LCP","123.20000000018626","142.8000000002794","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"36","http://localhost:8080/","2025-1-10","09:23:59","LCP","127.60000000009313","149.8000000002794","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"37","http://localhost:8080/","2025-1-10","09:24:05","LCP","118.39999999990687","145.6999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"38","http://localhost:8080/","2025-1-10","09:24:10","LCP","120.3000000002794","148.20000000018626","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"39","http://localhost:8080/","2025-1-10","09:24:16","LCP","123.29999999981374","144.89999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"40","http://localhost:8080/","2025-1-10","09:24:21","LCP","121.29999999981374","145.1999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"41","http://localhost:8080/","2025-1-10","09:24:27","LCP","118.20000000018626","145.20000000018626","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"42","http://localhost:8080/","2025-1-10","09:24:33","LCP","116.10000000009313","139.89999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"43","http://localhost:8080/","2025-1-10","09:24:38","LCP","118","145.39999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"44","http://localhost:8080/","2025-1-10","09:24:44","LCP","120.29999999981374","140.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"45","http://localhost:8080/","2025-1-10","09:24:49","LCP","124.10000000009313","144.6999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"46","http://localhost:8080/","2025-1-10","09:24:55","LCP","121","147.90000000037253","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"47","http://localhost:8080/","2025-1-10","09:25:01","LCP","122.20000000018626","145.3000000002794","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"48","http://localhost:8080/","2025-1-10","09:25:06","LCP","119.29999999981374","139.59999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"49","http://localhost:8080/","2025-1-10","09:25:12","LCP","128","154.3000000002794","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"50","http://localhost:8080/","2025-1-10","09:25:17","LCP","121.29999999981374","140.89999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"51","http://localhost:8080/","2025-1-10","09:25:23","LCP","119.39999999990687","139.10000000009313","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"52","http://localhost:8080/","2025-1-10","09:25:29","LCP","124.3000000002794","151.39999999990687","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"53","http://localhost:8080/","2025-1-10","09:25:34","LCP","121.10000000009313","145.10000000009313","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"54","http://localhost:8080/","2025-1-10","09:25:40","LCP","122.60000000009313","142.29999999981374","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"55","http://localhost:8080/","2025-1-10","09:25:45","LCP","117.29999999981374","137.10000000009313","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"56","http://localhost:8080/","2025-1-10","09:25:51","LCP","124.10000000009313","146.6999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"57","http://localhost:8080/","2025-1-10","09:25:57","LCP","122.09999999962747","141.6999999997206","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"58","http://localhost:8080/","2025-1-10","09:26:02","LCP","122.89999999990687","142.60000000009313","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"59","http://localhost:8080/","2025-1-10","09:26:08","LCP","120","143.09999999962747","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"60","http://localhost:8080/","2025-1-10","09:26:13","LCP","120.10000000009313","146.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"61","http://localhost:8080/","2025-1-10","09:26:19","LCP","120.6999999997206","145","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
