idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2025-1-2","20:35:18","LCP","4760.80000000447","4779.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/","2025-1-2","20:35:18","longTask","957","1076","119","unknown","-1","-1","-1"
"1","http://localhost:8080/","2025-1-2","20:35:18","longTask","3865.5","4103.5","238","self","-1","-1","-1"
"1","http://localhost:8080/","2025-1-2","20:35:18","longTask","4107.80000000447","4208.80000000447","101","self","-1","-1","-1"
"2","http://localhost:8080/","2025-1-2","20:35:27","LCP","4532.69999999553","4547.60000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/","2025-1-2","20:35:27","longTask","935.6999999955297","1012.6999999955297","77","unknown","-1","-1","-1"
"2","http://localhost:8080/","2025-1-2","20:35:27","longTask","3720.1999999955297","3945.1999999955297","225","self","-1","-1","-1"
"2","http://localhost:8080/","2025-1-2","20:35:27","longTask","3982.39999999851","4077.39999999851","95","self","-1","-1","-1"
"3","http://localhost:8080/","2025-1-2","20:35:37","LCP","4741.30000000447","4759.4000000059605","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2025-1-2","20:35:37","longTask","936.2000000029802","1017.2000000029802","81","unknown","-1","-1","-1"
"3","http://localhost:8080/","2025-1-2","20:35:37","longTask","3742.3000000044703","3979.3000000044703","237","self","-1","-1","-1"
"3","http://localhost:8080/","2025-1-2","20:35:37","longTask","4028.60000000149","4115.60000000149","87","self","-1","-1","-1"
"4","http://localhost:8080/","2025-1-2","20:35:47","LCP","4524.9000000059605","4544.9000000059605","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/","2025-1-2","20:35:47","longTask","927.7000000029802","1007.7000000029802","80","unknown","-1","-1","-1"
"4","http://localhost:8080/","2025-1-2","20:35:47","longTask","3719.7000000029802","3945.7000000029802","226","self","-1","-1","-1"
"4","http://localhost:8080/","2025-1-2","20:35:47","longTask","3985.2000000029802","4077.2000000029802","92","self","-1","-1","-1"
"5","http://localhost:8080/","2025-1-2","20:35:56","LCP","4769.19999999553","4791.19999999553","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/","2025-1-2","20:35:56","longTask","939.7999999970198","1029.7999999970198","90","unknown","-1","-1","-1"
"5","http://localhost:8080/","2025-1-2","20:35:56","longTask","3776.7999999970198","4008.7999999970198","232","self","-1","-1","-1"
"5","http://localhost:8080/","2025-1-2","20:35:56","longTask","4024.5","4112.5","88","self","-1","-1","-1"
"6","http://localhost:8080/","2025-1-2","20:36:06","LCP","4513.70000000298","4534.79999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/","2025-1-2","20:36:06","longTask","934.2000000029802","1014.2000000029802","80","unknown","-1","-1","-1"
"6","http://localhost:8080/","2025-1-2","20:36:06","longTask","3729","3956","227","self","-1","-1","-1"
"6","http://localhost:8080/","2025-1-2","20:36:06","longTask","3995.2000000029802","4086.2000000029802","91","self","-1","-1","-1"
"7","http://localhost:8080/","2025-1-2","20:36:16","LCP","4534.4000000059605","4548.4000000059605","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/","2025-1-2","20:36:16","longTask","920.1000000014901","1003.1000000014901","83","unknown","-1","-1","-1"
"7","http://localhost:8080/","2025-1-2","20:36:16","longTask","3720.60000000149","3947.60000000149","227","self","-1","-1","-1"
"7","http://localhost:8080/","2025-1-2","20:36:16","longTask","3985.2000000029802","4079.2000000029802","94","self","-1","-1","-1"
"8","http://localhost:8080/","2025-1-2","20:36:25","LCP","4572.20000000298","4593.60000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/","2025-1-2","20:36:25","longTask","920.1000000014901","1004.1000000014901","84","unknown","-1","-1","-1"
"8","http://localhost:8080/","2025-1-2","20:36:25","longTask","3716.60000000149","3943.60000000149","227","self","-1","-1","-1"
"8","http://localhost:8080/","2025-1-2","20:36:25","longTask","3986.5","4080.5","94","self","-1","-1","-1"
"9","http://localhost:8080/","2025-1-2","20:36:35","LCP","4546.39999999851","4565.20000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/","2025-1-2","20:36:35","longTask","927.6000000014901","1007.6000000014901","80","unknown","-1","-1","-1"
"9","http://localhost:8080/","2025-1-2","20:36:35","longTask","3728.2000000029802","3958.2000000029802","230","self","-1","-1","-1"
"9","http://localhost:8080/","2025-1-2","20:36:35","longTask","3997","4091","94","self","-1","-1","-1"
"10","http://localhost:8080/","2025-1-2","20:36:44","LCP","4607","4625.70000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"10","http://localhost:8080/","2025-1-2","20:36:44","longTask","927.5","1005.5","78","unknown","-1","-1","-1"
"10","http://localhost:8080/","2025-1-2","20:36:44","longTask","3739.89999999851","3962.89999999851","223","self","-1","-1","-1"
"10","http://localhost:8080/","2025-1-2","20:36:44","longTask","3967","4064","97","self","-1","-1","-1"
"11","http://localhost:8080/","2025-1-2","20:36:54","LCP","4625.79999999702","4644.79999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"11","http://localhost:8080/","2025-1-2","20:36:54","longTask","926.7999999970198","1003.7999999970198","77","unknown","-1","-1","-1"
"11","http://localhost:8080/","2025-1-2","20:36:54","longTask","3748.89999999851","3980.89999999851","232","self","-1","-1","-1"
"11","http://localhost:8080/","2025-1-2","20:36:54","longTask","3985.5999999940395","4081.5999999940395","96","self","-1","-1","-1"
"12","http://localhost:8080/","2025-1-2","20:37:04","LCP","4634.5","4652.29999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"12","http://localhost:8080/","2025-1-2","20:37:04","longTask","926.2000000029802","1004.2000000029802","78","unknown","-1","-1","-1"
"12","http://localhost:8080/","2025-1-2","20:37:04","longTask","3761.7000000029802","3988.7000000029802","227","self","-1","-1","-1"
"12","http://localhost:8080/","2025-1-2","20:37:04","longTask","3994.7000000029802","4089.7000000029802","95","self","-1","-1","-1"
"13","http://localhost:8080/","2025-1-2","20:37:13","LCP","4632.10000000149","4656.20000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"13","http://localhost:8080/","2025-1-2","20:37:13","longTask","928.1000000014901","1008.1000000014901","80","unknown","-1","-1","-1"
"13","http://localhost:8080/","2025-1-2","20:37:13","longTask","3758","3987","229","self","-1","-1","-1"
"13","http://localhost:8080/","2025-1-2","20:37:13","longTask","3992.5","4085.5","93","self","-1","-1","-1"
"14","http://localhost:8080/","2025-1-2","20:37:23","LCP","4512.5","4533.70000000298","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"14","http://localhost:8080/","2025-1-2","20:37:23","longTask","925.8000000044703","1006.8000000044703","81","unknown","-1","-1","-1"
"14","http://localhost:8080/","2025-1-2","20:37:23","longTask","3723.60000000149","3947.60000000149","224","self","-1","-1","-1"
"14","http://localhost:8080/","2025-1-2","20:37:23","longTask","3988.3000000044703","4085.3000000044703","97","self","-1","-1","-1"
