idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2025-1-2","18:51:58","LCP","4437.19999999553","4461","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/","2025-1-2","18:51:58","longTask","920.6999999955297","981.6999999955297","61","unknown","-1","-1","-1"
"1","http://localhost:8080/","2025-1-2","18:51:58","longTask","3584.60000000149","3685.60000000149","101","self","-1","-1","-1"
"2","http://localhost:8080/","2025-1-2","18:52:07","LCP","4360.10000000149","4378.89999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/","2025-1-2","18:52:07","longTask","3515.60000000149","3606.60000000149","91","self","-1","-1","-1"
"3","http://localhost:8080/","2025-1-2","18:52:16","LCP","4353","4367.79999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2025-1-2","18:52:16","longTask","3519.39999999851","3607.39999999851","88","self","-1","-1","-1"
"4","http://localhost:8080/","2025-1-2","18:52:26","LCP","4315.29999999702","4330.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/","2025-1-2","18:52:26","longTask","3506","3593","87","self","-1","-1","-1"
"5","http://localhost:8080/","2025-1-2","18:52:35","LCP","4331.89999999851","4350.89999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/","2025-1-2","18:52:35","longTask","3504.1999999955297","3594.1999999955297","90","self","-1","-1","-1"
"6","http://localhost:8080/","2025-1-2","18:52:44","LCP","4360.60000000149","4379.80000000447","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/","2025-1-2","18:52:44","longTask","3520.7000000029802","3609.7000000029802","89","self","-1","-1","-1"
"7","http://localhost:8080/","2025-1-2","18:52:53","LCP","4338.69999999553","4355.60000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/","2025-1-2","18:52:53","longTask","3500.6999999955297","3586.6999999955297","86","self","-1","-1","-1"
"8","http://localhost:8080/","2025-1-2","18:53:02","LCP","4360.80000000447","4379.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/","2025-1-2","18:53:02","longTask","3513.9000000059605","3603.9000000059605","90","self","-1","-1","-1"
"9","http://localhost:8080/","2025-1-2","18:53:11","LCP","4346.39999999851","4366.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/","2025-1-2","18:53:11","longTask","3507.6999999955297","3594.6999999955297","87","self","-1","-1","-1"
