idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2025-1-2","17:57:12","LCP","445.8999999985099","584.5999999940395","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2025-1-2","17:57:18","LCP","136.19999999552965","177","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2025-1-2","17:57:24","LCP","172","206.69999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2025-1-2","17:57:29","LCP","124.5","177.59999999403954","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2025-1-2","17:57:35","LCP","123.39999999850988","163.39999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2025-1-2","17:57:41","LCP","126.10000000149012","166.60000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2025-1-2","17:57:47","LCP","143","162.79999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2025-1-2","17:57:52","LCP","134.89999999850988","160.29999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2025-1-2","17:57:58","LCP","133","153.29999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2025-1-2","17:58:04","LCP","129.10000000149012","153.70000000298023","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2025-1-2","17:58:09","LCP","136.59999999403954","161.79999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2025-1-2","17:58:15","LCP","131","153.40000000596046","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2025-1-2","17:58:21","LCP","137.20000000298023","156.90000000596046","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2025-1-2","17:58:26","LCP","136.20000000298023","162.60000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2025-1-2","17:58:32","LCP","134.39999999850988","158.60000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2025-1-2","17:58:38","LCP","132.80000000447035","160.30000000447035","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2025-1-2","17:58:43","LCP","128.09999999403954","156.79999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2025-1-2","17:58:49","LCP","134","156.69999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"19","http://localhost:8080/","2025-1-2","17:58:55","LCP","128.69999999552965","152.79999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"20","http://localhost:8080/","2025-1-2","17:59:00","LCP","127.70000000298023","153.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"21","http://localhost:8080/","2025-1-2","17:59:06","LCP","126.29999999701977","149.89999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2025-1-2","17:59:11","LCP","132.20000000298023","155.39999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"23","http://localhost:8080/","2025-1-2","17:59:17","LCP","127.39999999850988","147.09999999403954","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"24","http://localhost:8080/","2025-1-2","17:59:23","LCP","126.70000000298023","149.40000000596046","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"25","http://localhost:8080/","2025-1-2","17:59:29","LCP","135.19999999552965","155.79999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"26","http://localhost:8080/","2025-1-2","17:59:34","LCP","133.10000000149012","156.80000000447035","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"27","http://localhost:8080/","2025-1-2","17:59:40","LCP","127.19999999552965","147.69999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"28","http://localhost:8080/","2025-1-2","17:59:46","LCP","126.5","158.89999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"29","http://localhost:8080/","2025-1-2","17:59:51","LCP","126.60000000149012","151.70000000298023","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"30","http://localhost:8080/","2025-1-2","17:59:57","LCP","130.20000000298023","152.60000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"31","http://localhost:8080/","2025-1-2","18:00:02","LCP","123.70000000298023","151.39999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"32","http://localhost:8080/","2025-1-2","18:00:08","LCP","127.19999999552965","151.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"33","http://localhost:8080/","2025-1-2","18:00:14","LCP","138.5","162.10000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"34","http://localhost:8080/","2025-1-2","18:00:20","LCP","129","154","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"35","http://localhost:8080/","2025-1-2","18:00:25","LCP","138.70000000298023","161.40000000596046","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"36","http://localhost:8080/","2025-1-2","18:00:31","LCP","130.39999999850988","156.80000000447035","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"37","http://localhost:8080/","2025-1-2","18:00:37","LCP","133.89999999850988","159.19999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"38","http://localhost:8080/","2025-1-2","18:00:42","LCP","137.69999999552965","163","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"39","http://localhost:8080/","2025-1-2","18:00:48","LCP","130.30000000447035","156.30000000447035","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"40","http://localhost:8080/","2025-1-2","18:00:53","LCP","134.39999999850988","158.10000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"41","http://localhost:8080/","2025-1-2","18:00:59","LCP","128.29999999701977","149.79999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"42","http://localhost:8080/","2025-1-2","18:01:05","LCP","128.60000000149012","154.19999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"43","http://localhost:8080/","2025-1-2","18:01:10","LCP","128.79999999701977","149.19999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"44","http://localhost:8080/","2025-1-2","18:01:16","LCP","126.10000000149012","152.29999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"45","http://localhost:8080/","2025-1-2","18:01:22","LCP","124.09999999403954","150.39999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"46","http://localhost:8080/","2025-1-2","18:01:27","LCP","129.70000000298023","149.39999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"47","http://localhost:8080/","2025-1-2","18:01:33","LCP","122","142.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"48","http://localhost:8080/","2025-1-2","18:01:39","LCP","125.60000000149012","146.89999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"49","http://localhost:8080/","2025-1-2","18:01:44","LCP","123.90000000596046","150","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"50","http://localhost:8080/","2025-1-2","18:01:50","LCP","126","150.20000000298023","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"51","http://localhost:8080/","2025-1-2","18:01:56","LCP","124.39999999850988","145.60000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"52","http://localhost:8080/","2025-1-2","18:02:01","LCP","124.89999999850988","151.69999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"53","http://localhost:8080/","2025-1-2","18:02:07","LCP","122.69999999552965","150.29999999701977","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"54","http://localhost:8080/","2025-1-2","18:02:13","LCP","127.5","147.09999999403954","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"55","http://localhost:8080/","2025-1-2","18:02:18","LCP","128.30000000447035","150.30000000447035","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"56","http://localhost:8080/","2025-1-2","18:02:24","LCP","123.29999999701977","143.39999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"57","http://localhost:8080/","2025-1-2","18:02:30","LCP","126.39999999850988","154.39999999850988","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"58","http://localhost:8080/","2025-1-2","18:02:35","LCP","120","146.20000000298023","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"59","http://localhost:8080/","2025-1-2","18:02:41","LCP","123.20000000298023","149.10000000149012","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"60","http://localhost:8080/","2025-1-2","18:02:47","LCP","123.89999999850988","144.19999999552965","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"61","http://localhost:8080/","2025-1-2","18:02:52","LCP","129.89999999850988","152.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"62","http://localhost:8080/","2025-1-2","18:02:58","LCP","125.5","145.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
