idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2025-1-6","13:38:20","LCP","911.5999999996275","974.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2025-1-6","13:38:26","LCP","916.9000000003725","982.1999999992549","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2025-1-6","13:38:33","LCP","918.5","978.2000000011176","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2025-1-6","13:38:39","LCP","923.6999999992549","984.1999999992549","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2025-1-6","13:38:46","LCP","916.7000000011176","975.6000000014901","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2025-1-6","13:38:52","LCP","922.4000000003725","983.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2025-1-6","13:38:59","LCP","923.2999999988824","983.5999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2025-1-6","13:39:05","LCP","916.1999999992549","971.8000000007451","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2025-1-6","13:39:12","LCP","909.2000000011176","966.3000000007451","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2025-1-6","13:39:18","LCP","922.6999999992549","984.8999999985099","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2025-1-6","13:39:25","LCP","916.6999999992549","975.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2025-1-6","13:39:31","LCP","908.1999999992549","971.6999999992549","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2025-1-6","13:39:38","LCP","916.5","975.7000000011176","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2025-1-6","13:39:44","LCP","917.2000000011176","980.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2025-1-6","13:39:50","LCP","913.8999999985099","972.2999999988824","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2025-1-6","13:39:57","LCP","921.2999999988824","980.2999999988824","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2025-1-6","13:40:03","LCP","909.0999999996275","971.1999999992549","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2025-1-6","13:40:10","LCP","929.5","988.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"19","http://localhost:8080/","2025-1-6","13:40:16","LCP","923.7000000011176","986.8000000007451","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"20","http://localhost:8080/","2025-1-6","13:40:23","LCP","923.9000000003725","984.5999999996275","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"21","http://localhost:8080/","2025-1-6","13:40:29","LCP","923.5999999996275","988.7000000011176","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2025-1-6","13:40:36","LCP","923.0999999996275","984.4000000003725","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"23","http://localhost:8080/","2025-1-6","13:40:42","LCP","916","974.7999999988824","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"24","http://localhost:8080/","2025-1-6","13:40:49","LCP","902.4000000003725","966.2000000011176","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
